"Gene","mlog10QvalxFC"
"LOC107376349",4.54550572728886
"flnc",-4.6814478023457
"klf11",6.75450148895338
"LOC107393147",-3.43916180729292
"LOC107393006",4.91295632022927
"nrbp2",-2.61550426701465
"LOC107394837",-2.86260912010513
"cpt1b",7.09786582792832
"LOC107394608",3.17166577408919
"LOC107384867",3.96918261719083
"LOC107374531",4.53548083381515
"angptl4",9.1067193203219
"slc43a1",-2.54998036494653
"etfa",2.13818307700352
"eci2",2.64350584417522
"LOC107385437",5.2212880797944
"pcsk5",2.52375122336974
"acsl1",6.18410535148401
"LOC107385712",4.48921851817992
"LOC107386292",5.0240041335009
"hadhb",2.06808348134067
"galnt12",2.06893615487116
"ube2t",6.15591135342158
"LOC107373238",7.3730051172353
"acads",2.43035813897131
"LOC107380208",-1.67683035937234
"LOC107385470",5.90178587765894
"plbd1",-4.20351418105379
"acaa2",2.19104413846681
"bag2",2.86989570759076
"agpat3",2.12875779800959
"LOC107373791",-3.33517897563668
"pex3",1.61515756043242
"LOC107391402",3.91883562366363
"LOC107391013",-1.8348570733063
"LOC107385407",-8.33356762369876
"tmem200c",-6.56221103685847
"LOC107381576",2.30111803907202
"basp1",1.99442268820523
"LOC107396143",5.01460681033639
"LOC107377027",-3.76971153134674
"mgll",3.58645787746857
"LOC107392818",9.54871483463871
"LOC107385127",-2.88236444731696
"armc3",3.48945757951075
"LOC107393048",-9.11076212016284
"gdf6",2.3510653598267
"LOC107395105",2.23391445305855
"LOC107374803",-3.85071479733969
"aco1",1.89076141068064
"pdk4",1.9158155941764
"slc25a36",3.19004482994245
"tmem86a",2.56827218890141
"LOC107383820",-5.67453491279439
"LOC107395372",2.07683355896806
"yes1",1.48183833642806
"LOC107385412",4.11093871346623
"pogz",2.72422384293962
"LOC107387515",4.07117800437111
"gstk1",2.70156128513649
"LOC107375093",-2.5633067643187
"bbox1",2.9431214707073
"LOC107385351",-2.28168534202217
"csgr06h11orf57",-1.76454851294174
"slc25a20",2.15916872491711
"LOC107393273",2.33904771847702
"ldlrad4",2.16494848451131
"LOC107396995",1.71950266645351
"nceh1",3.11553937160496
"LOC107377281",2.72655805866952
"cbx1",3.1644209958393
"mdfic",-3.28056863643338
"mpc2",1.91600076191839
"klf9",-5.92222385423859
"LOC107374876",-2.81932229267856
"LOC107394621",4.10838277666269
"LOC107395467",-2.10268971173739
"zfyve28",2.51207332024513
"LOC107377894",1.66382151797872
"LOC107386936",1.99868570530138
"LOC107373782",-1.9080562238622
"LOC107395810",2.86908822665117
"LOC107396982",-4.20668343603629
"LOC107393415",2.36618224100094
"mlycd",2.8015098015515
"LOC107390372",3.89613094329205
"zbtb16",5.06672164835
"primpol",3.73755407446263
"zdhhc9",1.88213195961699
"LOC107374532",3.32899943846312
"LOC107393416",2.68213019164255
"LOC107394339",3.44721982414605
"tmem134",-1.98692410665773
"acadl",2.61701489387079
"LOC107389169",-3.17231574589393
"zcchc10",-2.36664597781686
"LOC107391210",-1.6077170871295
"slc30a6",-3.67007685467918
"LOC107384253",2.61768640418558
"csgr16h14orf159",-2.70852971713473
"ptgfrn",1.60088941350819
