"Gene","mlog10QvalxFC"
"per3",5.73233054821579
"trmt6",2.99771778587486
"LOC107385638",-8.16304909667163
"LOC107376722",2.33067614053283
"ddx6",2.80022861347653
"LOC107375981",-3.59279536814546
"LOC107377282",-2.79499512919901
"sfmbt2",-2.93636071255473
"LOC107372718",-3.35353096961132
"lyar",5.06270755661725
"atxn10",4.03173141597576
"LOC107395806",-4.26492719961743
"tcf7",-4.95224953700714
"jmjd6",3.44136505445795
"srp14",3.73688617064819
"pik3c2b",-2.05402042266225
"cops3",2.20631088713373
"LOC107379293",-2.23184571437112
"LOC107381728",-3.79542331828835
"plekhg7",-4.58906607114235
"polr3e",2.66938395617483
"kiaa1107",-4.9721999090084
"dhx30",5.93073602963316
"rrp15",2.45097582566274
"hdac4",-8.78569544484814
"trmt10c",4.13731619975771
"mtmr3",-2.83055577341564
"mak16",2.88220732352218
"pcmtd1",-4.79642457450616
"arhgef28",-3.13008828041764
"nop56",2.3373444842251
"ppan",3.15206790103723
"ncoa5",2.01213856541118
"rrp1b",3.02342284019654
"ncoa1",-3.92681388347914
"csgr17h1orf53",6.02435667697616
"LOC107392653",-3.9143012006579
"LOC107377672",2.77439189702416
"chfr",-2.76937493727552
"noc2l",4.62239053720428
"ttpa",-2.44053729155446
"LOC107395920",1.93307874498696
"LOC107374011",-4.28894715977542
"LOC107383474",-3.15862101089828
"pkp2",-2.92989569293676
"LOC107386040",3.12031200625912
"LOC107389374",3.11700936249849
"mettl13",3.22349367732412
"g3bp1",6.61149567794717
"abhd10",2.8023223798563
"ylpm1",2.30601159016619
"LOC107395678",-2.27734043550313
"amfr",-1.66428056671785
"hspa5",6.99355406687489
"ccdc59",2.38742384765869
"foxp2",-3.25877892116877
"LOC107389025",2.75325266296517
"lig4",2.21593248708521
"csgr19h6orf62",-2.23554757100903
"fastkd1",2.80908270877711
"dnttip2",2.58784807141798
"ptprd",-2.76936037710027
"LOC107384359",9.03086286533773
"aurka",4.85158147919139
"nol6",3.52138523316725
"ddx54",3.02138525186052
"pmpca",1.63674269291833
"daxx",2.68782930263649
"LOC107385804",-2.64899012269679
"LOC107385636",-2.38225201112963
"LOC107390255",-2.68514962245995
"larp4",3.1911780667147
"copb1",4.20265019407761
"lrrc59",5.45056414549755
"nfatc3",-3.22842173931457
"LOC107389771",-3.22601828182125
"bms1",2.94613013618554
"pomgnt2",2.0381071472253
"utp6",1.82326431870313
"csgr16h14orf80",3.73983456134946
"LOC107396303",2.85211339031804
"hgsnat",-1.51748866358142
"LOC107374998",4.55956182436407
"LOC107378297",3.47198242561283
"fam134a",-2.54691003167057
"rpf1",2.30529814122054
"slc27a4",2.09063845080863
"isca2",-1.76015055776047
"dlg5",-2.70957645541312
"hmbs",3.25718643982591
"fastkd2",1.93231590777757
"csgr16h14orf28",-2.40032604361119
"lrp6",-1.86325552972948
"eif2b4",1.7104779679872
"ube2d3",3.42865259497431
"sgip1",-5.77525110635356
"pak1",2.80287815458338
"LOC107395029",-3.45444853982849
"mpzl2",-3.03294267366399
"LOC107396702",-3.43064124056016
"LOC107380771",-1.79353433374564
"dhx57",1.8623910168823
"tom1l2",-1.89569050116747
"LOC107396916",-2.65244215371759
"gas1",-2.01502198319301
"zcchc7",3.09481291965519
"rbmx",2.71695317970236
"fam214a",-4.10272222909431
"tcp11l2",-3.02489712603765
"ulk1",-4.29346445098804
"ddx28",2.49750093206954
"wdr46",1.91212181016072
"nop2",3.26369606991803
"LOC107391138",-2.07187906485835
"adamts9",4.06737113861796
"csgr12h7orf50",2.93360357980081
"ranbp10",-2.77054944818668
"tfg",2.9131035436866
"atg14",-2.68177326268005
"ube2r2",-2.65109879060128
"slc35f5",-2.27116278148268
"LOC107388605",-3.53821142684192
"LOC107377554",2.73019226483544
"alg2",3.6978258611403
"LOC107377576",-2.41016504869362
"bag3",-1.76626537509939
"LOC107378589",1.87582896848811
"LOC107384572",1.97891694213683
"myo5a",3.85600066727436
"bop1",3.38820331599749
"naf1",2.16907146185322
