"Gene","mlog10QvalxFC"
"bfar",2.77905638823172
"LOC107372718",3.76070705993077
"LOC107385540",-5.47760004318175
"aurka",-6.44243027206097
"LOC107389771",3.97347807343028
"pcca",-2.22196248022697
"LOC107377282",2.55529711289164
"LOC107390519",-1.94507854561125
"foxp2",3.63517981306272
"tubgcp2",-2.90406142441314
"LOC107390831",-6.99292949675969
"dnaaf5",-3.40307972550573
"rnf26",-3.89886564194337
"hgf",2.96917217839965
"tmem200c",-4.27011818268589
"LOC107385569",1.41079065189117
"LOC107394876",2.03127003591419
"LOC107383557",2.16122868284439
"cpox",-2.06207888671203
"txndc16",-3.822487030915
"angptl4",5.08393799078017
"LOC107397359",3.24411103260374
"kdm4a",2.33432206843226
"LOC107395806",3.29018277685019
"ccdc71",1.41407724408835
"abl2",1.38080676990472
"LOC107383602",-2.20974373285009
"LOC107388949",2.30555214509556
"tmx3",-2.29127094134294
"hmgn1",-4.51218278413353
"aspm",-6.47557463301194
"LOC107390850",3.89205358598978
"LOC107380239",-3.68916158655199
"hdac4",6.7995422907902
"rab11fip1",1.83086879370494
"LOC107376722",-1.63405678015408
"LOC107380757",6.52973763427924
"rbmx",-2.63766291088133
"LOC107373991",3.96752050816486
"zyx",1.70121560061904
"spdl1",-6.10962813094353
"suclg2",-1.57006154733982
"LOC107384074",-5.71508527359699
"LOC107376358",1.99510143363518
"jmjd8",-2.42700716681764
"itpa",-2.09633418603585
"LOC107376251",-5.64057550593031
"LOC107390508",-2.28471069301532
"terf1",-6.27907699154331
"ddx49",-2.0215822511539
"LOC107388509",-5.10611286281994
"acp7",2.74115452791531
"LOC107394323",2.97249225798503
"lrrc47",-1.922075121331
"LOC107382328",1.98188815830494
"txndc17",-1.45856277223884
"wrnip1",-4.88629915842692
"aqr",-1.76285327825298
"hsd17b10",-1.38142471486191
"LOC107395148",2.22425101138344
"LOC107374464",-5.24248049401326
"spic",4.10834907217115
"LOC107384692",-2.22218625742666
"LOC107381728",2.7307334087148
"LOC107385636",1.95783087807534
"LOC107394547",1.80149418148767
"rnf165",2.02469994470511
"sphkap",4.52214774695819
"LOC107388223",1.19555133521671
"rev3l",1.88914814468596
"LOC107394925",2.08142424270823
"LOC107373824",2.27512363705741
"egr1",5.92326188874169
"kiaa0391",-2.578446784494
"LOC107378754",3.38601036153573
"mydgf",-1.42171781865463
"psma3",-2.27518705698312
"noc3l",-1.73431381757783
"htatsf1",-2.35301264573227
"LOC107391807",-4.03477184167243
