"Gene","mlog10QvalxFC"
"LOC107389815",10.5538210922501
"slc27a4",5.32186901850552
"gsk3b",5.01920001079535
"LOC107386857",4.57211171074063
"LOC107384960",-5.44208636889402
"rnf26",-7.13438549897467
"LOC107384718",2.6373130767725
"LOC107387198",3.75270170862488
"nufip2",5.89043856383689
"oxnad1",5.82964782088856
"LOC107394926",3.92462547962151
"dido1",2.55221021948771
"ovca2",5.99456559410082
"LOC107379324",3.89280352720264
"LOC107396221",7.57672832512002
"mfsd2a",-11.2935380854708
"LOC107394876",3.03885239610248
"LOC107385048",6.33365431146136
"lrrc58",5.13606693944341
"ubxn7",-3.46340333649242
"ammecr1",4.10124999517732
"kiaa2026",-4.18651915267053
"LOC107384853",2.80995548284487
"LOC107377852",-4.52085041046648
"LOC107385638",-7.74128077202488
"nprl2",-4.07182613371721
"asxl2",-2.64271979254128
"ppp1r3a",11.7590644193319
"LOC107378589",2.87529104556993
"arhgef26",-4.83089470796841
"LOC107385065",9.76446199105879
"zranb1",-3.44681492480306
"ints6",4.13812252113453
"LOC107392475",-2.88024518173507
"LOC107384961",2.73721133076254
"ptpn21",-5.43714669697483
"rhob",5.39250636478363
"pus7l",-4.67198634336139
"LOC107376032",5.4095566946213
"LOC107389740",5.59712022377688
"epo",5.46527123254354
"LOC107380304",5.35022414417589
"LOC107388915",1.92002439984724
"LOC107394046",-2.6227138210457
"smurf1",2.17289283689015
"LOC107383474",-3.92102850422466
"luzp1",3.54060432762456
"LOC107375066",-3.71958056853984
"mrm1",8.5374702394818
"LOC107385756",3.63170618498874
"lpgat1",3.20660361336301
"LOC107380680",6.68028992008907
"LOC107393667",3.32954095175705
"csrnp2",3.81908800430796
"mydgf",-2.1696232860311
"LOC107395678",-2.72759519710746
"LOC107396430",-2.3975679230257
"magt1",-2.58538839570575
"mib2",-5.285451905668
"osbpl9",-2.60681694048375
"wnt11",4.70257195732737
"LOC107392430",4.60514744516823
"cecr2",-5.00534775084952
"LOC107373005",-3.99251874436555
"LOC107373610",-4.59222945860897
"g3bp1",7.97310787750746
"jmjd6",3.61952376015047
"polb",2.01650156476904
"vps51",3.6545375664132
"gtf2h1",4.65199731899243
"LOC107374040",6.36646109041198
"cherp",2.19307055416724
"dyrk1b",3.2265763254225
"LOC107390519",-2.02844253871121
"LOC107392355",2.32845769603752
"LOC107385061",-3.45389564217941
"parp11",-4.93870122538789
"usp42",3.93516242878795
"mat2a",6.15465164827478
"ubald2",-5.8268770490679
"tdrd3",3.29383602530441
"LOC107374971",6.54852992092493
"kiaa0232",2.24894637954224
"klf4",5.15321077456063
"LOC107383297",5.09353434787301
"pom121",3.89802856919136
"LOC107391999",-3.49109410085873
"stam",-1.83791245758648
"atf2",-3.36877821570781
"LOC107392429",-6.54549803612094
"plekhg7",-4.65119868749823
"irf2",-4.21374738781611
"LOC107378297",4.07734909382586
"slc25a48",-7.08183381412732
"pygo2",2.39417303838737
"LOC107378291",2.28836956577937
"LOC107375709",4.71482333712736
"LOC107383441",2.49146952343385
"fbxw11",1.98126384719157
"LOC107383602",-2.65994161924437
"LOC107379882",3.94383189807499
"LOC107385540",-4.83661370635062
"LOC107379323",3.28123403717329
"unkl",-3.43455944390146
"LOC107386728",-4.12354393218334
"jmy",-3.69208635135768
"ddx6",2.40974721405267
"cdk5rap2",-1.87515948360095
"LOC107378210",4.15226159509985
"LOC107374270",-2.9181402346768
