"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0002274","myeloid leukocyte activation",410,-0.612530265328382,-1.92092707148065,1e-10,5.17e-08,4.38866396761134e-08,1474,"tags=27%, list=15%, signal=24%","PTX3/HAVCR2/IMPDH1/S100A13/BTK/STK11IP/SNAP29/PLA2G4A/RAB7A/DNASE1/SDCBP/ORMDL3/LAMTOR3/IQGAP1/ATP11A/MVP/RAP1B/IRF4/ADGRF5/TNIP2/PRDX6/STXBP2/SNCA/IST1/CSTB/TOM1/S100P/RAB3D/GAB2/GPI/LAMP1/DERA/ITGAM/NFKB1/FOXF1/GMFG/JAK2/TIMP2/HMOX2/AHSG/CRISPLD2/VAPA/RAB44/PRAM1/PSAP/GCA/RASGRP1/LRG1/GSN/ACLY/LBP/GPR137B/CD63/C5AR1/PNP/PECAM1/RHOG/ENPP4/KMT2E/PYCARD/HMOX1/PSMB7/TLR6/SLC15A4/CFP/TMEM179B/SLC44A2/YPEL5/RELB/CYBA/CYBB/JUN/PTPRC/ANXA3/ADGRE5/TLR1/PGM1/LTF/GALNS/LDLR/ITGAL/ADORA2B/RAB31/NR1D1/SERPINB1/SVIP/APRT/NCKAP1L/CD84/ITGB2/CTSS/HPSE/PREX1/CLEC4C/DOCK2/SLC2A5/C1QA/PLSCR1/SPI1/OLFM4/CD74/BIN2/B2M/RAP1A/CD200/NME2/CD53/AIF1/MMP9/NR4A3/CLU/LYZ"
"BP","GO:0002443","leukocyte mediated immunity",463,-0.566809986093453,-1.79839156028697,1e-10,5.17e-08,4.38866396761134e-08,1678,"tags=29%, list=17%, signal=25%","SRP14/C3/DYNC1LI1/CD81/SMAD7/VAMP7/TGFB1/SERPING1/ATP6V0C/ALDOC/CTSB/RAB18/FGL2/PTX3/HAVCR2/IMPDH1/BCL10/S100A13/BTK/STK11IP/SNAP29/RAB7A/APLF/DNASE1/SDCBP/ORMDL3/LAMTOR3/IQGAP1/ATP11A/MVP/RAP1B/EMP2/PRDX6/STXBP2/CEBPG/CFI/STAT6/IST1/CSTB/TOM1/S100P/RAB3D/GAB2/GPI/LAMP1/C8B/DDX1/STX7/P2RX7/DERA/HPX/ITGAM/NFKB1/FOXF1/GMFG/HLA-G/TIMP2/HMOX2/AHSG/MALT1/SWAP70/CRISPLD2/VAPA/IL1R1/HLA-A/RAB44/PRAM1/PSAP/GCA/RASGRP1/LRG1/GSN/ACLY/TFRC/CD63/C5AR1/C7/PNP/RNF168/PECAM1/RHOG/ENPP4/KMT2E/BCL6/PYCARD/CD40/HMOX1/PSMB7/SLC15A4/CFP/TMEM179B/SLC44A2/YPEL5/CYBA/CYBB/CLNK/PTPRC/ANXA3/ADGRE5/PGM1/CRP/LTF/GALNS/ITGAL/MR1/ADORA2B/RAB31/C9/SERPINB1/SVIP/APRT/NCKAP1L/CD84/ITGB2/CTSS/C1QC/HPSE/CLEC4C/DOCK2/SLC2A5/C1QA/INPP5D/OLFM4/CD74/BIN2/B2M/LAG3/RAP1A/NME2/CD53/MMP9/NR4A3/CLU/LYZ"
"BP","GO:0006364","rRNA processing",195,0.719819204721961,2.23511856681185,1e-10,5.17e-08,4.38866396761134e-08,1586,"tags=43%, list=16%, signal=37%","MDN1/SHQ1/UTP20/PWP2/ZNHIT6/RPP38/MPHOSPH10/SNU13/EXOSC10/MTERF4/UTP3/NOL6/NVL/NOP9/FDXACB1/FBL/URB1/EXOSC3/UTP6/PES1/MRM1/NOL8/TRMT112/WDR55/WDR46/TBL3/TEX10/TSR1/RIOK1/DKC1/RRP15/NOL9/WBP11/NAT10/WDR75/NPM3/RRP1/BOP1/NHP2/ESF1/REXO4/GTF2H5/RRP8/NOP2/DHX37/NOP10/DDX56/TFB1M/DDX27/GAR1/NOP56/BYSL/THUMPD1/RSL1D1/RPUSD1/NOP58/NOC4L/PRKDC/EXOSC2/BMS1/EMG1/WDR12/DDX54/METTL16/NSUN3/RPL7L1/DDX10/LAS1L/NSUN5/DDX52/TRMT61B/RRP9/RRP12/UTP15/ABT1/NOL10/PA2G4/GEMIN4/KAT2B/NAF1/FCF1/WDR43/RPF1/HEATR1"
"BP","GO:0006399","tRNA metabolic process",151,0.728490334322265,2.20793261213555,1e-10,5.17e-08,4.38866396761134e-08,1688,"tags=42%, list=17%, signal=36%","DUS2/THG1L/DUS3L/NSUN6/RPP38/TRNT1/EXOSC10/PUS1/THUMPD3/FAM98B/RARS2/YARS2/EXOSC3/MTFMT/METTL1/TRMT112/TARBP1/PPA2/DARS2/PUSL1/TRMT5/DUS1L/NAT10/GATB/MARS2/TRMT44/RPP25L/ADAT3/TRPT1/CDK5RAP1/GATC/TRMT11/POP1/TRMT2B/TRMU/ELP5/LARS2/PARS2/SSB/THUMPD1/CPSF1/TRUB1/EXOSC2/ELP3/CARS2/TRMT61A/NSUN3/ELP6/TRMT6/CTU1/DTWD2/TRMT61B/THUMPD2/THADA/PSTK/ALKBH8/TYW1/ELP4/WARS2/PUS3/AARS2/RTCB/RPP40/CSTF2"
"BP","GO:0009451","RNA modification",135,0.72495987883653,2.14374267928179,1e-10,5.17e-08,4.38866396761134e-08,1549,"tags=44%, list=15%, signal=38%","DUS2/THG1L/DUS3L/NSUN6/MTERF4/PUS1/THUMPD3/FDXACB1/FBL/MRM1/MTFMT/METTL1/TRMT112/TARBP1/DKC1/PUSL1/TRMT5/DUS1L/NAT10/TRMT44/ADAT3/NHP2/CDK5RAP1/METTL3/NOP2/TRMT11/NOP10/TRMT2B/TFB1M/GAR1/CMTR2/TRMU/ELP5/SSB/THUMPD1/TGS1/TRUB1/RPUSD1/ELP3/TRMT2A/EMG1/TRMT61A/METTL16/NSUN3/ELP6/ADAR/METTL4/TRMT6/NSUN5/CTU1/DTWD2/TRMT61B/THUMPD2/THADA/ALKBH8/TYW1/ELP4/NAF1/TRUB2/PUS3"
"BP","GO:0016072","rRNA metabolic process",201,0.713060611877226,2.21859269519984,1e-10,5.17e-08,4.38866396761134e-08,1586,"tags=42%, list=16%, signal=36%","MDN1/SHQ1/UTP20/PWP2/ZNHIT6/RPP38/MPHOSPH10/SNU13/EXOSC10/MTERF4/UTP3/NOL6/NVL/NOP9/FDXACB1/FBL/URB1/EXOSC3/UTP6/PES1/MRM1/NOL8/TRMT112/WDR55/WDR46/TBL3/TEX10/TSR1/RIOK1/DKC1/RRP15/NOL9/WBP11/NAT10/WDR75/NPM3/RRP1/BOP1/NHP2/ESF1/REXO4/GTF2H5/RRP8/NOP2/DHX37/NOP10/DDX56/TFB1M/DDX27/GAR1/NOP56/BYSL/MAPT/THUMPD1/RSL1D1/RPUSD1/NOP58/NOC4L/PRKDC/EXOSC2/BMS1/EMG1/WDR12/DDX54/METTL16/NSUN3/RPL7L1/DDX10/LAS1L/NSUN5/DDX52/TRMT61B/RRP9/RRP12/UTP15/ABT1/NOL10/PA2G4/GEMIN4/KAT2B/NAF1/FCF1/WDR43/RPF1/HEATR1"
"BP","GO:0022613","ribonucleoprotein complex biogenesis",383,0.670444880139796,2.21848568516597,1e-10,5.17e-08,4.38866396761134e-08,1586,"tags=33%, list=16%, signal=29%","MDN1/SHQ1/AGO1/UTP20/PWP2/DDX31/WDR77/ZNHIT6/RPP38/MPHOSPH10/SNU13/EXOSC10/MTERF4/UTP3/NOL6/GEMIN5/FASTKD2/NVL/DHX29/NOP9/FDXACB1/FBL/URB1/EXOSC3/UTP6/PES1/MRM1/NOL8/TRMT112/WDR55/WDR46/TBL3/TEX10/TSR1/PRPF19/RIOK1/DKC1/URB2/RRP15/NOP16/NOM1/RRN3/NOL9/NOC2L/MPV17L2/WBP11/NAT10/WDR75/XRCC5/NPM3/RRP1/BOP1/GTF3A/HEATR3/NHP2/ESF1/MYBBP1A/REXO4/GTF2H5/RRP8/NOP2/DHX37/METTL17/NPM1/NOP10/DDX56/TFB1M/DDX27/GAR1/NOP56/DDX20/BYSL/SRPK3/THUMPD1/TGS1/GEMIN8/RSL1D1/CUL4A/CPSF6/RPUSD1/NOP58/AGO2/NOC4L/SNRNP200/PRKDC/EXOSC2/LSG1/NUP88/BMS1/EMG1/WDR12/POLR2D/DDX54/METTL16/NSUN3/ADAR/XAB2/RPL7L1/DDX10/LAS1L/PTGES3/NSUN5/PAK1IP1/DDX52/TRMT61B/RRP9/ZNF658/PRPF8/RUVBL1/RRP12/UTP15/ABT1/COIL/NOL10/PUF60/PA2G4/CLNS1A/SRPK1/YTHDC1/GEMIN4/KAT2B/NAF1/FCF1/WDR43/RPF1/HEATR1"
"BP","GO:0034470","ncRNA processing",333,0.710655086437287,2.31694951814565,1e-10,5.17e-08,4.38866396761134e-08,1689,"tags=42%, list=17%, signal=36%","MDN1/DUS2/SHQ1/AGO1/UTP20/THG1L/DUS3L/PWP2/ZNHIT6/NSUN6/RPP38/MPHOSPH10/TRNT1/SNU13/EXOSC10/MTERF4/UTP3/PUS1/NOL6/THUMPD3/FAM98B/NVL/NOP9/FDXACB1/FBL/URB1/EXOSC3/UTP6/PES1/MRM1/INTS5/MTFMT/METTL1/NOL8/TRMT112/TARBP1/WDR55/WDR46/TBL3/TEX10/TSR1/RIOK1/DKC1/RRP15/PUSL1/NOL9/TRMT5/WBP11/DUS1L/NAT10/WDR75/NPM3/TRMT44/RPP25L/ADAT3/RRP1/BOP1/NHP2/TRPT1/ESF1/CDK5RAP1/METTL3/INTS10/REXO4/GTF2H5/RRP8/NOP2/DHX37/TRMT11/NOP10/POP1/DDX56/TRMT2B/TFB1M/DDX27/GAR1/NOP56/BYSL/INTS9/TRMU/ELP5/SMAD3/SSB/THUMPD1/CPSF1/RSL1D1/TRUB1/RPUSD1/TUT1/NOP58/AGO2/NOC4L/PRKDC/EXOSC2/ELP3/BMS1/EMG1/TRMT61A/WDR12/DDX54/METTL16/NSUN3/ELP6/ADAR/RPL7L1/DDX10/LAS1L/TRMT6/NSUN5/CTU1/DDX52/DTWD2/TRMT61B/RRP9/PRKRA/THUMPD2/THADA/RRP12/UTP15/ABT1/ALKBH8/NOL10/TYW1/PA2G4/GEMIN4/KAT2B/ELP4/NAF1/PUS3/FCF1/WDR43/RPF1/HEATR1/AARS2/RTCB/RPP40/LYAR/DIS3/CSTF2/PARN"
"BP","GO:0034660","ncRNA metabolic process",387,0.698309430152391,2.31152414431779,1e-10,5.17e-08,4.38866396761134e-08,1689,"tags=41%, list=17%, signal=35%","MDN1/DUS2/SHQ1/AGO1/UTP20/THG1L/XPO5/DUS3L/PWP2/ZNHIT6/NSUN6/RPP38/MPHOSPH10/TRNT1/SNU13/EXOSC10/MTERF4/UTP3/PUS1/NOL6/THUMPD3/FAM98B/NVL/NOP9/RARS2/FDXACB1/FBL/URB1/YARS2/EXOSC3/UTP6/PES1/MRM1/INTS5/MTFMT/METTL1/NOL8/TRMT112/TARBP1/PPA2/WDR55/WDR46/TBL3/DARS2/TEX10/TSR1/RIOK1/DKC1/RRP15/PUSL1/NOL9/TRMT5/WBP11/DUS1L/NAT10/GATB/WDR75/MARS2/NPM3/TRMT44/RPP25L/ADAT3/RRP1/BOP1/NHP2/TRPT1/ESF1/CDK5RAP1/METTL3/GATC/INTS10/REXO4/GTF2H5/RRP8/NOP2/DHX37/TRMT11/NOP10/POP1/DDX56/TRMT2B/TFB1M/DDX27/GAR1/NOP56/BYSL/MAPT/INTS9/TRMU/ELP5/LARS2/SMAD3/PARS2/SSB/THUMPD1/CPSF1/RSL1D1/TRUB1/RPUSD1/PNPT1/TUT1/NOP58/AGO2/NOC4L/PRKDC/EXOSC2/ELP3/CARS2/BMS1/EMG1/TRMT61A/WDR12/DDX54/METTL16/NSUN3/ELP6/ADAR/RPL7L1/METTL4/DDX10/LAS1L/TRMT6/NSUN5/CTU1/DDX52/DTWD2/TRMT61B/RRP9/PRKRA/THUMPD2/THADA/RRP12/UTP15/PSTK/ABT1/ALKBH8/NOL10/TYW1/PA2G4/GEMIN4/KAT2B/ELP4/NAF1/WARS2/PUS3/FCF1/WDR43/RPF1/HEATR1/AARS2/RTCB/RPP40/LYAR/DIS3/KHSRP/CSTF2/PARN"
"BP","GO:0042254","ribosome biogenesis",265,0.708495658316576,2.26752148823902,1e-10,5.17e-08,4.38866396761134e-08,1586,"tags=39%, list=16%, signal=34%","MDN1/SHQ1/UTP20/PWP2/DDX31/ZNHIT6/RPP38/MPHOSPH10/SNU13/EXOSC10/MTERF4/UTP3/NOL6/FASTKD2/NVL/DHX29/NOP9/FDXACB1/FBL/URB1/EXOSC3/UTP6/PES1/MRM1/NOL8/TRMT112/WDR55/WDR46/TBL3/TEX10/TSR1/RIOK1/DKC1/URB2/RRP15/NOP16/NOM1/RRN3/NOL9/NOC2L/MPV17L2/WBP11/NAT10/WDR75/XRCC5/NPM3/RRP1/BOP1/GTF3A/HEATR3/NHP2/ESF1/MYBBP1A/REXO4/GTF2H5/RRP8/NOP2/DHX37/METTL17/NPM1/NOP10/DDX56/TFB1M/DDX27/GAR1/NOP56/BYSL/THUMPD1/RSL1D1/CUL4A/RPUSD1/NOP58/NOC4L/PRKDC/EXOSC2/LSG1/NUP88/BMS1/EMG1/WDR12/DDX54/METTL16/NSUN3/RPL7L1/DDX10/LAS1L/NSUN5/PAK1IP1/DDX52/TRMT61B/RRP9/ZNF658/RRP12/UTP15/ABT1/NOL10/PA2G4/GEMIN4/KAT2B/NAF1/FCF1/WDR43/RPF1/HEATR1"
