"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0005996","monosaccharide metabolic process",204,-0.639262237730685,-1.80795176792941,4.08530852995417e-06,0.0232081008212277,0.0224377021541967,606,"tags=14%, list=6%, signal=13%","POFUT1/MTOR/SLC2A1/PPP1CB/KAT2A/PFKL/DDB1/IGF1/GCLC/DLAT/ABHD10/GOT1/MAN2B2/PGD/G6PC3/OMA1/MLYCD/PC/NFE2L1/UGT2B4/PER2/PDK2/C1QTNF3/ALDOC/PGM5/B4GALT1/INS/GCG"
"BP","GO:0010907","positive regulation of glucose metabolic process",29,-0.899770581018005,-1.90260238808441,6.90614516328751e-06,0.0232081008212277,0.0224377021541967,548,"tags=17%, list=5%, signal=16%","KAT2A/DDB1/IGF1/INS/GCG"
"BP","GO:0019318","hexose metabolic process",182,-0.641210456923616,-1.77874054940484,1.61080307717399e-05,0.0360091073415995,0.0348137760859041,606,"tags=13%, list=6%, signal=12%","POFUT1/MTOR/PPP1CB/KAT2A/PFKL/DDB1/IGF1/DLAT/GOT1/MAN2B2/G6PC3/OMA1/MLYCD/PC/NFE2L1/PER2/PDK2/C1QTNF3/ALDOC/PGM5/B4GALT1/INS/GCG"
"BP","GO:0006006","glucose metabolic process",156,-0.662146942460576,-1.81418377020703,2.53219940388893e-05,0.0360091073415995,0.0348137760859041,588,"tags=13%, list=6%, signal=12%","MTOR/PPP1CB/KAT2A/PFKL/DDB1/IGF1/DLAT/GOT1/G6PC3/OMA1/MLYCD/PC/NFE2L1/PER2/PDK2/C1QTNF3/ALDOC/PGM5/INS/GCG"
"BP","GO:0010906","regulation of glucose metabolic process",86,-0.742907707757966,-1.8939904948535,2.84140154326163e-05,0.0360091073415995,0.0348137760859041,588,"tags=13%, list=6%, signal=12%","MTOR/PPP1CB/KAT2A/DDB1/IGF1/MLYCD/NFE2L1/PDK2/C1QTNF3/INS/GCG"
"BP","GO:0006111","regulation of gluconeogenesis",35,-0.859503481459533,-1.88172942041604,3.21462050363929e-05,0.0360091073415995,0.0348137760859041,548,"tags=17%, list=5%, signal=16%","KAT2A/DDB1/PDK2/C1QTNF3/INS/GCG"
"BP","GO:0002793","positive regulation of peptide secretion",101,-0.712923908185165,-1.85015263612779,4.93440154202108e-05,0.0396584353855451,0.0383419637796647,459,"tags=9%, list=5%, signal=9%","IGF1/SEC24A/ANO1/ABAT/SIRT3/C1QTNF3/UNC13B/INS/GCG"
"BP","GO:0050714","positive regulation of protein secretion",95,-0.723477682200695,-1.85906862693222,5.35325986870952e-05,0.0396584353855451,0.0383419637796647,459,"tags=9%, list=5%, signal=9%","IGF1/SEC24A/ANO1/ABAT/SIRT3/C1QTNF3/UNC13B/INS/GCG"
"BP","GO:0090276","regulation of peptide hormone secretion",126,-0.678332732973202,-1.80481339746419,5.43873804504365e-05,0.0396584353855451,0.0383419637796647,898,"tags=17%, list=9%, signal=16%","CDK16/CACNA1A/CPT1A/DPP4/ICA1/CACNA2D2/SLC25A5/SYTL4/PPP3CA/SLC2A1/HMGN3/PFKL/CARTPT/ANO1/ABAT/PER2/SIRT3/ITPR1/ALOX5/STXBP4/INS/GCG"
"BP","GO:0050708","regulation of protein secretion",206,-0.604381279335274,-1.7100248267683,5.90067480814538e-05,0.0396584353855451,0.0383419637796647,905,"tags=17%, list=9%, signal=16%","LLGL1/CDK16/CACNA1A/RSAD2/CPT1A/DPP4/NLRP12/ICA1/CACNA2D2/TMBIM6/SLC25A5/PAM/SYTL4/PPP3CA/SLC2A1/HMGN3/PFKL/RHBDF1/IGF1/SLC12A2/SEC24A/CARTPT/ANO1/ABAT/PER2/LGR4/SIRT3/C1QTNF3/ITPR1/ALOX5/UNC13B/TLR5/STXBP4/INS/GCG"
"MF","GO:0008307","structural constituent of muscle",26,0.873612862858643,1.85422502669688,7.89014097904186e-05,0.0482087613819458,0.0466084595824167,460,"tags=31%, list=5%, signal=29%","CSRP2/MYL1/MYLPF/ACTN2/TPM4/DMD/NEB/MYL9"
"BP","GO:0046364","monosaccharide biosynthetic process",76,-0.733482650205456,-1.8351602750853,0.000154641367438838,0.0752092587663198,0.07271266875457,548,"tags=16%, list=5%, signal=15%","KAT2A/DDB1/GOT1/PGD/G6PC3/PC/PER2/PDK2/C1QTNF3/ALDOC/INS/GCG"
"BP","GO:0019319","hexose biosynthetic process",70,-0.744442142566294,-1.85678875784594,0.000163219615437665,0.0752092587663198,0.07271266875457,548,"tags=16%, list=5%, signal=15%","KAT2A/DDB1/GOT1/G6PC3/PC/PER2/PDK2/C1QTNF3/ALDOC/INS/GCG"
"BP","GO:0006094","gluconeogenesis",68,-0.750440839468785,-1.86036654719552,0.000167325715812166,0.0752092587663198,0.07271266875457,548,"tags=16%, list=5%, signal=15%","KAT2A/DDB1/GOT1/G6PC3/PC/PER2/PDK2/C1QTNF3/ALDOC/INS/GCG"
"BP","GO:0002791","regulation of peptide secretion",216,-0.59500781758485,-1.68625931626664,0.000167852831646302,0.0752092587663198,0.07271266875457,905,"tags=16%, list=9%, signal=15%","LLGL1/CDK16/CACNA1A/RSAD2/CPT1A/DPP4/NLRP12/ICA1/CACNA2D2/TMBIM6/SLC25A5/PAM/SYTL4/PPP3CA/SLC2A1/HMGN3/PFKL/RHBDF1/IGF1/SLC12A2/SEC24A/CARTPT/ANO1/ABAT/PER2/LGR4/SIRT3/C1QTNF3/ITPR1/ALOX5/UNC13B/TLR5/STXBP4/INS/GCG"
"CC","GO:0031012","extracellular matrix",284,0.529177506194884,1.56798704363281,0.000187325697889467,0.0786885009696944,0.0760764166494528,1138,"tags=24%, list=11%, signal=22%","COL11A1/CLU/MMP23B/MUC5AC/ECM1/LTBP2/ANXA1/LAD1/APOA4/MMP14/COL1A1/COL10A1/HPSE/GPC5/NDNF/FREM1/COL15A1/COL6A2/TGM2/COL1A2/COL4A6/HPX/PZP/COL12A1/CMA1/ADAMTS9/SERPINA1/ANGPTL3/PLSCR1/CSTB/FRAS1/EMILIN1/PODN/SPARC/SRPX2/COL8A1/COL2A1/SFRP2/MMP2/ITIH5/MMP9/AEBP1/COL7A1/SERPINF2/DAG1/SERPINE2/CD151/ANGPTL7/VWA1/CALR/COL27A1/FLRT3/FLRT2/MFAP2/COL6A3/CRISPLD2/ANOS1/TLR3/FBLN2/EGFL7/APOH/MMP15/ADAMTS15/LAMA2/PRELP/APOE/DCN/VASN"
"BP","GO:0070873","regulation of glycogen metabolic process",25,-0.873115888888393,-1.80789534841467,0.000239741850428889,0.0947826456901509,0.0916363122413333,588,"tags=16%, list=6%, signal=15%","MTOR/PPP1CB/IGF1/INS"
"BP","GO:0090277","positive regulation of peptide hormone secretion",55,-0.772395938586009,-1.83486905605955,0.000310684725495296,0.111628286018968,0.107922757358334,325,"tags=9%, list=3%, signal=9%","ANO1/ABAT/SIRT3/INS/GCG"
"BP","GO:0030072","peptide hormone secretion",152,-0.618939106405011,-1.69433807247301,0.000328648777212889,0.111628286018968,0.107922757358334,898,"tags=16%, list=9%, signal=15%","CDK16/CACNA1A/CPT1A/DPP4/ICA1/CACNA2D2/SLC25A5/SYTL4/PPP3CA/SLC2A1/HMGN3/PFKL/PTPRN2/CARTPT/ANO1/MYO5A/ABAT/PER2/SIRT3/CPE/ITPR1/ALOX5/STXBP4/INS/GCG"
"BP","GO:0046883","regulation of hormone secretion",149,-0.621725862377061,-1.69934527250077,0.000332177610531077,0.111628286018968,0.107922757358334,898,"tags=16%, list=9%, signal=15%","CDK16/CACNA1A/CPT1A/DPP4/ICA1/CACNA2D2/SLC25A5/SYTL4/PPP3CA/SLC2A1/HMGN3/PFKL/CARTPT/ANO1/ABAT/PER2/SIRT3/C1QTNF3/CCKAR/ITPR1/ALOX5/STXBP4/INS/GCG"
"BP","GO:0005978","glycogen biosynthetic process",36,-0.8323469070697,-1.84003646495534,0.000382785863668205,0.11554045134139,0.111705057381874,675,"tags=17%, list=7%, signal=16%","GBE1/MTOR/PPP1CB/IGF1/PER2/INS"
