"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0006399","tRNA metabolic process",151,-0.724416720305142,-2.12523819412933,1e-10,1.24859599167411e-07,1.04405735354985e-07,1641,"tags=45%, list=16%, signal=38%","TSEN54/DTD2/OSGEPL1/RPUSD4/DTWD2/NARS2/TYW3/TRMT12/LCMT2/SSB/TRMT6/POP5/METTL8/RPP21/TRMT2B/THUMPD1/ADAT2/CTU1/NSUN6/PSTK/ELP5/TRMT44/ELP6/CDK5RAP1/TRIT1/TRUB1/EXOSC9/TRMT11/OSGEP/NAT10/POP1/AARSD1/RPP25L/CSTF2/CARS2/DUS4L/TRMU/PUS3/TRMT61B/PUS1/TARBP1/ELP4/FAM98B/TRPT1/TRMT5/EXOSC2/RPP38/PUSL1/TPRKB/TRMT112/GATC/TRNT1/MARS2/GATB/THUMPD3/EXOSC3/EXOSC10/PPA2/DARS2/RARS2/PARS2/DUS3L/ADAT3/MTFMT/METTL1/DUS2/THUMPD2/THG1L"
"BP","GO:0022613","ribonucleoprotein complex biogenesis",383,-0.645926192880028,-2.06587413096112,1e-10,1.24859599167411e-07,1.04405735354985e-07,2199,"tags=39%, list=22%, signal=31%","DDX54/WDR12/TSR2/AGO2/SNRPD2/YTHDC1/SRSF9/RPF1/NSUN3/CLP1/SRPK3/UTP15/SART3/GEMIN7/MAK16/NOP2/NOP10/POP7/YBEY/LSM6/RPS28/IMP3/DHX9/RRP8/SRPK1/DDX27/RRP12/PAK1IP1/SF3A3/METTL16/DIS3/FTSJ3/EMG1/NOP9/UTP23/COIL/LSG1/LSM2/XAB2/METTL17/RPUSD4/BYSL/EIF2S2/SIRT7/CPSF7/CD2BP2/ESF1/TFB1M/RRNAD1/TGS1/DHX30/LSM4/BOP1/GAR1/DDX56/URB2/PRPF31/RPUSD1/POLR2D/PWP1/ADAR/POP5/HEATR3/PRKDC/GEMIN8/MRPL36/THUMPD1/EIF2D/PUF60/EIF5/NUP88/CLNS1A/DKC1/BMS1/UTP6/MRPL22/REXO4/NOL6/SNRPG/NOC4L/NOC2L/PES1/MPV17L2/RRP1/NPM3/MPHOSPH10/ZRSR2/NOL9/NOL8/DDX20/NOP16/TSR1/URB1/EXOSC9/TBL3/NAT10/NUDT21/ABT1/DENR/PTGES3/ZNF658/CUL4A/FBL/MTERF3/WDR75/WBP11/NPM1/XRCC5/RUVBL1/SNRPE/NOM1/NVL/RRP15/WDR46/GEMIN5/TRMT61B/LYAR/RIOK1/SNRPF/PWP2/TEX10/PIN4/EXOSC2/RRN3/FCF1/WDR55/NHP2/RPP38/PSIP1/ZNHIT6/SNU13/MDN1/GTF2H5/TRMT112/USP39/FASTKD2/DHX29/EXOSC3/EXOSC10/UTP3/PRPF19/FDXACB1/DDX31/UTP20/WDR77/MTERF4/AGO1/SHQ1"
"BP","GO:0034470","ncRNA processing",333,-0.672494824527665,-2.13384110765588,1e-10,1.24859599167411e-07,1.04405735354985e-07,1983,"tags=42%, list=20%, signal=35%","MAK16/NOP2/DUS1L/NOP10/TRMT10B/POP7/AARS2/YBEY/LSM6/RPS28/IMP3/RRP8/DDX27/RRP12/CPSF1/DTWD1/METTL16/DIS3/FTSJ3/EMG1/NOP9/UTP23/ELP3/PRKRA/TSEN54/OSGEPL1/RPUSD4/BYSL/SIRT7/ESF1/DTWD2/TFB1M/RRNAD1/BOP1/GAR1/DDX56/TYW3/TRMT12/LCMT2/SSB/TRMT6/RPUSD1/ADAR/POP5/METTL8/RPP21/TRMT2B/PRKDC/THUMPD1/SMAD3/DKC1/ADAT2/BMS1/LARP7/CTU1/UTP6/NSUN6/REXO4/NOL6/NOC4L/PES1/RRP1/NPM3/MPHOSPH10/NOL9/NOL8/ELP5/TRMT44/ELP6/CDK5RAP1/TRIT1/TSR1/TRUB1/URB1/EXOSC9/TRMT11/INTS9/TBL3/OSGEP/NAT10/POP1/ABT1/FBL/RPP25L/CSTF2/DUS4L/TRMU/WDR75/WBP11/NVL/PUS3/RRP15/WDR46/TRMT61B/PUS1/TARBP1/ELP4/FAM98B/TRPT1/LYAR/RIOK1/TRMT5/PWP2/TEX10/PIN4/PARN/EXOSC2/FCF1/TUT1/WDR55/NHP2/RPP38/ZNHIT6/SNU13/MDN1/PUSL1/TPRKB/GTF2H5/TRMT112/TRNT1/THUMPD3/INTS10/EXOSC3/EXOSC10/UTP3/FDXACB1/INTS5/UTP20/DUS3L/ADAT3/MTERF4/MTFMT/AGO1/METTL3/METTL1/DUS2/SHQ1/THUMPD2/THG1L"
"BP","GO:0034660","ncRNA metabolic process",387,-0.652063846040807,-2.0947055109592,1e-10,1.24859599167411e-07,1.04405735354985e-07,1983,"tags=41%, list=20%, signal=34%","MAK16/NOP2/DUS1L/NOP10/TRMT10B/POP7/AARS2/YBEY/LSM6/RPS28/IMP3/HRAS/RRP8/DDX27/RRP12/CPSF1/DTWD1/MYBL1/METTL16/DIS3/FTSJ3/LARS2/EMG1/NOP9/UTP23/ELP3/PRKRA/TSEN54/DTD2/OSGEPL1/RPUSD4/BYSL/SIRT7/ESF1/DTWD2/TFB1M/NARS2/RRNAD1/BOP1/KHSRP/GAR1/DDX56/TYW3/TRMT12/LCMT2/SSB/TRMT6/RPUSD1/ADAR/POP5/METTL8/RPP21/TRMT2B/PRKDC/THUMPD1/SMAD3/DKC1/ADAT2/BMS1/LARP7/CTU1/UTP6/NSUN6/REXO4/NOL6/NOC4L/PES1/PNPT1/RRP1/NPM3/MPHOSPH10/PSTK/NOL9/NOL8/ELP5/TRMT44/ELP6/CDK5RAP1/TRIT1/TSR1/TRUB1/URB1/EXOSC9/TRMT11/INTS9/TBL3/OSGEP/NAT10/POP1/ABT1/AARSD1/FBL/RPP25L/CSTF2/CARS2/METTL4/DUS4L/TRMU/WDR75/WBP11/NVL/PUS3/RRP15/WDR46/TRMT61B/PUS1/TARBP1/ELP4/FAM98B/TRPT1/LYAR/RIOK1/TRMT5/PWP2/TEX10/PIN4/PARN/EXOSC2/FCF1/TUT1/WDR55/NHP2/RPP38/ZNHIT6/SNU13/MDN1/PUSL1/TPRKB/GTF2H5/TRMT112/GATC/TRNT1/MARS2/GATB/THUMPD3/INTS10/EXOSC3/EXOSC10/UTP3/FDXACB1/PPA2/DARS2/XPO5/RARS2/INTS5/UTP20/PARS2/DUS3L/ADAT3/MTERF4/MTFMT/AGO1/METTL3/METTL1/DUS2/SHQ1/THUMPD2/THG1L"
"BP","GO:0042254","ribosome biogenesis",265,-0.646445579786759,-2.00421330414491,1e-10,1.24859599167411e-07,1.04405735354985e-07,1983,"tags=38%, list=20%, signal=31%","MAK16/NOP2/NOP10/POP7/YBEY/LSM6/RPS28/IMP3/RRP8/DDX27/RRP12/PAK1IP1/METTL16/DIS3/FTSJ3/EMG1/NOP9/UTP23/LSG1/METTL17/RPUSD4/BYSL/SIRT7/ESF1/TFB1M/RRNAD1/DHX30/BOP1/GAR1/DDX56/URB2/RPUSD1/PWP1/POP5/HEATR3/PRKDC/MRPL36/THUMPD1/NUP88/DKC1/BMS1/UTP6/MRPL22/REXO4/NOL6/NOC4L/NOC2L/PES1/MPV17L2/RRP1/NPM3/MPHOSPH10/NOL9/NOL8/NOP16/TSR1/URB1/EXOSC9/TBL3/NAT10/ABT1/ZNF658/CUL4A/FBL/MTERF3/WDR75/WBP11/NPM1/XRCC5/NOM1/NVL/RRP15/WDR46/TRMT61B/LYAR/RIOK1/PWP2/TEX10/PIN4/EXOSC2/RRN3/FCF1/WDR55/NHP2/RPP38/ZNHIT6/SNU13/MDN1/GTF2H5/TRMT112/FASTKD2/DHX29/EXOSC3/EXOSC10/UTP3/FDXACB1/DDX31/UTP20/MTERF4/SHQ1"
"CC","GO:0009986","cell surface",405,0.597068402190853,1.81784315406148,1.11465197887884e-10,1.24859599167411e-07,1.04405735354985e-07,1537,"tags=31%, list=15%, signal=27%","CD200/CD74/SLC3A2/LAG3/CD53/HLA-DPA1/ACVR1B/CLEC17A/CSF3R/ITGAL/PTPRC/B2M/ITGB2/ABCA1/ACKR4/ZPLD1/CXCR3/STAB2/SDC4/HLA-DPB1/MAP3K5/SLC4A4/CSF1R/C5AR1/MR1/ITGAM/PTPRT/BMP10/TRPV4/GPC5/CDH17/ACKR3/ANGPTL3/ADGRG6/HLA-A/CTSK/LDLR/PLAT/CD22/SLC46A2/FZD4/LPL/CD69/ECE1/TFRC/LIFR/PLA2R1/CLCN3/ADAMTS9/TGFB1/LMO7/ADGRF5/BGN/F3/ASIC1/LY75/BMP2/IL17RC/MSN/P2RY1/ADRA2B/IL1R1/LRFN1/SLC7A5/LIPG/EGFR/ENPP1/LBP/GLDN/HBEGF/CD40/HYAL2/PDGFA/CLSTN2/DSG2/HMMR/HPN/ITGA1/TRPV1/S1PR1/EPHA5/CD59/MCAM/NOD2/INSR/LTF/VCAM1/MMP16/PECAM1/CD276/PDIA3/ITGB1/XCR1/IL2RG/ANTXR2/F2R/PTN/C3/ICAM1/MET/LRRC32/SLC1A3/P2RX7/LRP4/MST1R/ALCAM/CD248/BMPR1A/ENO1/ANPEP/ITGA8/TGFBR1/TNFRSF10A/AOC3/OIT3/GHSR/APMAP/LAMP1/PTPRK/BTN1A1/MPZL1/TGFBR3/ANXA5/FZD10/PRLR/LRP6"
"MF","GO:0140098","catalytic activity, acting on RNA",292,-0.613255860039218,-1.93008114707546,2.58810981422567e-10,2.4849551516301e-07,2.07788245084975e-07,1548,"tags=33%, list=15%, signal=29%","RTCA/POLR2J/DTWD2/TFB1M/NARS2/RRNAD1/POLR3H/ZC3H12B/TGS1/DHX30/FEN1/ALKBH3/DDX56/TYW3/TRMT12/LCMT2/TRMT6/POLR2D/POP5/POLR2F/METTL8/POLR3C/RPP21/TRMT2B/EXD2/POLR1C/POLR2C/NSUN6/POLR2M/PDE12/PNPT1/PSTK/SKIV2L/TRMT44/DDX20/TRIT1/PAN2/EXOSC9/TRMT11/RNASEH1/POP1/POLRMT/IGHMBP2/AARSD1/FBL/TRMT2A/CARS2/METTL4/DUS4L/POLR2L/RNASEH2B/PUS3/POLR2H/TRMT61B/TSN/DDX24/PUS1/TARBP1/DBR1/TRPT1/POLR3E/TRMT5/TDP2/PARN/NYNRIN/EXOSC2/TUT1/RPP38/POLR2K/DHX36/TRMT112/GATC/TRNT1/LRRC47/MARS2/GATB/THUMPD3/DHX29/EXOSC3/EXOSC10/FDXACB1/DARS2/RARS2/MED20/DDX31/PARS2/DUS3L/DHX35/MTFMT/APEX1/METTL3/METTL1/DUS2/THUMPD2/POLR3B/CMTR2/PPP1R8"
"BP","GO:0042330","taxis",347,0.599717142366716,1.80713600393474,1.80428215804808e-09,1.51582254803015e-06,1.26750821602878e-06,1343,"tags=25%, list=13%, signal=22%","NR4A1/EGR2/DUSP1/NR4A3/CD74/LECT2/AIF1/PLXNC1/DOCK2/CSF3R/NCKAP1L/ITGB2/ACKR4/IRS2/PTPN2/CXCR3/CREB1/BIN2/VAV3/CSF1R/C5AR1/CH25H/SLIT3/TRPV4/ACKR3/ABCC1/GRB10/TGFB1/ERBB2/FYN/BOC/F3/PIP5K1C/PDE4B/RHOG/IL17RC/PRKCA/SMO/SH3KBP1/SRC/AGTR1/PTPRM/CCL3L3/ARHGEF16/KIF3A/PDLIM7/SEMA4G/LBP/OPHN1/SEMA4C/HGF/HBEGF/PIP5K1A/GRB7/JAM3/PDGFA/PREX1/PIK3CA/VAV1/FGFR1/SWAP70/DOK2/ITGA1/EPHB1/S1PR1/EPHA5/TIAM1/SEMA3F/CALCA/KDR/PIK3CB/LAMA2/XCR1/PTN/PDE4D/MET/TIRAP/EPHA7/RELN/EFNA1/MCU/CHL1/SEMA4F/ALCAM/ARHGEF5/MYPN"
"BP","GO:0006935","chemotaxis",346,0.599978093695642,1.80795012277476,2.10693204204433e-09,1.57341002828666e-06,1.31566200847657e-06,1343,"tags=25%, list=13%, signal=22%","NR4A1/EGR2/DUSP1/NR4A3/CD74/LECT2/AIF1/PLXNC1/DOCK2/CSF3R/NCKAP1L/ITGB2/ACKR4/IRS2/PTPN2/CXCR3/CREB1/BIN2/VAV3/CSF1R/C5AR1/CH25H/SLIT3/TRPV4/ACKR3/ABCC1/GRB10/TGFB1/ERBB2/FYN/BOC/F3/PIP5K1C/PDE4B/RHOG/IL17RC/PRKCA/SMO/SH3KBP1/SRC/AGTR1/PTPRM/CCL3L3/ARHGEF16/KIF3A/PDLIM7/SEMA4G/LBP/OPHN1/SEMA4C/HGF/HBEGF/PIP5K1A/GRB7/JAM3/PDGFA/PREX1/PIK3CA/VAV1/FGFR1/SWAP70/DOK2/ITGA1/EPHB1/S1PR1/EPHA5/TIAM1/SEMA3F/CALCA/KDR/PIK3CB/LAMA2/XCR1/PTN/PDE4D/MET/TIRAP/EPHA7/RELN/EFNA1/MCU/CHL1/SEMA4F/ALCAM/ARHGEF5/MYPN"
"BP","GO:0009451","RNA modification",135,-0.707082175972334,-2.04998443503469,4.52832755828561e-09,2.9492895741044e-06,2.46615197239499e-06,2003,"tags=53%, list=20%, signal=43%","METTL14/NOP2/DUS1L/NOP10/TRMT10B/AARS2/DTWD1/METTL16/FTSJ3/EMG1/ELP3/OSGEPL1/RPUSD4/DTWD2/TFB1M/RRNAD1/TGS1/GAR1/ALKBH3/TYW3/TRMT12/LCMT2/SSB/TRMT6/RPUSD1/ADAR/METTL8/TRMT2B/THUMPD1/DKC1/ADAT2/LARP7/CTU1/NSUN6/ELP5/TRMT44/ELP6/CDK5RAP1/TRIT1/TRUB1/TRMT11/OSGEP/NAT10/FBL/TRMT2A/METTL4/DUS4L/TRMU/PUS3/TRMT61B/PUS1/TARBP1/ELP4/TRMT5/PARN/NHP2/PUSL1/TPRKB/TRMT112/THUMPD3/FDXACB1/DUS3L/ADAT3/MTERF4/MTFMT/METTL3/METTL1/DUS2/THUMPD2/THG1L/CMTR2"
