"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0002274","myeloid leukocyte activation",410,-0.631188436040644,-1.83360315875675,1e-10,4.48066666666667e-08,3.8021052631579e-08,1127,"tags=24%, list=11%, signal=22%","ALOX5/RAP1B/RAB18/ACAA1/PGAM1/DSN1/CD63/ORMDL3/ATP6V1D/ATP6V0C/ANXA2/ANXA3/CTSD/RHOF/VAPA/VAMP7/MOSPD2/LAMP1/SPHK2/RAB44/PNP/HMOX2/C12orf4/SNAP29/ATM/PIGR/ITGAM/RASGRP1/SVIP/SDCBP/PLSCR1/LBP/ENPP4/TLR6/PIK3CG/NME2/PI4K2A/RAB31/SLC44A2/GPI/STXBP2/RHOG/ADORA2B/HMOX1/TNIP2/PSMB7/CLU/FGL2/PTX3/GPR137B/PYCARD/SPI1/PREX1/CYSTM1/PSAP/KMT2E/TIMP2/LDLR/LRG1/NR1D1/GCA/CD84/ITGAL/ALDOC/B2M/PTPRN2/EPX/PTPN6/SERPINB1/BIN2/ACLY/PGM1/ADGRF5/NCKAP1L/PTPRC/CYBB/TMEM179B/TLR1/C5AR1/CYBA/RAP1A/ITGB2/NR4A3/CD59/CFP/C1QA/RELB/DOCK2/CTSS/CD74/MMP9/CLEC4C/CD53/CD200/OLFM4/AIF1/LYZ"
"BP","GO:0002443","leukocyte mediated immunity",463,-0.60725911034411,-1.78284716305906,1e-10,4.48066666666667e-08,3.8021052631579e-08,1629,"tags=29%, list=16%, signal=26%","FOXF1/NFKB1/RAB6A/PECAM1/ALDOA/ATP11B/C5/BTK/P2RX7/IGF2R/FAF2/APAF1/ARRB2/RAB7A/HLA-A/CTSB/GSN/C8B/PGM2/CAB39/RAC2/ARSB/SLC15A4/B4GALT1/APLF/HSP90AA1/ARG1/AHSG/MVP/C1R/ADGRE5/IRAK4/ALOX5/RAP1B/RAB18/ACAA1/SERPING1/PGAM1/DSN1/CD63/TGFB1/ORMDL3/CEBPG/ATP6V1D/ATP6V0C/ANXA2/PRDX1/ANXA3/BCL3/CTSD/RHOF/VAPA/VAMP7/MOSPD2/LAMP1/SPHK2/CD40/RAB44/PNP/HMOX2/C12orf4/SNAP29/PIGR/ITGAM/RASGRP1/SVIP/SDCBP/ENPP4/PIK3CG/BCL10/C9/NME2/PI4K2A/RAB31/SLC44A2/GPI/STXBP2/TFRC/RHOG/MR1/MALT1/ADORA2B/HMOX1/RSAD2/PSMB7/CLU/FGL2/PTX3/PYCARD/CLNK/CYSTM1/PSAP/KMT2E/TIMP2/C4BPA/LRG1/GCA/CD84/ITGAL/ALDOC/B2M/PTPRN2/C7/BCL6/EPX/PTPN6/SERPINB1/CRP/BIN2/ACLY/INPP5D/PGM1/ACE/NCKAP1L/PTPRC/CYBB/TMEM179B/C5AR1/CYBA/RAP1A/ITGB2/NR4A3/CD59/CFP/C1QA/DOCK2/C1QC/CTSS/CD74/MMP9/CLEC4C/CD53/OLFM4/LAG3/LYZ"
"BP","GO:0006364","rRNA processing",195,0.637809227407075,2.05636612598174,1e-10,4.48066666666667e-08,3.8021052631579e-08,1959,"tags=42%, list=19%, signal=34%","MDN1/THUMPD1/SHQ1/GTF2H5/EXOSC10/RPP38/MPHOSPH10/ERCC2/SNU13/UTP20/EXOSC3/PWP2/RRP15/WDR46/MTERF4/FDXACB1/RPP40/NOP9/DKC1/ZNHIT6/NSUN5/NHP2/TRMT112/RPP30/RRP1/FBL/UTP3/PRKDC/NOP56/NOP2/PIN4/NAT10/GEMIN4/NAF1/MRM1/UTP6/ESF1/NVL/NPM3/RRNAD1/WBP11/TBL3/RSL1D1/TEX10/POP7/NOL10/NOL6/WDR12/NOP10/GAR1/BOP1/REXO4/PES1/DDX56/NOL9/ABT1/C1D/NIFK/LYAR/NOC4L/WDR75/EXOSC4/TFB1M/SIRT7/FCF1/NOP58/MAK16/RPL7L1/PA2G4/RIOK1/UTP23/EBNA1BP2/UTP14A/TSR1/RRP8/DDX52/URB1/LAS1L/NOL8/DHX37/TRMT61B"
"BP","GO:0006954","inflammatory response",374,-0.632303850423382,-1.83134098492176,1e-10,4.48066666666667e-08,3.8021052631579e-08,1297,"tags=26%, list=13%, signal=23%","B4GALT1/F2R/TYRO3/MAPKAPK2/AHSG/PTN/IL6R/CYSLTR1/ADGRE5/NRROS/ALOX5/TGFB1/CHUK/NLRP12/TIRAP/TBK1/CALCA/PPARD/CHIA/ITIH4/ZYX/REL/VAMP7/AGTR1/RELA/CD40/ATM/ITGAM/CCL3L3/RASGRP1/SGMS1/BMP2/PLSCR1/NLRP1/LBP/TLR6/PIK3CG/PPARA/NMI/SEMA7A/LIPA/ADORA2B/USP18/HMOX1/TNIP2/EGFR/CLU/RIPK2/PTX3/HIF1A/PYCARD/JAM3/PTGS1/TPST1/SELP/CYP26B1/STAT3/LDLR/CXCL9/NR1D1/ITGAL/NFKBIA/TRADD/PSTPIP1/BCL6/CXCL2/NOX4/CRP/PTPN2/XCR1/ADCY1/FOS/PTPRC/CYBB/TLR1/C5AR1/CSF1R/CYBA/ITGB2/APOL3/TLR5/TNFAIP3/C1QA/CXCR3/RELB/GPR4/PTGIS/MMP9/HCK/IL17RC/CD200/AIF1/F8/C1QTNF3/HAMP/LYZ"
"BP","GO:0009451","RNA modification",135,0.713149478945225,2.21527755201841,1e-10,4.48066666666667e-08,3.8021052631579e-08,1978,"tags=47%, list=20%, signal=38%","DUS2/THG1L/THUMPD1/NSUN6/DUS3L/METTL1/THUMPD3/TRMT5/PUS1/MTERF4/MTFMT/FDXACB1/METTL3/THUMPD2/DKC1/BCDIN3D/NSUN5/NHP2/TRMT112/ADAT3/CMTR2/FBL/PUSL1/DTWD2/TARBP1/MOCS3/DUS1L/TRMT11/NOP2/NAT10/NAF1/MRM1/PARN/TRUB1/RRNAD1/CTU1/ADARB1/WDR4/NSUN2/NOP10/ZC3H13/PUS3/GAR1/OSGEPL1/CDK5RAP1/METTL4/TRMT2B/TRMT2A/TRMT13/ADAT2/TPRKB/TFB1M/ELP6/MEPCE/ELP5/SSB/TRMT6/TRMT12/ADAD2/TGS1/TRMT61A/TRMT61B/C9orf64"
"BP","GO:0016072","rRNA metabolic process",201,0.627599514713677,2.01720845413125,1e-10,4.48066666666667e-08,3.8021052631579e-08,2362,"tags=48%, list=23%, signal=38%","MDN1/THUMPD1/SHQ1/GTF2H5/EXOSC10/RPP38/MPHOSPH10/ERCC2/SNU13/UTP20/EXOSC3/PWP2/RRP15/WDR46/MTERF4/FDXACB1/RPP40/NOP9/DKC1/ZNHIT6/NSUN5/NHP2/TRMT112/RPP30/RRP1/FBL/UTP3/PRKDC/NOP56/NOP2/PIN4/NAT10/GEMIN4/NAF1/MRM1/UTP6/ESF1/NVL/NPM3/RRNAD1/WBP11/TBL3/RSL1D1/TEX10/POP7/NOL10/NOL6/WDR12/NOP10/GAR1/BOP1/REXO4/PES1/DDX56/NOL9/ABT1/C1D/NIFK/LYAR/NOC4L/WDR75/EXOSC4/TFB1M/SIRT7/FCF1/NOP58/MAK16/RPL7L1/PA2G4/RIOK1/UTP23/EBNA1BP2/UTP14A/TSR1/RRP8/DDX52/URB1/LAS1L/NOL8/DHX37/TRMT61B/DDX54/KAT2B/KRR1/MAPT/BMS1/DDX27/WDR3/WDR55/BYSL/FTSJ3/UTP15/DIS3/METTL16/RPF1/TSR2/PELP1"
"BP","GO:0022613","ribonucleoprotein complex biogenesis",383,0.555186752552218,1.91975761209784,1e-10,4.48066666666667e-08,3.8021052631579e-08,1934,"tags=30%, list=19%, signal=25%","MDN1/DDX31/THUMPD1/SHQ1/FASTKD2/GTF2H5/AGO1/EXOSC10/RPP38/MPHOSPH10/ERCC2/SNU13/WDR77/UTP20/SRPK3/EXOSC3/PWP2/NOM1/RRP15/WDR46/MTERF4/FDXACB1/RPP40/NOP9/DKC1/ZNHIT6/NSUN5/PRPF19/NHP2/TRMT112/RPP30/RRP1/MPV17L2/SRPK1/FBL/UTP3/GEMIN8/PRKDC/DHX29/NOP16/SNRPG/MRPL22/NOP56/NOP2/PIN4/NAT10/GEMIN4/NAF1/MRM1/UTP6/RRN3/ESF1/NVL/ZNF658/CUL4A/NPM1/MTERF3/NPM3/GTF3A/RRNAD1/WBP11/TBL3/RSL1D1/CPSF7/TEX10/PRPF3/USP39/POP7/NOL10/NOL6/WDR12/NOP10/GEMIN5/HEATR3/GAR1/BOP1/REXO4/PES1/DDX56/NOL9/SNRPE/CRNKL1/ABT1/C1D/NIFK/LYAR/MYBBP1A/NOC4L/NUDT21/WDR75/EXOSC4/TFB1M/SIRT7/FCF1/NOP58/PTEN/CLNS1A/MAK16/RPL7L1/PA2G4/COIL/RIOK1/UTP23/EBNA1BP2/UTP14A/TSR1/RRP8/DDX52/URB1/LAS1L/PWP1/NOL8/TGS1/DHX37/DENR/RUVBL1"
"CC","GO:0030141","secretory granule",496,-0.615314506472743,-1.80905957509261,1e-10,4.48066666666667e-08,3.8021052631579e-08,1626,"tags=28%, list=16%, signal=24%","POMT1/NFKB1/RAB6A/PECAM1/ALDOA/ATP11B/RAB27B/IGF2R/FAF2/APAF1/APOA1/VEGFC/RAB7A/CTSB/GSN/PGM2/CAB39/ARSB/SLC15A4/CD9/FGA/B4GALT1/FLOT2/HSP90AA1/ARG1/AHSG/MVP/RAB12/ADGRE5/CLCN3/ALOX5/CARTPT/RAP1B/RAB18/ACAA1/ECE1/SERPING1/PGAM1/DSN1/CD63/KIF1A/TGFB1/CSNK2A2/ORMDL3/BMF/ABCA3/ATP6V1D/ATP6V0C/ANXA2/SLC6A9/ITIH4/FGB/ANXA3/CCDC136/CTSD/RHOF/VAPA/ATP6V0A2/VAMP7/MOSPD2/LAMP1/RAB44/PNP/HMOX2/SNAP29/PIGR/ITGAM/SCG3/FGG/SVIP/PHACTR2/SDCBP/ENPP4/CDC37L1/DMBT1/NME2/RAB31/SLC44A2/GPI/TIMP3/STXBP2/RHOG/IZUMO1/FNDC3A/PSMB7/CLU/THBS2/FGL2/PTX3/BRCA2/PYCARD/ICA1/CYSTM1/SELP/PSAP/TIMP2/LRG1/GCA/ITGAL/ALDOC/B2M/MOXD1/PLAT/PTPRN2/EPX/PTPN6/SERPINB1/DENND4C/NCF2/BIN2/CAV2/CTSL/SNX10/ACLY/PGM1/ATP7A/NCKAP1L/PTPRC/CYBB/TMEM179B/C5AR1/CYBA/IGF2/RAP1A/ITGB2/SFTPA2/CD59/CFP/DOCK2/CTSS/MMP9/CLEC4C/CD53/OLFM4/F8/REG1A/LYZ"
"BP","GO:0034470","ncRNA processing",333,0.620706439209177,2.11747353234501,1e-10,4.48066666666667e-08,3.8021052631579e-08,1895,"tags=38%, list=19%, signal=32%","DUS2/MDN1/THG1L/THUMPD1/SHQ1/GTF2H5/AGO1/TRNT1/EXOSC10/NSUN6/RPP38/DUS3L/MPHOSPH10/ERCC2/METTL1/SNU13/UTP20/THUMPD3/TRMT5/EXOSC3/PWP2/INTS10/PUS1/RRP15/INTS9/WDR46/MTERF4/MTFMT/FDXACB1/METTL3/RPP25L/INTS5/RPP40/THUMPD2/NOP9/DKC1/ZNHIT6/BCDIN3D/NSUN5/NHP2/TRMT112/RPP30/ADAT3/RRP1/FBL/PUSL1/UTP3/DTWD2/TARBP1/MOCS3/DUS1L/PRKDC/TRMT11/NOP56/NOP2/PIN4/NAT10/GEMIN4/NAF1/MRM1/FAM98B/UTP6/ESF1/NVL/PARN/TRUB1/NPM3/RRNAD1/CTU1/WBP11/TBL3/RSL1D1/TEX10/WDR4/POP7/NOL10/NSUN2/NOL6/WDR12/NOP10/SMAD3/PUS3/GAR1/BOP1/OSGEPL1/REXO4/PES1/CDK5RAP1/DDX56/NOL9/ABT1/TRMT2B/C1D/NIFK/TRMT13/LYAR/LAGE3/NOC4L/WDR75/ADAT2/EXOSC4/TPRKB/TFB1M/SIRT7/ELP6/FCF1/NOP58/MAK16/RPL7L1/PA2G4/ELP5/SSB/TSEN54/TRMT6/RIOK1/TRMT12/UTP23/EBNA1BP2/UTP14A/TSR1/RRP8/DDX52/URB1/LAS1L/NOL8"
"BP","GO:0034660","ncRNA metabolic process",387,0.606791661730731,2.08746911818446,1e-10,4.48066666666667e-08,3.8021052631579e-08,1959,"tags=37%, list=19%, signal=31%","DUS2/MDN1/THG1L/THUMPD1/SHQ1/RARS2/GTF2H5/AGO1/TRNT1/EXOSC10/NSUN6/RPP38/DUS3L/MPHOSPH10/ERCC2/METTL1/SNU13/UTP20/THUMPD3/TRMT5/EXOSC3/PWP2/INTS10/PPA2/XPO5/PUS1/RRP15/INTS9/WDR46/MTERF4/MTFMT/CARS2/FDXACB1/METTL3/RPP25L/INTS5/RPP40/THUMPD2/NOP9/PNPT1/DKC1/ZNHIT6/BCDIN3D/NSUN5/NHP2/TRMT112/RPP30/ADAT3/RRP1/FBL/PUSL1/UTP3/DTWD2/TARBP1/MOCS3/DUS1L/PRKDC/TRMT11/NOP56/NOP2/PIN4/NAT10/GEMIN4/NAF1/MRM1/FAM98B/UTP6/ESF1/NVL/PARN/TRUB1/NPM3/RRNAD1/CTU1/WBP11/TBL3/RSL1D1/RC3H2/TEX10/EEF1E1/WDR4/POP7/NOL10/NSUN2/NOL6/WDR12/GATC/NOP10/SMAD3/PUS3/GAR1/BOP1/OSGEPL1/REXO4/PES1/CDK5RAP1/DDX56/NOL9/METTL4/LARS2/YARS2/ABT1/TRMT2B/C1D/NIFK/TRMT13/LYAR/LAGE3/NOC4L/WDR75/ADAT2/DARS2/EXOSC4/TPRKB/TFB1M/SIRT7/ELP6/FCF1/NOP58/MEPCE/MAK16/RPL7L1/PA2G4/ELP5/WARS2/SSB/TSEN54/TRMT6/RIOK1/DTD2/TRMT12/UTP23/EBNA1BP2/UTP14A/TSR1/RRP8/DDX52/URB1/LAS1L/MARS2/NOL8/PARS2/DHX37/TRMT61A/TRMT61B"
