"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0006364","rRNA processing",195,0.604609091554352,2.14594636196536,1e-10,7.46777777777778e-08,6.77777777777778e-08,1708,"tags=44%, list=17%, signal=37%","MDN1/MRM1/NOL6/DDX10/NOP9/MPHOSPH10/PWP2/SHQ1/ZNHIT6/HEATR1/UTP20/SRFBP1/UTP6/NOP58/PES1/RPP38/DHX37/FBL/NOL8/URB1/NVL/SNU13/DKC1/RSL1D1/WDR43/TSR1/TBL3/NSUN5/RRP8/EXOSC10/NOP2/NOP56/WDR46/PDCD11/NOL9/BOP1/WDR74/NOP10/WDR3/ESF1/RRP15/DDX27/TEX10/PA2G4/NPM3/DDX52/RRP9/UTP3/BYSL/RRP1/RRS1/RIOK1/TFB1M/RPL7L1/NAF1/NAT10/EXOSC4/WDR55/REXO4/UTP14A/KRI1/DDX56/DDX54/WDR75/GAR1/WDR12/LAS1L/WBP11/RPUSD2/NSUN3/TRMT112/UTP4/EXOSC3/WDR36/FDXACB1/NOL10/GEMIN4/EMG1/RPUSD1/RPP40/METTL16/MTERF4/ERCC2/RIOK2/THUMPD1"
"BP","GO:0016072","rRNA metabolic process",201,0.601533321634295,2.13188306542699,1e-10,7.46777777777778e-08,6.77777777777778e-08,1708,"tags=43%, list=17%, signal=36%","MDN1/MRM1/NOL6/DDX10/NOP9/MPHOSPH10/PWP2/SHQ1/ZNHIT6/HEATR1/UTP20/SRFBP1/UTP6/NOP58/PES1/RPP38/DHX37/FBL/NOL8/URB1/NVL/SNU13/DKC1/RSL1D1/WDR43/TSR1/TBL3/MAPT/NSUN5/RRP8/EXOSC10/NOP2/NOP56/WDR46/PDCD11/NOL9/BOP1/WDR74/NOP10/WDR3/ESF1/RRP15/DDX27/TEX10/PA2G4/NPM3/DDX52/RRP9/UTP3/BYSL/RRP1/RRS1/RIOK1/TFB1M/RPL7L1/NAF1/NAT10/EXOSC4/WDR55/REXO4/UTP14A/KRI1/DDX56/DDX54/WDR75/GAR1/WDR12/LAS1L/WBP11/RPUSD2/NSUN3/TRMT112/UTP4/EXOSC3/WDR36/FDXACB1/NOL10/GEMIN4/EMG1/RPUSD1/RPP40/METTL16/MTERF4/ERCC2/RIOK2/THUMPD1"
"BP","GO:0022613","ribonucleoprotein complex biogenesis",383,0.499661260479459,1.86945446695713,1e-10,7.46777777777778e-08,6.77777777777778e-08,1708,"tags=32%, list=17%, signal=28%","MDN1/MRM1/NOL6/DDX10/NOP9/MPHOSPH10/PWP2/SHQ1/ZNHIT6/HEATR1/UTP20/SRFBP1/UTP6/NOP58/PES1/MYBBP1A/RPP38/DHX37/GTF3A/URB2/FBL/NOL8/URB1/NVL/GEMIN5/AGO1/SNU13/DKC1/RSL1D1/WDR43/DDX31/TSR1/TBL3/PRPF8/NSUN5/PPAN/NOP16/RRP8/NUFIP1/EXOSC10/NOC2L/NOP2/NOP56/WDR46/PDCD11/SF1/NOL9/BOP1/METTL17/WDR74/MPV17L2/SRPK3/NOP10/WDR3/ESF1/SNRNP200/RRP15/DDX27/CPSF6/WDR77/HEATR3/TEX10/PA2G4/NPM3/NOM1/DDX52/RRP9/UTP3/BYSL/FASTKD2/RRP1/RRS1/RIOK1/TFB1M/RPL7L1/NAF1/NAT10/AGO2/EXOSC4/WDR55/REXO4/UTP14A/KRI1/DHX29/DDX56/EIF3A/DDX54/WDR75/GAR1/WDR12/LAS1L/WBP11/ABCE1/RPUSD2/TGS1/NSUN3/XRCC5/TRMT112/RRN3/UTP4/EXOSC3/PRPF3/WDR36/SURF6/ZNF622/FDXACB1/LSG1/PRPF6/NOL10/GEMIN4/EMG1/RPUSD1/RPP40/SCAF11/GEMIN8/AATF/METTL16/AGO4/MTERF4/LUC7L2/ERCC2/PAK1IP1/RIOK2/THUMPD1"
"CC","GO:0030141","secretory granule",496,-0.542583343912569,-1.81922826551497,1e-10,7.46777777777778e-08,6.77777777777778e-08,2304,"tags=36%, list=23%, signal=29%","GLB1/ACAA1/DMBT1/VAMP7/FGL2/HSP90AB1/PLA1A/ITGB3/HMGB1/IDH1/CTSL/PSMA5/IZUMO1/RHOG/DYNC1LI1/ADGRE5/CR1/PSMD7/MIF/TMED2/RAB44/ALDOC/FRK/RAB27A/PRDX4/CCT8/RAB12/SERPINB6/PLAT/CTSS/CDC42/CARTPT/FUCA2/LAMP1/STK11IP/RAB7A/RHOA/SNCA/ERP44/TTR/PPIE/LGALS3/FN1/LAMP3/CSNK2A2/SLC15A4/APOH/GGH/LPCAT1/CFP/PHACTR2/YPEL5/COPB1/SERPINA1/ATP7A/CDA/PSMD6/CD55/CYBB/ACLY/GOLGA7/BRI3/RAP2C/VAMP2/FTH1/STX3/ACTN1/TOM1/CTSA/STXBP2/CDC37L1/PSMC2/PSMB1/PSAP/RAP1B/MVP/VAT1/SNAP23/PSMB7/OLFM4/VTI1B/SNAP29/CPPED1/ABCA3/IQGAP1/ANXA3/PECAM1/ACTN2/PGM1/GCA/FGB/PRDX6/LAMTOR2/CRISPLD2/GTPBP2/ATP6V0A2/GPI/SERPINF2/TSPAN14/RAB3D/DNAJC3/GMFG/GLA/ARSA/CKAP4/FNDC3A/ARPC5/HMOX2/CD63/TIMP2/SERPINE2/CTSB/RAB18/SLC2A5/TMSB4X/COMMD3/TBXA2R/COMMD9/TXNDC5/POMT1/ABHD2/FGG/PSMC3/SRP14/UNC13D/SNX10/LAMTOR3/PTPRN2/ALDOA/SVIP/VAPA/ENPP4/APOA1/TMEM179B/STX7/SRI/DERA/PSMD14/ANXA2/B2M/CALR/STXBP1/CD9/BIN2/SPARC/GSN/SERPINB1/SLC44A2/LRG1/LHFPL2/S100P/GOLGA1/CSTB/SFTPA2/LTF/CMA1/IGF2/RAP1A/SPACA4/NCF2/GALNS/COL1A1/SELP/BRCA2/RAB31/HSP90AA1/HPSE/THBS1/CD53/PIGR/NME2/PYCARD/MOXD1/ECM1/F8/MMP9/LYZ/CLU/REG1A"
"CC","GO:0030684","preribosome",71,0.75971134599988,2.30355097086954,1e-10,7.46777777777778e-08,6.77777777777778e-08,1569,"tags=58%, list=16%, signal=49%","MDN1/NOL6/NOP9/MPHOSPH10/PWP2/HEATR1/UTP20/SRFBP1/UTP6/NOP58/PES1/FBL/SNU13/RSL1D1/TSR1/TBL3/PPAN/NOC2L/NOP56/WDR46/PDCD11/BOP1/WDR74/WDR3/RRP15/RRP9/UTP3/BYSL/RRP1/RRS1/RIOK1/UTP14A/KRI1/WDR12/LAS1L/XRCC5/UTP4/WDR36/ZNF622/NOL10/EMG1"
"CC","GO:0031012","extracellular matrix",284,-0.611026412065974,-1.97573372675809,1e-10,7.46777777777778e-08,6.77777777777778e-08,1476,"tags=30%, list=15%, signal=27%","MFAP1/COL6A3/ANGPTL1/PSAP/ADAMTS2/COL6A2/FBLN2/COL21A1/AEBP1/HAPLN3/MMP2/MYOC/FGB/BGN/LRRC15/CRISPLD2/HMCN2/SERPINF2/COL2A1/COL11A1/LAMA2/SMOC1/PODN/PRG4/ADAMTS5/CLEC14A/GP1BA/NTNG2/ADAMTS9/EDIL3/TIMP2/TMEFF1/COL4A6/SERPINE2/CTSB/COL6A1/MUC5AC/HMCN1/FGG/CRELD1/SEMA7A/MFAP4/ANXA5/CD151/ADAMTS12/APOA1/PRELP/ANXA2/ANGPT1/COL8A1/HPSE2/CALR/SPARC/SERPINB1/ANXA1/TLR3/WNT5A/COL27A1/CSTB/COL10A1/CMA1/COL1A2/CXCL12/RELL2/LTBP2/COL1A1/MMP28/SDC3/PLSCR1/SPOCK2/HPSE/LRRC17/TFPI2/THBS1/MMP14/DCN/POSTN/MMP23B/COL12A1/TGM2/OLFML2A/PHOSPHO1/HTRA1/ECM1/MMP9/CLU"
"BP","GO:0034470","ncRNA processing",333,0.526230673909362,1.94415785971223,1e-10,7.46777777777778e-08,6.77777777777778e-08,1708,"tags=34%, list=17%, signal=29%","MDN1/MRM1/NOL6/NSUN6/DDX10/DUS2/NOP9/MPHOSPH10/PWP2/SHQ1/ZNHIT6/HEATR1/PUS1/UTP20/SRFBP1/UTP6/NOP58/PES1/RPP38/DHX37/FAM98B/FBL/NOL8/DUS1L/URB1/NVL/AGO1/SNU13/DKC1/TRMT61A/RSL1D1/WDR43/TSR1/TBL3/TRNT1/DUS3L/NSUN5/RRP8/EXOSC10/NOP2/NOP56/WDR46/PDCD11/NOL9/BOP1/TARBP1/WDR74/NOP10/WDR3/ESF1/RRP15/THUMPD3/DDX27/TEX10/PA2G4/NPM3/DDX52/RRP9/TRMT44/UTP3/BYSL/RRP1/RRS1/RIOK1/TFB1M/C2orf49/RPL7L1/NAF1/NAT10/AGO2/EXOSC4/WDR55/CPSF1/REXO4/UTP14A/KRI1/DDX56/THADA/DDX54/WDR75/TOE1/GAR1/WDR12/USB1/INTS4/LAS1L/TRMT2B/WBP11/RPUSD2/CDK5RAP1/RPP25L/NSUN3/TRMT112/UTP4/EXOSC3/ALKBH8/WDR36/ELP3/FDXACB1/NOL10/SSB/GEMIN4/EMG1/RPUSD1/TRMT11/RPP40/METTL16/SMAD3/AGO4/MTERF4/ERCC2/TRMT5/RIOK2/THUMPD1"
"BP","GO:0034660","ncRNA metabolic process",387,0.506279709754608,1.89637580246587,1e-10,7.46777777777778e-08,6.77777777777778e-08,1708,"tags=32%, list=17%, signal=27%","MDN1/MRM1/YARS2/NOL6/NSUN6/DDX10/DUS2/NOP9/MPHOSPH10/PWP2/SHQ1/ZNHIT6/HEATR1/PUS1/UTP20/SRFBP1/UTP6/NOP58/PES1/RPP38/DHX37/FAM98B/FBL/NOL8/DUS1L/URB1/NVL/AGO1/SNU13/DKC1/TRMT61A/RSL1D1/WDR43/TSR1/TBL3/MAPT/TRNT1/XPO5/DUS3L/NSUN5/RRP8/EXOSC10/NOP2/NOP56/WDR46/PDCD11/NOL9/BOP1/TARBP1/WDR74/NOP10/WDR3/ESF1/RRP15/THUMPD3/DDX27/TEX10/IARS2/PA2G4/NPM3/DDX52/RRP9/TRMT44/UTP3/BYSL/RRP1/RRS1/RIOK1/TFB1M/C2orf49/RPL7L1/NAF1/NAT10/AGO2/EXOSC4/WDR55/CPSF1/REXO4/UTP14A/LARS2/KRI1/DDX56/THADA/DDX54/WDR75/TOE1/GAR1/WDR12/USB1/INTS4/LAS1L/TRMT2B/WBP11/WARS2/RPUSD2/CDK5RAP1/RPP25L/NSUN3/SND1/TRMT112/ZC3H12A/UTP4/EXOSC3/ALKBH8/WDR36/ELP3/FDXACB1/NOL10/SSB/GEMIN4/EMG1/RPUSD1/TRMT11/RPP40/METTL16/RARS2/SMAD3/AGO4/MTERF4/ERCC2/TRMT5/RIOK2/THUMPD1"
"BP","GO:0042254","ribosome biogenesis",265,0.581504768624074,2.11732837170983,1e-10,7.46777777777778e-08,6.77777777777778e-08,1708,"tags=40%, list=17%, signal=34%","MDN1/MRM1/NOL6/DDX10/NOP9/MPHOSPH10/PWP2/SHQ1/ZNHIT6/HEATR1/UTP20/SRFBP1/UTP6/NOP58/PES1/MYBBP1A/RPP38/DHX37/GTF3A/URB2/FBL/NOL8/URB1/NVL/SNU13/DKC1/RSL1D1/WDR43/DDX31/TSR1/TBL3/NSUN5/PPAN/NOP16/RRP8/EXOSC10/NOC2L/NOP2/NOP56/WDR46/PDCD11/NOL9/BOP1/METTL17/WDR74/MPV17L2/NOP10/WDR3/ESF1/RRP15/DDX27/HEATR3/TEX10/PA2G4/NPM3/NOM1/DDX52/RRP9/UTP3/BYSL/FASTKD2/RRP1/RRS1/RIOK1/TFB1M/RPL7L1/NAF1/NAT10/EXOSC4/WDR55/REXO4/UTP14A/KRI1/DHX29/DDX56/DDX54/WDR75/GAR1/WDR12/LAS1L/WBP11/ABCE1/RPUSD2/NSUN3/XRCC5/TRMT112/RRN3/UTP4/EXOSC3/WDR36/SURF6/ZNF622/FDXACB1/LSG1/NOL10/GEMIN4/EMG1/RPUSD1/RPP40/AATF/METTL16/MTERF4/ERCC2/PAK1IP1/RIOK2/THUMPD1"
"CC","GO:0062023","collagen-containing extracellular matrix",228,-0.626412577280317,-1.99150680520976,1.84961060320497e-10,1.24312328641406e-07,1.12826246795503e-07,1436,"tags=31%, list=14%, signal=27%","COL6A3/ANGPTL1/PSAP/ADAMTS2/COL6A2/FBLN2/COL21A1/AEBP1/MMP2/MYOC/FGB/BGN/LRRC15/HMCN2/SERPINF2/COL2A1/COL11A1/LAMA2/SMOC1/PODN/PRG4/ADAMTS5/CLEC14A/NTNG2/ADAMTS9/EDIL3/TIMP2/TMEFF1/COL4A6/SERPINE2/CTSB/COL6A1/HMCN1/FGG/CRELD1/SEMA7A/MFAP4/ANXA5/CD151/APOA1/PRELP/ANXA2/ANGPT1/COL8A1/CALR/SPARC/SERPINB1/ANXA1/WNT5A/COL27A1/CSTB/COL10A1/CMA1/COL1A2/CXCL12/RELL2/LTBP2/COL1A1/MMP28/SDC3/PLSCR1/THBS1/DCN/POSTN/MMP23B/COL12A1/TGM2/HTRA1/ECM1/MMP9/CLU"
