"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0140014","mitotic nuclear division",214,-0.589890827197531,-1.8494386462127,9.24536214930839e-08,0.000635433740521966,0.000600753900501902,1270,"tags=28%, list=12%, signal=25%","PRKCA/NCAPH/PHIP/BIRC5/SIRT2/MYBL2/MIS12/CDC14A/NSMCE2/MAD2L1/KIF20B/CHEK2/KLHDC8B/CENPF/BMP7/BUB1B/TGFA/NME6/SMC4/PIN1/PSMG2/AURKB/ANAPC15/KIF23/ESPL1/RACGAP1/ANAPC11/RMDN1/POGZ/UBE2C/ANAPC1/NCAPG2/CENPE/ATM/ZW10/NUMA1/INCENP/KIF4A/SMC2/NCAPD3/NDC80/TACC3/CDK1/KIF11/CCNB1/ANLN/DSN1/SPDL1/SLF1/NCAPG/BUB1/PRC1/NUSAP1/MKI67/TTK/TPX2/KIF2C/TTN/CDC20/PLK1"
"BP","GO:0000070","mitotic sister chromatid segregation",124,-0.661509568499687,-1.95993806344808,2.14424568230421e-07,0.000664496136887494,0.000628230168853944,751,"tags=31%, list=7%, signal=29%","CENPF/BUB1B/SMC4/PSMG2/AURKB/ANAPC15/KIF23/ESPL1/RACGAP1/ANAPC11/RMDN1/POGZ/UBE2C/ANAPC1/NCAPG2/CENPE/ATM/ZW10/NUMA1/INCENP/KIF4A/SMC2/NCAPD3/NDC80/TACC3/CCNB1/DSN1/SPDL1/SLF1/NCAPG/BUB1/PRC1/NUSAP1/TTK/KIF2C/TTN/CDC20/PLK1"
"CC","GO:0005819","spindle",272,-0.554056292383486,-1.77451161361959,2.90046327755344e-07,0.000664496136887494,0.000628230168853944,1573,"tags=26%, list=15%, signal=23%","CIAO1/KLHL42/RB1/DYNLT1/CEP128/EPB41/CSPP1/RAB11FIP4/PLK4/SPIN1/TUBGCP6/INVS/LIMK2/BIRC5/SIRT2/MAPRE3/CDC14A/CDC7/NPM1/HDAC3/MAD2L1/PIN4/CKAP2/KIF20B/SKA2/TERF1/SKA1/CEP162/CENPF/BUB1B/AURKB/KIF23/ESPL1/NGRN/RACGAP1/CEP104/NUDCD2/RMDN1/MAPK14/SHCBP1/CENPE/ARL2BP/UNC119/ATM/ZW10/NUMA1/INCENP/CBX1/KIF4A/CAPG/MAPK15/TACC3/SPAG8/CDK1/TTLL12/HAUS5/KIF11/CCNB1/DSN1/SPDL1/ASPM/NCOR1/CKAP2L/PRC1/NUSAP1/TTK/TPX2/KIF20A/KIF2C/CDC20/KIF15/PLK1"
"BP","GO:0007059","chromosome segregation",223,-0.563585437244865,-1.78083931319799,6.23598374446914e-07,0.00107149790689341,0.00101301914880547,1259,"tags=26%, list=12%, signal=23%","NCAPH/CENPH/BIRC5/SIRT2/MIS12/NSMCE2/MAD2L1/TTL/SKA2/TERF1/RMI1/SKA1/KLHDC8B/CENPF/CTCF/BUB1B/SMC4/PSMG2/AURKB/ANAPC15/KIF23/ESPL1/RACGAP1/ANAPC11/RMDN1/POGZ/UBE2C/ANAPC1/TOP2A/NCAPG2/CENPE/ATM/ZW10/NUMA1/INCENP/CENPW/KIF4A/SMC2/NCAPD3/MAPK15/BRIP1/NDC80/TACC3/CCNB1/DSN1/SPDL1/SLF1/NCAPG/BUB1/PRC1/NUSAP1/MKI67/TTK/KIF2C/TTN/CDC20/PLK1"
"BP","GO:0000819","sister chromatid segregation",143,-0.635769020867121,-1.90449327545771,8.92958354792014e-07,0.0012274605544971,0.00116046987876444,751,"tags=29%, list=7%, signal=27%","CENPF/CTCF/BUB1B/SMC4/PSMG2/AURKB/ANAPC15/KIF23/ESPL1/RACGAP1/ANAPC11/RMDN1/POGZ/UBE2C/ANAPC1/TOP2A/NCAPG2/CENPE/ATM/ZW10/NUMA1/INCENP/KIF4A/SMC2/NCAPD3/MAPK15/NDC80/TACC3/CCNB1/DSN1/SPDL1/SLF1/NCAPG/BUB1/PRC1/NUSAP1/TTK/KIF2C/TTN/CDC20/PLK1"
"BP","GO:0098813","nuclear chromosome segregation",179,-0.586973189491671,-1.81842283062843,1.5195022489038e-06,0.00164064594876868,0.00155110500153141,764,"tags=27%, list=7%, signal=25%","NSMCE2/MAD2L1/TTL/TERF1/RMI1/KLHDC8B/CENPF/CTCF/BUB1B/SMC4/PSMG2/AURKB/ANAPC15/KIF23/ESPL1/RACGAP1/ANAPC11/RMDN1/POGZ/UBE2C/ANAPC1/TOP2A/NCAPG2/CENPE/ATM/ZW10/NUMA1/INCENP/KIF4A/SMC2/NCAPD3/MAPK15/BRIP1/NDC80/TACC3/CCNB1/DSN1/SPDL1/SLF1/NCAPG/BUB1/PRC1/NUSAP1/TTK/KIF2C/TTN/CDC20/PLK1"
"BP","GO:0000280","nuclear division",282,-0.528181016774497,-1.69100044320339,1.67096197313848e-06,0.00164064594876868,0.00155110500153141,1281,"tags=25%, list=12%, signal=23%","PSMA8/PRKCA/NCAPH/PHIP/BIRC5/SIRT2/MYBL2/MIS12/CDC14A/NSMCE2/MAD2L1/KIF20B/TERF1/RMI1/CHEK2/KLHDC8B/CENPF/BMP7/BUB1B/TGFA/NME6/SMC4/PIN1/PSMG2/AURKB/ANAPC15/KIF23/ESPL1/RACGAP1/ANAPC11/RMDN1/POGZ/UBE2C/ANAPC1/RAD54L/TOP2A/NCAPG2/CENPE/ATM/ZW10/NUMA1/INCENP/KIF4A/BRCA2/SMC2/NCAPD3/MAPK15/BRIP1/NDC80/TACC3/CALR/CDK1/KIF11/CCNB1/ANLN/DSN1/SPDL1/SLF1/WNT5A/ASPM/NCAPG/BUB1/PRC1/NUSAP1/MKI67/TTK/TPX2/KIF2C/TTN/CDC20/PLK1"
"BP","GO:0051301","cell division",441,-0.477061042831986,-1.5983330550142,2.06618169796656e-06,0.00172663635650422,0.00163240234153485,1777,"tags=26%, list=17%, signal=22%","ING2/ACTR3/SMC1A/MPLKIP/NUF2/FGF2/CDC25A/ECT2/BBS4/VRK1/ARF6/TOP1/KLHL42/RB1/DYNLT1/FBXL7/BTC/EPB41/CSPP1/CHMP6/PELO/RAB11FIP4/PLK4/VEGFA/NUDC/NCAPH/BIRC5/PARD6B/SIRT2/MAPRE3/MIS12/CDC14A/ZBTB16/CDC7/USP39/BCAR1/NSMCE2/MAD2L1/ANK3/CKAP2/KIF20B/SKA2/TERF1/CDK4/SKA1/TP63/ZFYVE19/FGF13/ITGB1BP1/NCOA3/CHEK2/CETN2/KLHDC8B/CENPF/BUB1B/TGFA/ANAPC13/SMC4/PIN1/CKS1B/AURKB/RBBP8/ANAPC15/KIF23/ESPL1/RACGAP1/ANAPC11/CABLES1/POGZ/LZTS2/UBE2C/DCLRE1A/ANAPC1/PAX6/TOP2A/NCAPG2/CENPE/UNC119/LIG4/ZW10/NUMA1/INCENP/FGF1/CINP/KIT/CENPW/KIF4A/CCNA2/BRCA2/SMC2/NCAPD3/BRIP1/NDC80/TACC3/KLHL13/CDK1/HAUS5/KIF11/CCNB1/ANLN/DSN1/SPDL1/ASPM/NCAPG/BUB1/PRC1/NUSAP1/TPX2/KIF20A/CDCA3/KIF2C/CDC20/PLK1"
"BP","GO:0051783","regulation of nuclear division",134,-0.629316666877024,-1.88302536459078,2.52935071784509e-06,0.00172663635650422,0.00163240234153485,751,"tags=30%, list=7%, signal=28%","PSMA8/PHIP/SIRT2/CDC14A/NSMCE2/MAD2L1/KIF20B/CENPF/BMP7/BUB1B/TGFA/NME6/PIN1/PSMG2/AURKB/ANAPC15/ESPL1/ANAPC11/UBE2C/ANAPC1/CENPE/ATM/ZW10/NUMA1/MAPK15/NDC80/TACC3/CALR/KIF11/CCNB1/ANLN/SPDL1/SLF1/WNT5A/BUB1/NUSAP1/MKI67/TTK/CDC20/PLK1"
"BP","GO:0007051","spindle organization",136,-0.627237860466828,-1.88361843978431,2.68736626903052e-06,0.00172663635650422,0.00163240234153485,1283,"tags=26%, list=12%, signal=23%","TUBGCP6/LIMK2/CENPH/BIRC5/CHD3/MAPRE3/MYBL2/HDAC3/CHEK2/PKD1/AURKB/KIF23/ESPL1/RACGAP1/RMDN1/LZTS2/CENPE/NUMA1/INCENP/CENPW/KIF4A/MAPK15/NDC80/TACC3/TBCE/HAUS5/KIF11/CCNB1/ASPM/NCOR1/PRC1/TTK/TPX2/CDC20/PLK1"
