"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0001816","cytokine production",431,-0.644003605212368,-1.86235403157905,1e-10,1.1455e-07,1.02070175438597e-07,1244,"tags=26%, list=12%, signal=24%","PLCG2/PTGS2/F11R/IL1RAP/POLR2E/TAX1BP1/EIF2AK2/ZBTB7B/POLR3K/IRAK4/LPL/LYN/PRKCZ/PRKCD/NLRC3/ERRFI1/STAT3/IL6R/SIRT1/RELB/BTK/LRRC32/BRCA1/TMF1/SERPINB1/HLA-A/ASH1L/JAK2/ABCA1/NLRP12/NRROS/BCL3/TRIB2/IL1R1/TIRAP/CASP8/CHUK/ZC3H12A/MYB/RASGRP1/ARRB1/DDX41/KPNA6/TLR6/NLRP1/IL17RA/GPATCH3/NFKB2/MR1/HLA-G/REL/STAT6/CD40/B2M/TRAF3/CREB1/AVPR2/EPHA2/BCL10/PTGER4/IRF7/IL18RAP/SEMA7A/CHRNA7/BCL6/DDIT3/BTN1A1/PTPN6/TRPV4/IRF4/RIPK2/TLR5/HMOX1/TNFAIP3/PNP/IRF1/ATP2B1/CASP1/RGCC/C5AR1/CRP/IL12RB2/THBS1/CLNK/IKBKE/ZCCHC3/SOCS1/AXL/AIF1/CD84/NFATC2/CD58/SFTPD/MEFV/CCL3/NR4A3/NCKAP1L/LBP/IL17RC/IRF8/TSPAN6/PIK3CD/CYBA/PTPRC/EPX/HLA-DPA1/CMKLR1/C1QTNF3/BPI/CD74/HLA-DPB1/ARG2/IL1R2"
"BP","GO:0001817","regulation of cytokine production",386,-0.650616699116591,-1.87463903580507,1e-10,1.1455e-07,1.02070175438597e-07,1244,"tags=26%, list=12%, signal=24%","PLCG2/PTGS2/F11R/IL1RAP/POLR2E/TAX1BP1/EIF2AK2/POLR3K/LPL/LYN/PRKCZ/NLRC3/ERRFI1/STAT3/IL6R/RELB/BTK/LRRC32/BRCA1/TMF1/SERPINB1/HLA-A/JAK2/NLRP12/BCL3/TRIB2/IL1R1/TIRAP/CASP8/CHUK/ZC3H12A/MYB/RASGRP1/ARRB1/DDX41/KPNA6/TLR6/NLRP1/IL17RA/GPATCH3/NFKB2/HLA-G/REL/STAT6/CD40/B2M/TRAF3/CREB1/EPHA2/BCL10/PTGER4/IRF7/SEMA7A/CHRNA7/BCL6/DDIT3/BTN1A1/PTPN6/TRPV4/IRF4/RIPK2/TLR5/HMOX1/TNFAIP3/IRF1/ATP2B1/CASP1/RGCC/C5AR1/CRP/IL12RB2/THBS1/CLNK/IKBKE/ZCCHC3/SOCS1/AXL/AIF1/CD84/CD58/SFTPD/MEFV/CCL3/NR4A3/NCKAP1L/LBP/IL17RC/IRF8/TSPAN6/CYBA/PTPRC/EPX/HLA-DPA1/CMKLR1/C1QTNF3/BPI/CD74/HLA-DPB1/ARG2/IL1R2"
"BP","GO:0001819","positive regulation of cytokine production",243,-0.682105234518724,-1.88980521946597,1e-10,1.1455e-07,1.02070175438597e-07,1244,"tags=27%, list=12%, signal=25%","PLCG2/PTGS2/IL1RAP/POLR2E/EIF2AK2/POLR3K/LPL/PRKCZ/STAT3/IL6R/BRCA1/TMF1/HLA-A/JAK2/NLRP12/BCL3/IL1R1/TIRAP/CASP8/CHUK/MYB/RASGRP1/DDX41/KPNA6/TLR6/NLRP1/IL17RA/GPATCH3/NFKB2/HLA-G/STAT6/CD40/B2M/CREB1/BCL10/PTGER4/IRF7/SEMA7A/DDIT3/TRPV4/IRF4/RIPK2/TLR5/IRF1/CASP1/RGCC/C5AR1/IL12RB2/THBS1/CLNK/ZCCHC3/AIF1/CD58/CCL3/NR4A3/LBP/IL17RC/IRF8/TSPAN6/CYBA/PTPRC/EPX/HLA-DPA1/C1QTNF3/CD74/HLA-DPB1"
"BP","GO:0019221","cytokine-mediated signaling pathway",427,-0.633136658435178,-1.82805522305538,1e-10,1.1455e-07,1.02070175438597e-07,1128,"tags=26%, list=11%, signal=24%","S1PR1/BAD/GPR17/CCND1/KRT18/PSME2/CEBPD/IRAK4/DOK1/IL17RE/PAFAH1B1/PRKCD/IFI35/STAT3/PIK3CA/IL6R/SIRT1/PSME1/PIM1/HLA-A/CISH/JAK2/IL17RD/PSME4/PARP14/IL1R1/FOXO1/SQSTM1/TRIM68/CASP8/CHUK/MSN/TRAF3IP2/ANXA2/IL17RA/SOCS2/ACKR3/EDN2/HLA-G/STAT6/CD40/B2M/TRAF3/AIP/RAPGEF1/LCP1/ACKR4/PIK3CB/PTPN2/FOXO3/PSMB7/CDIP1/IRF7/BBS2/IL18RAP/NR1H2/BCL6/STK39/PTK2B/PTPN6/ITGAM/IRF4/RIPK2/CXCL12/TNIP2/HMOX1/CXCR3/TNFAIP3/HCK/VIM/IRF1/BCL2/CASP1/TEC/TEC/RHOU/CXCL2/IL12RB2/IKBKE/SOCS1/AXL/INPP5D/CXCL10/CD44/SAMHD1/CSF1R/FCGR1A/CSF2RB/CCL3/CIITA/IL2RG/LBP/STAT4/IL17RC/SPI1/IRF8/PIK3CD/CSF3R/PTPRC/ITGB2/CCL3L3/PSMB8/JUNB/HLA-DPA1/FOS/IL1RAPL2/CMKLR1/TNFRSF11B/CD74/HLA-DPB1/IL1R2"
"BP","GO:0045087","innate immune response",447,-0.651790935722418,-1.88990401231533,1e-10,1.1455e-07,1.02070175438597e-07,1381,"tags=29%, list=13%, signal=26%","TNFAIP8L2/G3BP2/TRIM21/NMI/DMBT1/LGALS3/CD55/HMGB2/PRKACA/PSPC1/PLCG2/IL1RAP/JAK1/RAB12/IFI30/EIF2AK2/SEC61A1/PSME2/POLR3K/IRAK4/PTX3/LYN/SNCA/TDGF1/PLSCR1/C7/DTX3L/PRKCD/NLRC3/IFI35/SH2D1A/DAPK3/RELB/BTK/ALPK1/MAP3K5/PSME1/STX8/ELF4/HLA-A/VAMP7/OPTN/JAK2/PSME4/PARP14/TRIM68/TIRAP/CHUK/RASGRP1/TLR6/NLRP1/CLEC10A/KIF5B/STXBP2/LYST/MR1/HLA-G/REL/GRN/CD40/B2M/TYRO3/TRAF3/FLNB/LCK/BCL10/WAS/PTPN2/PSMB7/IRF7/IL18RAP/COLEC10/NR1H2/CLEC4M/PTK2B/PTPN6/SLA/ITGAM/IRF4/CFP/RIPK2/NCF2/TLR5/TNFAIP3/HCK/VIM/IRF1/CASP1/CRP/PSTPIP1/CLNK/IKBKE/ZCCHC3/TIFA/SOCS1/AXL/CYBB/AIF1/C1QC/CD84/CD58/MFAP4/SFTPD/CD44/MEFV/MARCO/SAMHD1/CSF1R/FCGR1A/C1QA/CCL3/CIITA/LBP/IRF8/PIK3CD/LAG3/CYBA/CLEC4C/CCL3L3/FES/WFDC3/NCF1/PSMB8/MPEG1/ZC3HAV1/HLA-DPA1/BPI/HLA-DPB1/ARG2"
"BP","GO:0050900","leukocyte migration",250,-0.69555701393608,-1.93464674222043,1e-10,1.1455e-07,1.02070175438597e-07,1078,"tags=31%, list=10%, signal=28%","IRAK4/ATP1B1/LYN/SLC7A8/PIK3CA/SWAP70/SLC7A10/IL6R/GRB7/ADAM10/MMP28/RAC2/NLRP12/RHOG/IL1R1/TIRAP/P2RY12/CH25H/MSN/IL17RA/PTPRO/DNM1L/SCG2/LYST/EDN2/MOSPD2/JAM3/LCK/PIK3CB/DUSP1/PTGER4/SLC3A2/PIP5K1C/STK39/ITGA3/ARHGEF5/PTK2B/B4GALT1/PTPN6/ITGAM/TRPV4/PREX1/HRH1/CXCL12/HMOX1/CXCR3/HCK/PGF/C5AR1/CXCL2/CD48/SDC4/THBS1/CAMK1D/DOK2/ITGAL/SELP/AIF1/INPP5D/CXCL10/CD84/CD58/SFTPD/CD44/CSF1R/CCL3/NCKAP1L/LBP/IL17RC/PIK3CD/CSF3R/ITGB2/SLC7A9/CCL3L3/EPX/CMKLR1/CD74"
"BP","GO:0002250","adaptive immune response",205,-0.704854424881597,-1.9302060387198,1.4761409344849e-10,1.44935952038782e-07,1.29145683561401e-07,1070,"tags=31%, list=10%, signal=28%","LYN/MAD2L2/PRKCZ/C7/PRKCD/STAT3/SH2D1A/SWAP70/SIRT1/RELB/BTK/HLA-A/JAK2/BCL3/APLF/IL1R1/DUSP22/ZC3H12A/CLEC10A/THOC1/NFKB2/TAP2/RNF19B/MR1/HLA-G/STAT6/JAM3/CD40/B2M/TFRC/BCL10/WAS/IRF7/IL18RAP/CLEC4M/BCL6/FGL2/PTK2B/PTPN6/IRF4/RIPK2/TNFAIP3/CTSL/IRF1/TEC/TEC/CRP/CD48/INPP5D/LAMP3/C1QC/CD84/C1QA/SAMSN1/PIK3CD/LAG3/CLEC4C/PTPRC/HLA-DPA1/CTSS/CD74/HLA-DPB1/ARG2"
"BP","GO:0050778","positive regulation of immune response",386,-0.616074925981922,-1.77511291486152,7.65667453762208e-10,6.57804051213457e-07,5.86138584998491e-07,1070,"tags=22%, list=10%, signal=20%","LYN/MAD2L2/PRKCZ/PLSCR1/C7/PRKCD/PIK3CA/LPXN/SH2D1A/SIRT1/RELB/BTK/PSME1/HLA-A/VAMP7/PSME4/IL1R1/DUSP22/CHUK/ZC3H12A/MYB/RASGRP1/CLEC10A/BLNK/MR1/HLA-G/STAT6/CD40/B2M/ARPC1B/TFRC/LCK/RAPGEF1/PRKCH/BCL10/WAS/PIK3CB/PTPN2/PSMB7/IRF7/IL18RAP/SEMA7A/COLEC10/CD22/BTN1A1/PTPN6/ITGAM/CFP/RIPK2/SH2B2/HCK/LIMK1/BCL2/TESPA1/RGCC/RAP1A/TEC/TEC/C5AR1/CRP/CLNK/IKBKE/CD59/ZCCHC3/INPP5D/C1QC/NFATC2/MFAP4/FCGR1A/C1QA/NR4A3/NCKAP1L/LBP/PIK3CD/LAG3/CLEC4C/PTPRC/ITGB2/PCK1/PSMB8/HLA-DPA1/CMKLR1/CD74/HLA-DPB1"
"BP","GO:0006909","phagocytosis",183,-0.694758292296798,-1.88422370259618,2.83030385558841e-09,1.84660780678041e-06,1.64542630121657e-06,1071,"tags=25%, list=10%, signal=23%","PTX3/LYN/PRKCD/LRP1/PIK3CA/VAMP7/RAC2/ABCA1/ANXA3/RHOG/RAB31/LYST/TYRO3/ARPC1B/RAPGEF1/WAS/PIK3CB/PIP5K1C/ARHGAP25/NCF4/ITGAM/NCF2/CORO1C/SH3BP1/HCK/LIMK1/RAP1A/CRP/LDLR/BIN2/THBS1/CAMK1D/ITGAL/AXL/AIF1/DOCK2/SFTPD/MARCO/FCGR1A/IL2RG/NCKAP1L/LBP/IRF8/CYBA/PTPRC/ITGB2"
"BP","GO:0002443","leukocyte mediated immunity",489,-0.581306617468975,-1.69624150256462,2.98645216857289e-09,1.84660780678041e-06,1.64542630121657e-06,1662,"tags=28%, list=16%, signal=25%","RAB18/GSN/SNAP29/LTA/PI4K2A/RNF8/ATAD5/IGF2R/NFKB1/C9/DIAPH1/PDXK/ARSA/GNL1/NEU1/SMAD7/TRAPPC1/VAV1/MALT1/STAP1/RAB7A/MAN2B1/GGH/LGALS3/CD55/RAP1B/ATP11A/C12orf4/SVIP/IMPDH2/HMOX2/CTSZ/NBN/IST1/GLA/RAB24/ATP6V0C/IRAK4/PTX3/LYN/ALDOC/MAD2L2/PRKCZ/COTL1/C7/PRKCD/SH2D1A/SWAP70/BTK/DNASE1/TIMP2/ADAM10/SERPINB1/HLA-A/VAMP7/RAC2/ANXA3/BCL3/APLF/RHOG/IL1R1/ASAH1/RHOF/DUSP22/RASGRP1/GCA/GALNS/ANXA2/RAB31/CD53/THOC1/STXBP2/ATP11B/CTSD/LYST/MR1/HLA-G/MOSPD2/GRN/STAT6/CD40/B2M/ENPP4/PIGR/TFRC/SLC44A2/BCL10/ARSB/WAS/IMPDH1/PSMB7/IRF7/IL18RAP/ADGRE5/BCL6/TMEM179B/FGL2/PSAP/B4GALT1/PTPN6/ITGAM/CFP/ACLY/HMOX1/PNP/RAP1A/C5AR1/CRP/BIN2/PLEKHO2/CLNK/CD59/ITGAL/CYBB/INPP5D/DOCK2/C1QC/CD84/CD58/CD44/C1QA/CCL3/NR4A3/NCKAP1L/PLAUR/PIK3CD/LAG3/CYBA/CLEC4C/PTPRC/ITGB2/FES/EPX/BPI/OLFM4/CTSS/CD74/LYZ"
