"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0051301","cell division",441,0.520806878146632,1.64755294925239,6.68493331918173e-08,0.00045945546702736,0.00045239406641073,1986,"tags=29%, list=19%, signal=24%","TPX2/PLK1/KIF20A/KIF2C/KLHL13/UBE2C/BRIP1/KIF4A/TACC3/CDK1/SMC2/NCAPD3/KIF11/NUF2/CDCA3/INCENP/HAUS5/BRCA2/CKS1B/CDC20/PRC1/BBS4/SPDL1/ASPM/CCNA2/UNC119/DSN1/ZBTB16/ANLN/CCNB1/NCAPG2/RAB11FIP4/BIRC5/ESPL1/KNTC1/NDC80/KIT/BUB1/CENPW/SMC4/FGF1/NCAPG/SKA1/KLHDC8B/CENPF/NUSAP1/ANAPC13/CHEK2/NCAPH/ITGB1BP1/PIN1/EPB41/CABLES1/FGF2/CHMP6/CENPE/RACGAP1/SIRT2/NUMA1/BUB1B/CDK4/CSPP1/ERCC6L/CINP/PPP1CA/FGF13/SPC25/LLGL2/PARD6B/RBBP8/RB1/TOP2A/CETN2/NDE1/MAPRE3/LZTS2/PELO/PAX6/ANAPC11/ANK3/POGZ/TGFA/LIG4/CDK2/CKAP2/MAD2L1/CDC25A/CDC14A/MIS12/HELLS/HMGA2/HAUS4/KIF23/ANAPC15/STMN1/SKA2/FGFR1/TOP1/CDC6/AURKB/BTC/PLK4/DCLRE1A/MPLKIP/MISP/ECT2/CENPV/KIF13A/BUB3/BCL2L1/CIT/GNAI1/TXNIP/TGFB2/ZW10/PLK3/TP63/TACC1/SYCP3/PKP4/SNX18/MIS18BP1/CABLES2/NR3C1/FBXL7/TUBA1A/WASL"
"BP","GO:0140014","mitotic nuclear division",214,0.589128459119561,1.75601866561392,4.19878085766489e-07,0.00144291104173654,0.00142073484915408,1370,"tags=26%, list=13%, signal=23%","TPX2/PLK1/TTK/KIF2C/MKI67/UBE2C/KIF4A/TACC3/CDK1/SLF1/SMC2/NCAPD3/KIF11/NUF2/INCENP/CDC20/PRC1/SPDL1/DSN1/ANLN/CCNB1/NCAPG2/BIRC5/ESPL1/KNTC1/NDC80/BUB1/SMC4/NCAPG/KLHDC8B/TTN/CENPF/NUSAP1/CHEK2/NCAPH/PIN1/CHMP6/CENPE/RACGAP1/SIRT2/NUMA1/BUB1B/NME6/RB1/NDE1/RMDN1/ANAPC11/POGZ/TGFA/MAD2L1/CDC14A/MIS12/MYBL2/KIF23/ANAPC15"
"BP","GO:0007059","chromosome segregation",223,0.576569728357492,1.73518076004871,8.47605353039211e-07,0.0017509495743607,0.00172403911776286,1111,"tags=22%, list=10%, signal=20%","PLK1/TTK/KIF2C/MKI67/UBE2C/BRIP1/KIF4A/TACC3/SLF1/SMC2/NCAPD3/NUF2/INCENP/CDC20/MAPK15/PRC1/SPDL1/DSN1/CCNB1/NCAPG2/BIRC5/ESPL1/NDC80/BUB1/CENPW/SMC4/NCAPG/SKA1/KLHDC8B/TTN/CENPF/NUSAP1/NCAPH/EME1/CTCF/CHMP6/CENPE/RACGAP1/SIRT2/NUMA1/BUB1B/SPC25/BANF1/RB1/TOP2A/NDE1/RMDN1/ANAPC11/POGZ"
"BP","GO:0046165","alcohol biosynthetic process",125,0.65694035586363,1.85891314603891,1.01903074311695e-06,0.0017509495743607,0.00172403911776286,710,"tags=21%, list=7%, signal=20%","LSS/SQLE/CYP27B1/MOXD1/CYP51A1/FDFT1/ELOVL6/EBP/MSMO1/NSDHL/SEC14L2/CYP2R1/ACAT2/H6PD/HSD17B7/DHCR24/ASAH2/HMGCR/IDI1/FGF1/PMVK/GPAM/PTK2B/FGF2/ACAA2/APOE"
"BP","GO:0008202","steroid metabolic process",219,0.573829466881775,1.71997162246477,1.41363050262624e-06,0.00178986474376528,0.00176235619742654,1200,"tags=23%, list=11%, signal=21%","LSS/SQLE/CYP27B1/CYP51A1/FDFT1/HSD17B3/ELOVL6/EBP/MSMO1/NSDHL/SEC14L2/UGT1A1/ABCB11/CYP2R1/ACAT2/RDH16/CYB5R2/H6PD/HSD17B7/BAAT/DHCR24/HMGCR/CYP2D6/KIT/SNAI2/IDI1/FGF1/LIMA1/PMVK/LRP2/DHRS4/HSD17B12/OSBPL1A/GPAM/HINT2/RORA/ACAA2/APOE/HSD3B1/ESR1/AKR1D1/APOA4/CYP17A1/GBA2/OSBPL2/CYP1A1/SULT2B1/CEBPA/SLC27A2/RDH8/HSD17B6"
"CC","GO:0005819","spindle",272,0.554521570874451,1.70290903595322,1.56251832716305e-06,0.00178986474376528,0.00176235619742654,1674,"tags=26%, list=16%, signal=23%","KIF15/TPX2/PLK1/KIF20A/TTK/KIF2C/KIF4A/TACC3/CDK1/KIF11/TTLL12/INCENP/ARL2BP/HAUS5/CDC20/SHCBP1/MAPK15/PRC1/SPDL1/ASPM/UNC119/DSN1/CCNB1/RAB11FIP4/BIRC5/ESPL1/CAPG/KNTC1/NCOR1/CEP162/SKA1/CKAP2L/NUDCD2/CEP104/CENPF/NUSAP1/SPAG8/CBX1/EPB41/CENPE/RACGAP1/NGRN/SIRT2/NUMA1/BUB1B/CSPP1/CEP128/INVS/TBL1XR1/RB1/NDE1/MAPRE3/RMDN3/RMDN1/CKAP2/EML4/MAD2L1/CDC14A/HAUS4/PIN4/KIF23/CBX3/SKA2/NPM1/PARP4/CDC6/AURKB/PLK4/ATM/MISP/ECT2/CENPV"
"BP","GO:0098813","nuclear chromosome segregation",179,0.590540229064966,1.73071757367414,3.64856954603729e-06,0.00358237406998776,0.00352731633255245,720,"tags=21%, list=7%, signal=20%","PLK1/TTK/KIF2C/UBE2C/BRIP1/KIF4A/TACC3/SLF1/SMC2/NCAPD3/NUF2/INCENP/CDC20/MAPK15/PRC1/SPDL1/DSN1/CCNB1/NCAPG2/ESPL1/NDC80/BUB1/SMC4/NCAPG/KLHDC8B/TTN/CENPF/NUSAP1/NCAPH/EME1/CTCF/CHMP6/CENPE/RACGAP1/SIRT2/NUMA1/BUB1B"
"BP","GO:0006694","steroid biosynthetic process",140,0.6188570429425,1.76806180852022,5.16479046478767e-06,0.00443720060806071,0.00436900498659473,1200,"tags=28%, list=11%, signal=25%","LSS/SQLE/CYP27B1/CYP51A1/FDFT1/HSD17B3/ELOVL6/EBP/MSMO1/NSDHL/SEC14L2/ABCB11/CYP2R1/ACAT2/CYB5R2/H6PD/HSD17B7/BAAT/DHCR24/HMGCR/SNAI2/IDI1/FGF1/PMVK/HSD17B12/OSBPL1A/GPAM/HINT2/ACAA2/APOE/HSD3B1/AKR1D1/APOA4/CYP17A1/OSBPL2/CYP1A1/SLC27A2/RDH8/HSD17B6"
"BP","GO:0006695","cholesterol biosynthetic process",64,0.719418627405041,1.84380530941142,8.42171663938702e-06,0.0057882458462507,0.00569928592364412,710,"tags=30%, list=7%, signal=28%","LSS/SQLE/CYP51A1/FDFT1/ELOVL6/EBP/MSMO1/NSDHL/SEC14L2/ACAT2/HSD17B7/DHCR24/HMGCR/IDI1/FGF1/PMVK/GPAM/ACAA2/APOE"
"BP","GO:1902653","secondary alcohol biosynthetic process",64,0.719418627405041,1.84380530941142,8.42171663938702e-06,0.0057882458462507,0.00569928592364412,710,"tags=30%, list=7%, signal=28%","LSS/SQLE/CYP51A1/FDFT1/ELOVL6/EBP/MSMO1/NSDHL/SEC14L2/ACAT2/HSD17B7/DHCR24/HMGCR/IDI1/FGF1/PMVK/GPAM/ACAA2/APOE"
