"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0001816","cytokine production",431,-0.70134756035729,-1.54845233972925,1e-10,2.98521739130435e-08,2.61784897025172e-08,1096,"tags=27%, list=10%, signal=25%","RIPK1/ATP6AP2/NLRC3/IGF2BP1/LRRFIP1/EPHA2/PLD3/LRRC32/LIPA/HDAC7/F2R/SNAI2/TRIM25/RFTN1/NUTF2/CD40/ORM1/POLR2H/CRCP/SERPINB1/SMAD7/TRIM21/HMGB1/IRF4/ALOX5/IL18RAP/SULF2/XBP1/NLRP1/ERRFI1/ABCA1/PDE4B/PNP/JAK2/ACP5/IL17RA/F11R/MALT1/C3/B2M/ZBTB7B/IKBKE/REL/ZC3H12A/HLA-G/CD247/SFTPD/MYB/HDAC9/MR1/PYCARD/BTN1A1/BTK/CD200/PTGER4/PLCG2/TLR6/ARG2/RIPK2/TMSB4X/TNFAIP3/SOCS1/PRKCD/RASGRP1/BCL10/NFATC2/CD276/IRAK4/HLA-A/FLT4/TMEM106A/PTGS2/RGCC/IL6R/STAT6/NRROS/LTA/WNT5A/NFKB2/IL12RB2/TLR5/BCL3/CRP/ATP2B1/PTPN6/CASP1/IRF1/POLA1/SEMA7A/CLNK/LBP/TIRAP/CLU/PIK3CD/IRF8/AXL/RELB/EPX/AIF1/PTPRC/C5AR1/MEFV/NCKAP1L/CD84/CD58/CCL3/CD74/HLA-DPB1/HLA-DPA1/CYBA/BPI/TSPAN6/IL1R2/CMKLR1/C1QTNF3"
"BP","GO:0001817","regulation of cytokine production",386,-0.69946543989605,-1.54190401737118,1e-10,2.98521739130435e-08,2.61784897025172e-08,1096,"tags=23%, list=10%, signal=21%","NUTF2/CD40/ORM1/POLR2H/CRCP/SERPINB1/SMAD7/TRIM21/HMGB1/IRF4/ALOX5/SULF2/XBP1/NLRP1/ERRFI1/PDE4B/JAK2/ACP5/IL17RA/F11R/MALT1/C3/B2M/IKBKE/REL/ZC3H12A/HLA-G/SFTPD/MYB/HDAC9/PYCARD/BTN1A1/BTK/CD200/PTGER4/PLCG2/TLR6/ARG2/RIPK2/TMSB4X/TNFAIP3/SOCS1/RASGRP1/BCL10/CD276/HLA-A/FLT4/PTGS2/RGCC/IL6R/STAT6/LTA/WNT5A/NFKB2/IL12RB2/TLR5/BCL3/CRP/ATP2B1/PTPN6/CASP1/IRF1/POLA1/SEMA7A/CLNK/LBP/TIRAP/CLU/IRF8/AXL/RELB/EPX/AIF1/PTPRC/C5AR1/MEFV/NCKAP1L/CD84/CD58/CCL3/CD74/HLA-DPB1/HLA-DPA1/CYBA/BPI/TSPAN6/IL1R2/CMKLR1/C1QTNF3"
"BP","GO:0002250","adaptive immune response",205,-0.778726293418322,-1.70306219185397,1e-10,2.98521739130435e-08,2.61784897025172e-08,1110,"tags=35%, list=10%, signal=32%","LIG4/MEF2C/CD40/MSH2/SWAP70/SMAD7/C9/HMGB1/IRF4/RNF19B/IL18RAP/RAB27A/SIGLEC10/CFI/PLA2G4A/JAK2/MALT1/C3/B2M/TMEM98/ZBTB7B/ZC3H12A/HLA-G/CD247/FGL2/MR1/PYCARD/PRF1/BTK/DUSP22/TFRC/C6/ARG2/RIPK2/TNFAIP3/C7/PRKCD/BCL10/PRDM1/HLA-A/MSH6/CLEC4M/STAT6/ATAD5/LTA/CRACR2A/CLEC10A/NFKB2/CD48/BCL3/CRP/PTPN6/TEC/TEC/IRF1/WAS/PTK2B/CLU/PIK3CD/RELB/PTPRC/CD84/INPP5D/SAMSN1/C1QC/CD74/HLA-DPB1/HLA-DPA1/C1QA/CLEC4C/CTSS/CLEC4D"
"BP","GO:0002263","cell activation involved in immune response",461,-0.710733290576559,-1.56811538012043,1e-10,2.98521739130435e-08,2.61784897025172e-08,1367,"tags=32%, list=13%, signal=29%","FUCA2/C12orf4/ADAM10/MAD2L2/RC3H2/BATF/APEH/DNASE1L3/GCA/GM2A/NFKB1/MAN2B1/KCNAB2/IQGAP1/FUCA1/ITFG2/CSTB/AMPD3/LRG1/ACLY/ATP6V1D/ATP6AP2/PLD1/SERPINB6/PSMB1/CTSZ/COMMD9/UNG/CD63/DYNLT1/PSMD13/SLC44A2/CTSC/COTL1/OSTF1/S100P/AGA/LIG4/ANO6/LRP1/CD40/ORM1/MSH2/CTSB/GLB1/SWAP70/AP1M1/SERPINB1/SMAD7/HMGB1/PRCP/ABR/PTX3/IRF4/RAB44/LFNG/PSMA5/ALOX5/RAB27A/XBP1/DOCK11/RHOF/FRK/PNP/TMEM179B/LPCAT1/PSMB7/MALT1/C3/B2M/TMEM98/ZBTB7B/ZC3H12A/FGL2/PKM/HSP90AA1/MYB/GMFG/GSN/PYCARD/DNASE1/HEXB/BTK/PTGER4/PLCG2/CD53/RHOG/TFRC/RIPK2/PIGR/CTSA/DOCK10/PRKCD/RASGRP1/RAC2/CTSD/MSH6/STAT6/GGH/GALNS/ATAD5/ITGAM/CKAP4/GRN/CRACR2A/PSAP/ENPP4/PLEKHO2/ADGRE5/HVCN1/B4GALT1/RAB37/P2RX1/BCL3/GLA/DSN1/TIMP2/CD44/PTPN6/LCP1/PTK2B/LBP/PIK3CD/CYBB/FES/RELB/EPX/PTPRC/C5AR1/NCKAP1L/CD84/CD58/DOCK2/ITGAL/CCL3/ITGB2/CD74/CFP/PLAUR/LYZ/CYBA/CLEC4C/BPI/CTSS/OLFM4/CLEC4D"
"BP","GO:0002274","myeloid leukocyte activation",428,-0.724183947055367,-1.59898771963308,1e-10,2.98521739130435e-08,2.61784897025172e-08,1427,"tags=29%, list=13%, signal=26%","CSTB/AMPD3/RBPJ/LRG1/ACLY/ATP6V1D/ATP6AP2/PLD1/SERPINB6/PSMB1/STAP1/CTSZ/COMMD9/EDN2/CD63/DYNLT1/PSMD13/SLC44A2/CTSC/COTL1/OSTF1/S100P/AGA/ANO6/ORM1/CTSB/GLB1/AP1M1/SERPINB1/HMGB1/PRCP/ABR/PTX3/IRF4/RAB44/PSMA5/ALOX5/IL18RAP/RAB27A/RHOF/FRK/PLA2G4A/PNP/TMEM179B/JAK2/LPCAT1/PSMB7/C3/LDLR/B2M/ZC3H12A/FGL2/PKM/HSP90AA1/GMFG/GSN/PYCARD/DNASE1/HEXB/ADGRF5/BTK/CD200/CD53/RHOG/TLR6/PIGR/CTSA/PRKCD/RASGRP1/RAC2/TMEM106A/CTSD/GGH/GALNS/ITGAM/CKAP4/GRN/CRACR2A/WNT5A/PSAP/ENPP4/PLEKHO2/ADGRE5/HVCN1/B4GALT1/RAB37/P2RX1/GLA/DSN1/TIMP2/CD44/PTPN6/TRPV1/PREX1/TNIP2/ATM/LBP/CLU/PIK3CD/CYBB/FES/RELB/EPX/AIF1/PTPRC/C5AR1/NCKAP1L/CD84/CD58/DOCK2/ITGAL/SPI1/CCL3/ITGB2/CD74/CFP/PLAUR/LYZ/C1QA/CYBA/CLEC4C/BPI/CTSS/OLFM4/CLEC4D"
"BP","GO:0002275","myeloid cell activation involved in immune response",370,-0.716911685263635,-1.58011014315431,1e-10,2.98521739130435e-08,2.61784897025172e-08,1473,"tags=28%, list=14%, signal=25%","KCNAB2/IQGAP1/FUCA1/CSTB/AMPD3/LRG1/ACLY/ATP6V1D/ATP6AP2/PLD1/SERPINB6/PSMB1/CTSZ/COMMD9/CD63/DYNLT1/PSMD13/SLC44A2/CTSC/COTL1/OSTF1/S100P/AGA/ANO6/ORM1/CTSB/GLB1/AP1M1/SERPINB1/HMGB1/PRCP/ABR/PTX3/RAB44/PSMA5/ALOX5/RAB27A/RHOF/FRK/PNP/TMEM179B/LPCAT1/PSMB7/C3/B2M/FGL2/PKM/HSP90AA1/GMFG/GSN/PYCARD/DNASE1/HEXB/BTK/CD53/RHOG/PIGR/CTSA/PRKCD/RASGRP1/RAC2/CTSD/GGH/GALNS/ITGAM/CKAP4/GRN/CRACR2A/PSAP/ENPP4/PLEKHO2/ADGRE5/HVCN1/B4GALT1/RAB37/P2RX1/GLA/DSN1/TIMP2/CD44/PTPN6/LBP/PIK3CD/CYBB/FES/EPX/PTPRC/C5AR1/NCKAP1L/CD84/CD58/DOCK2/ITGAL/CCL3/ITGB2/CFP/PLAUR/LYZ/CYBA/CLEC4C/BPI/CTSS/OLFM4/CLEC4D"
"BP","GO:0002283","neutrophil activation involved in immune response",334,-0.726700205855935,-1.59929867942334,1e-10,2.98521739130435e-08,2.61784897025172e-08,1473,"tags=29%, list=14%, signal=26%","KCNAB2/IQGAP1/FUCA1/CSTB/AMPD3/LRG1/ACLY/ATP6V1D/ATP6AP2/PLD1/SERPINB6/PSMB1/CTSZ/COMMD9/CD63/DYNLT1/PSMD13/SLC44A2/CTSC/COTL1/OSTF1/S100P/AGA/ANO6/ORM1/CTSB/GLB1/AP1M1/SERPINB1/HMGB1/PRCP/ABR/PTX3/RAB44/PSMA5/ALOX5/RAB27A/RHOF/FRK/PNP/TMEM179B/LPCAT1/PSMB7/C3/B2M/FGL2/PKM/HSP90AA1/GMFG/GSN/PYCARD/DNASE1/HEXB/CD53/RHOG/PIGR/CTSA/PRKCD/CTSD/GGH/GALNS/ITGAM/CKAP4/GRN/CRACR2A/PSAP/ENPP4/PLEKHO2/ADGRE5/HVCN1/B4GALT1/RAB37/P2RX1/GLA/DSN1/TIMP2/CD44/PTPN6/CYBB/EPX/PTPRC/C5AR1/NCKAP1L/CD58/DOCK2/ITGAL/ITGB2/CFP/PLAUR/LYZ/CYBA/CLEC4C/BPI/CTSS/OLFM4/CLEC4D"
"BP","GO:0002366","leukocyte activation involved in immune response",458,-0.710380913596044,-1.56792177997879,1e-10,2.98521739130435e-08,2.61784897025172e-08,1367,"tags=32%, list=13%, signal=29%","FUCA2/C12orf4/ADAM10/MAD2L2/RC3H2/BATF/APEH/DNASE1L3/GCA/GM2A/NFKB1/MAN2B1/KCNAB2/IQGAP1/FUCA1/ITFG2/CSTB/AMPD3/LRG1/ACLY/ATP6V1D/ATP6AP2/PLD1/SERPINB6/PSMB1/CTSZ/COMMD9/UNG/CD63/DYNLT1/PSMD13/SLC44A2/CTSC/COTL1/OSTF1/S100P/AGA/LIG4/ANO6/CD40/ORM1/MSH2/CTSB/GLB1/SWAP70/AP1M1/SERPINB1/SMAD7/HMGB1/PRCP/ABR/PTX3/IRF4/RAB44/LFNG/PSMA5/ALOX5/RAB27A/XBP1/DOCK11/RHOF/FRK/PNP/TMEM179B/LPCAT1/PSMB7/MALT1/C3/B2M/TMEM98/ZBTB7B/ZC3H12A/FGL2/PKM/HSP90AA1/MYB/GMFG/GSN/PYCARD/DNASE1/HEXB/BTK/PTGER4/PLCG2/CD53/RHOG/TFRC/RIPK2/PIGR/CTSA/DOCK10/PRKCD/RASGRP1/RAC2/CTSD/MSH6/STAT6/GGH/GALNS/ATAD5/ITGAM/CKAP4/GRN/CRACR2A/PSAP/ENPP4/PLEKHO2/ADGRE5/HVCN1/B4GALT1/RAB37/P2RX1/BCL3/GLA/DSN1/TIMP2/CD44/PTPN6/LCP1/PTK2B/LBP/PIK3CD/CYBB/FES/RELB/EPX/PTPRC/C5AR1/NCKAP1L/CD84/CD58/DOCK2/ITGAL/CCL3/ITGB2/CD74/CFP/PLAUR/LYZ/CYBA/CLEC4C/BPI/CTSS/OLFM4/CLEC4D"
"BP","GO:0002443","leukocyte mediated immunity",489,-0.718492620784712,-1.58654627189174,1e-10,2.98521739130435e-08,2.61784897025172e-08,1484,"tags=32%, list=14%, signal=29%","FUCA2/C12orf4/ADAM10/MAD2L2/BATF/APEH/DNASE1L3/GCA/GM2A/NFKB1/PIK3R6/MAN2B1/SH2D1A/WDR1/KCNAB2/IQGAP1/C5/FUCA1/CSTB/AMPD3/LRG1/C1R/ACLY/ATP6V1D/ATP6AP2/PLD1/SERPINB6/PSMB1/STAP1/SERPING1/CTSZ/COMMD9/UNG/CD63/DYNLT1/PSMD13/SLC44A2/CTSC/RFTN1/COTL1/OSTF1/S100P/PRDX1/AGA/LIG4/ANO6/CD40/ORM1/MSH2/CTSB/GLB1/SWAP70/AP1M1/SERPINB1/SMAD7/C9/HMGB1/PRCP/ABR/PTX3/RAB44/PSMA5/ALOX5/IL18RAP/RAB27A/CFI/RHOF/FRK/PNP/TMEM179B/LPCAT1/PSMB7/LYST/MALT1/C3/B2M/HLA-G/FGL2/PKM/HSP90AA1/GMFG/MR1/GSN/PYCARD/DNASE1/HEXB/PRF1/BTK/DUSP22/CD53/RHOG/TFRC/C6/PIGR/CTSA/C7/PRKCD/RASGRP1/BCL10/IRAK4/HLA-A/RAC2/CTSD/MSH6/STAT6/GGH/GALNS/ATAD5/ITGAM/LTA/CKAP4/VAV1/GRN/CRACR2A/PSAP/ENPP4/PLEKHO2/ADGRE5/HVCN1/B4GALT1/RAB37/P2RX1/BCL3/GLA/DSN1/CRP/TIMP2/CD44/PTPN6/WAS/CLNK/CLU/PIK3CD/CYBB/FES/EPX/PTPRC/C5AR1/NCKAP1L/CD84/CD58/INPP5D/DOCK2/ITGAL/CCL3/ITGB2/C1QC/CD74/CFP/PLAUR/LYZ/C1QA/CYBA/CLEC4C/BPI/CTSS/OLFM4/CLEC4D"
"BP","GO:0002444","myeloid leukocyte mediated immunity",378,-0.712730974089695,-1.57134297373677,1e-10,2.98521739130435e-08,2.61784897025172e-08,1481,"tags=28%, list=14%, signal=25%","WDR1/KCNAB2/IQGAP1/FUCA1/CSTB/AMPD3/LRG1/ACLY/ATP6V1D/ATP6AP2/PLD1/SERPINB6/PSMB1/STAP1/CTSZ/COMMD9/CD63/DYNLT1/PSMD13/SLC44A2/CTSC/COTL1/OSTF1/S100P/AGA/ANO6/ORM1/CTSB/GLB1/AP1M1/SERPINB1/HMGB1/PRCP/ABR/PTX3/RAB44/PSMA5/ALOX5/RAB27A/RHOF/FRK/PNP/TMEM179B/LPCAT1/PSMB7/C3/B2M/FGL2/PKM/HSP90AA1/GMFG/GSN/PYCARD/DNASE1/HEXB/BTK/CD53/RHOG/PIGR/CTSA/PRKCD/RASGRP1/IRAK4/RAC2/CTSD/GGH/GALNS/ITGAM/CKAP4/GRN/CRACR2A/PSAP/ENPP4/PLEKHO2/ADGRE5/HVCN1/B4GALT1/RAB37/P2RX1/GLA/DSN1/TIMP2/CD44/PTPN6/PIK3CD/CYBB/FES/EPX/PTPRC/C5AR1/NCKAP1L/CD84/CD58/DOCK2/ITGAL/CCL3/ITGB2/CFP/PLAUR/LYZ/CYBA/CLEC4C/BPI/CTSS/OLFM4/CLEC4D"
