"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0071379","cellular response to prostaglandin stimulus",14,0.998834751662396,1.78686126730797,4.55106813042754e-05,0.312794912604285,0.30899357306587,4,"tags=7%, list=0%, signal=7%","PPARG"
"BP","GO:0032799","low-density lipoprotein receptor particle metabolic process",18,0.998321700221667,1.73862205656546,0.000109492323596307,0.35554598348924,0.351225097981514,4,"tags=6%, list=0%, signal=6%","PPARG"
"BP","GO:0002673","regulation of acute inflammatory response",18,0.998250422410209,1.73849792305708,0.000155192485154622,0.35554598348924,0.351225097981514,4,"tags=6%, list=0%, signal=6%","PPARG"
"BP","GO:0042953","lipoprotein transport",10,0.998927824193537,1.79348741872834,0.000212127427867201,0.364487952932818,0.360058397300907,4,"tags=10%, list=0%, signal=10%","PPARG"
"MF","GO:0003755","peptidyl-prolyl cis-trans isomerase activity",25,0.998789862071028,1.66264221140209,0.000340246022585252,0.467702182645688,0.462018283299974,3,"tags=4%, list=0%, signal=4%","FKBP5"
"MF","GO:0042975","peroxisome proliferator activated receptor binding",11,-0.998188900009968,-2.25862654926482,0.000493713734519808,0.493644910597524,0.487645734009363,2,"tags=18%, list=0%, signal=18%","ASXL1/NR0B2"
"BP","GO:0071380","cellular response to prostaglandin E stimulus",11,0.999051306688177,1.79976865786505,0.000619811787366939,0.493644910597524,0.487645734009363,4,"tags=9%, list=0%, signal=9%","PPARG"
"BP","GO:0044872","lipoprotein localization",11,0.99886622626007,1.79943523959968,0.000627913787615214,0.493644910597524,0.487645734009363,4,"tags=9%, list=0%, signal=9%","PPARG"
"BP","GO:0034695","response to prostaglandin E",13,0.998960191985992,1.78691114626753,0.000646414112524039,0.493644910597524,0.487645734009363,4,"tags=8%, list=0%, signal=8%","PPARG"
"MF","GO:0004864","protein phosphatase inhibitor activity",25,-0.99147624354552,-2.52903585286029,0.00087083055350982,0.502151572933608,0.496049016429165,4,"tags=8%, list=0%, signal=8%","SH3RF2/PPP1R8"
"BP","GO:0048384","retinoic acid receptor signaling pathway",22,0.997698200068561,1.68019642894805,0.00105493241354377,0.502151572933608,0.496049016429165,4,"tags=5%, list=0%, signal=5%","PPARG"
"BP","GO:0043534","blood vessel endothelial cell migration",89,0.994382814511983,1.26434611915415,0.00105527026778314,0.502151572933608,0.496049016429165,5,"tags=2%, list=0%, signal=2%","PPARG/NR4A1"
"BP","GO:0090557","establishment of endothelial intestinal barrier",10,-0.997266080868004,-2.21357539274777,0.00116887965636647,0.502151572933608,0.496049016429165,5,"tags=20%, list=0%, signal=20%","RAP2C/TJP3"
"BP","GO:0042359","vitamin D metabolic process",15,0.998672048744032,1.78271312227947,0.00122715430672105,0.502151572933608,0.496049016429165,2,"tags=7%, list=0%, signal=7%","CYP24A1"
"BP","GO:0030730","sequestering of triglyceride",11,0.997918681908453,1.79772825957317,0.00122946099621386,0.502151572933608,0.496049016429165,4,"tags=9%, list=0%, signal=9%","PPARG"
"MF","GO:0033218","amide binding",224,0.988760307081206,1.13879148392314,0.00124478030726494,0.502151572933608,0.496049016429165,4,"tags=1%, list=0%, signal=1%","FKBP5/PPARG"
