"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0000070","mitotic sister chromatid segregation",136,-0.747853838364713,-2.08702612516361,1e-10,1.59325581395349e-08,1.21860465116279e-08,1113,"tags=40%, list=10%, signal=37%","CCNB1/NAA50/PINX1/TPR/NSMCE2/INCENP/NCAPD3/NSL1/CENPF/ANAPC11/NCAPD2/CENPE/ANAPC5/SLF2/BUB1/RACGAP1/BUB1B/ANAPC4/MAD2L1/DSCC1/AURKB/ATM/ESPL1/GEN1/NUMA1/NUSAP1/SPDL1/KIF4A/SLF1/KIF23/PTTG1/CENPK/MIS12/KIF18A/TACC3/SMC4/NCAPG/DLGAP5/UBE2C/PRC1/KIF2C/DSN1/SPAG5/CDCA8/NDC80/NCAPH/TTK/SMC2/KNSTRN/PLK1/KIF14/CDC6/RB1/NCAPG2/CDT1"
"BP","GO:0000082","G1/S transition of mitotic cell cycle",200,-0.676624606598178,-1.96532311866856,1e-10,1.59325581395349e-08,1.21860465116279e-08,1113,"tags=29%, list=10%, signal=26%","CCNB1/HINFP/GSPT1/ID2/CDC45/CTDSP2/BAX/CCNH/RRM2/ORC1/POLA2/RBBP8/RFWD3/PRMT2/TYMS/PSME3/PRMT1/PCNA/APEX1/CDC7/CDK1/MCM5/PRIM1/ORC5/PIDD1/ATM/CCNE2/RPA2/GTSE1/NASP/MCM8/PRIM2/ORC3/SKP2/IQGAP3/ORC2/ORC4/DBF4/E2F8/POLA1/RBL1/KIF14/CDC6/RB1/MCM3/AURKA/MCM10/GMNN/CDK2/MCM2/MCM6/E2F7/MCM4/E2F1/MCM7/CDT1/POLE/POLE2"
"BP","GO:0000086","G2/M transition of mitotic cell cycle",214,-0.679556429048676,-1.98160240530247,1e-10,1.59325581395349e-08,1.21860465116279e-08,1949,"tags=44%, list=18%, signal=37%","PSMA1/NAE1/PSMA8/CDK5RAP2/WEE1/CALM3/PSMB3/SKP1/TUBA1A/PPP2R1A/PSMD14/BORA/PSMB2/PRKACA/PLCB1/RBX1/CEP78/PSMD12/TUBA4A/PSMA2/DCTN3/CDK4/TUBG1/RAD21/PKIA/CHEK2/PSMD1/PSMA6/PSMC6/PSMA4/PSMD3/SSNA1/CETN2/MAPRE1/FBXL12/CCNB1/RNASEH2B/PINX1/PSMA5/PSMD8/RINT1/PSMD6/PSMD2/PSMD7/PSMD13/CDK5RAP3/BLM/CCNB2/CCNH/ORC1/CCNA2/CENPF/PSMB1/FOXO4/CEP135/PSMC4/PSME3/CDC7/CDK1/CEP152/AURKB/PSMA3/ODF2/PSMC3/BRCA1/TOPBP1/TPX2/ATM/HAUS1/HAUS8/CLSPN/HAUS7/MELK/HAUS4/HAUS5/HSP90AA1/HMMR/MASTL/SKP2/PLK4/HAUS3/CCNB3/FOXM1/CEP41/PLK1/KIF14/CDC6/AURKA/HAUS6/CDK2/CENPJ/PKMYT1/TICRR/DBF4B"
"BP","GO:0000280","nuclear division",305,-0.661964872019163,-1.97844779995224,1e-10,1.59325581395349e-08,1.21860465116279e-08,994,"tags=36%, list=9%, signal=33%","KLHL22/RCC1/NUF2/AURKAIP1/UBR2/KIF20B/MUS81/CCNB1/NAA50/PINX1/TPR/RAD50/PSMD13/KNTC1/NSMCE2/INCENP/CCNB2/NME6/NCAPD3/NDC1/NSL1/FANCA/RMI1/WEE2/CUL9/UBB/CENPF/RAD54L/ANAPC11/CYP26B1/NCAPD2/CENPE/DRG1/MYBL2/ANAPC5/SLF2/BUB1/USP16/RANBP1/RACGAP1/BUB1B/ANAPC4/MAD2L1/DSCC1/CDK1/PSMC3IP/AURKB/MYBL1/TDRKH/RAD54B/TPX2/ATM/CCNE2/CHEK1/TOP2A/ESPL1/GEN1/NUMA1/NUSAP1/SPDL1/KIF4A/SLF1/KIF23/MAP9/PTTG1/CENPK/MAD2L1BP/MIS12/KIF18A/PRMT5/MND1/TACC3/BRIP1/SMC4/NCAPG/DLGAP5/UBE2C/PRC1/KIF2C/DSN1/MASTL/MKI67/SPAG5/FANCD2/ASPM/CDCA8/BIRC5/NDC80/NCAPH/TTK/ANLN/SMC2/CALR/KIF11/KNSTRN/OBSL1/MSX2/PLK1/KIF14/CDC6/SPICE1/RB1/AURKA/TERF1/RAD51/P3H4/PKMYT1/NCAPG2/CDT1"
"BP","GO:0000724","double-strand break repair via homologous recombination",107,-0.775365434897652,-2.1292483210337,1e-10,1.59325581395349e-08,1.21860465116279e-08,984,"tags=39%, list=9%, signal=36%","RAD50/CDC45/NSMCE2/BLM/RMI1/RAD54L/RBBP8/SWI5/RFWD3/MCM9/POLL/POLQ/CDC7/MCM5/RAD54B/RAD52/BRCA1/SWSAP1/ATM/CHEK1/PARP1/RPA2/GEN1/MCM8/HELQ/RAD51AP1/GINS2/TERF2IP/MCM3/PALB2/MCM2/FANCB/RAD51/TONSL/MCM6/RECQL4/GINS4/MCM4/SFR1/MCM7/MMS22L/TIMELESS"
"BP","GO:0000725","recombinational repair",108,-0.774726301388755,-2.12423843067754,1e-10,1.59325581395349e-08,1.21860465116279e-08,984,"tags=39%, list=9%, signal=36%","RAD50/CDC45/NSMCE2/BLM/RMI1/RAD54L/RBBP8/SWI5/RFWD3/MCM9/POLL/POLQ/CDC7/MCM5/RAD54B/RAD52/BRCA1/SWSAP1/ATM/CHEK1/PARP1/RPA2/GEN1/MCM8/HELQ/RAD51AP1/GINS2/TERF2IP/MCM3/PALB2/MCM2/FANCB/RAD51/TONSL/MCM6/RECQL4/GINS4/MCM4/SFR1/MCM7/MMS22L/TIMELESS"
"CC","GO:0000775","chromosome, centromeric region",157,-0.725169998600512,-2.05642204983611,1e-10,1.59325581395349e-08,1.21860465116279e-08,1497,"tags=45%, list=14%, signal=39%","ZW10/CENPH/CBX1/CENPP/ZNF330/DCTN3/RAD21/CENPW/NUF2/XPO1/CBX5/NUP133/CCNB1/BOD1L1/PINX1/TPR/KNTC1/INCENP/SEC13/NCAPD3/NUP37/NSL1/LRWD1/SKA1/CENPF/NCAPD2/RANGAP1/CENPE/SKA2/CENPN/BUB1/NUP160/OIP5/BUB1B/CENPM/MAD2L1/DSCC1/AURKB/SPC24/MIS18A/SPC25/SPDL1/CENPI/CENPQ/CENPK/MIS12/KIF18A/MIS18BP1/CENPL/NCAPG/DNMT1/KIF2C/DSN1/HELLS/SPAG5/ORC2/CDCA8/BIRC5/ESCO2/NDC80/TTK/PMF1/KNSTRN/PLK1/ZWILCH/AURKA/CENPT/ERCC6L/SKA3/CDT1"
"CC","GO:0000776","kinetochore",113,-0.756855397341536,-2.08753399086539,1e-10,1.59325581395349e-08,1.21860465116279e-08,1268,"tags=45%, list=12%, signal=40%","CENPW/NUF2/XPO1/CBX5/NUP133/CCNB1/BOD1L1/PINX1/TPR/KNTC1/INCENP/SEC13/NUP37/NSL1/LRWD1/SKA1/CENPF/RANGAP1/CENPE/SKA2/CENPN/BUB1/NUP160/BUB1B/CENPM/MAD2L1/AURKB/SPC24/SPC25/SPDL1/CENPI/CENPQ/CENPK/MIS12/KIF18A/MIS18BP1/KIF2C/DSN1/SPAG5/ORC2/BIRC5/NDC80/TTK/PMF1/KNSTRN/PLK1/ZWILCH/CENPT/ERCC6L/SKA3/CDT1"
"CC","GO:0000793","condensed chromosome",157,-0.737271950627775,-2.09074051453121,1e-10,1.59325581395349e-08,1.21860465116279e-08,1497,"tags=48%, list=14%, signal=42%","ZW10/CENPH/RIF1/DCTN3/TUBG1/SMC6/RAD21/CENPW/RCC1/NUF2/NUP133/CCNB1/BOD1L1/LIG4/PINX1/RAD50/KNTC1/NSMCE2/BLM/INCENP/NCAPD3/NUP37/NSL1/LRWD1/SKA1/CENPF/PES1/NCAPD2/RANGAP1/CENPE/SKA2/CENPN/NOL6/BUB1/BUB1B/CENPM/MAD2L1/AURKB/TOP3B/SPC24/BRCA1/TOPBP1/CHEK1/TOP2A/SPC25/SPDL1/CENPK/MIS12/RAD9A/SMC4/MIS18BP1/NCAPG/KIF2C/DSN1/MKI67/SPAG5/FANCD2/ORC2/BIRC5/NDC80/NCAPH/SMC2/PMF1/KNSTRN/PLK1/ZWILCH/AURKA/CENPT/CDK2/RAD51/P3H4/NCAPG2/ERCC6L/SKA3/CDT1"
"BP","GO:0000819","sister chromatid segregation",158,-0.730939543173731,-2.07685058009826,1e-10,1.59325581395349e-08,1.21860465116279e-08,1118,"tags=37%, list=10%, signal=34%","HDAC8/CCNB1/NAA50/PINX1/TPR/NSMCE2/INCENP/NCAPD3/NSL1/CENPF/ANAPC11/NCAPD2/CENPE/ANAPC5/SLF2/BUB1/RACGAP1/BUB1B/ANAPC4/MAD2L1/DSCC1/AURKB/ATM/TOP2A/ESPL1/GEN1/NUMA1/NUSAP1/SPDL1/KIF4A/SLF1/KIF23/PTTG1/CENPK/MIS12/KIF18A/TACC3/SMC4/NCAPG/DLGAP5/UBE2C/PRC1/KIF2C/DSN1/SPAG5/CDCA8/ESCO2/NDC80/NCAPH/DDX11/TTK/SMC2/KNSTRN/PLK1/KIF14/CDC6/RB1/NCAPG2/CDT1"
