"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0000070","mitotic sister chromatid segregation",136,-0.848163179085046,-1.86153991931475,1e-10,5.26846153846154e-08,4.58704453441296e-08,836,"tags=38%, list=8%, signal=35%","CENPF/NSL1/AURKB/BUB3/PIBF1/PRC1/MIS12/TTK/NCAPH/NEK6/DSN1/CDCA8/SMC4/BUB1B/NCAPD2/KIF23/NUF2/ATM/TACC3/UBE2C/KIF14/PLK1/ESPL1/KIF18A/NCAPG2/KNSTRN/RACGAP1/NCAPG/CENPK/PTTG1/TRIP13/MAD2L1/KIF4A/DSCC1/SPAG5/DLGAP5/BUB1/SMC2/CCNB1/NUMA1/CENPE/NDC80/KIF2C/SPDL1/NUSAP1/GEN1/NCAPD3/TTN/CDC20/FBXO5/NEK2"
"BP","GO:0000280","nuclear division",305,-0.777406904129477,-1.75246370174138,1e-10,5.26846153846154e-08,4.58704453441296e-08,938,"tags=32%, list=9%, signal=30%","MUS81/STAG1/MSH3/NFE2L1/SLC2A8/TERF1/CENPF/RAD1/RAD50/NSL1/AURKB/BUB3/PIBF1/PRC1/SYCP3/UBE2S/CHEK2/MIS12/FANCA/TTK/KIF11/CCNB2/NDC1/NCAPH/AURKA/NEK6/DSN1/CAV2/CNTD1/BMP7/PSMC3IP/CDCA8/SMC4/BUB1B/FMN2/CHEK1/SPICE1/NCAPD2/KNTC1/WNT5A/KIF23/NUF2/ATM/TACC3/UBE2C/KIF14/PLK1/ESPL1/KIF18A/MAPK15/NCAPG2/KNSTRN/MAD2L1BP/RACGAP1/NCAPG/MYBL2/BIRC5/KIF20B/CENPK/PTTG1/ANLN/MYBL1/CCNE2/TOP2A/TRIP13/RGCC/ASPM/MAD2L1/KIF4A/DSCC1/SPAG5/DLGAP5/RAD51/BUB1/TPX2/SMC2/CCNB1/NUMA1/MKI67/RAD54L/CENPE/CDK1/NDC80/KIF2C/BORA/FANCD2/MND1/SPDL1/RAD54B/NUSAP1/BRIP1/INS/GEN1/NCAPD3/TTN/CDC20/FBXO5/NEK2"
"BP","GO:0000819","sister chromatid segregation",158,-0.83833320587761,-1.86066406381522,1e-10,5.26846153846154e-08,4.58704453441296e-08,836,"tags=36%, list=8%, signal=34%","CENPF/NSL1/AURKB/HDAC8/BUB3/PIBF1/PRC1/MIS12/TTK/NCAPH/NEK6/DSN1/CDCA8/SMC4/BUB1B/NCAPD2/KIF23/NUF2/ATM/TACC3/UBE2C/KIF14/PLK1/ESPL1/KIF18A/MAPK15/NCAPG2/KNSTRN/RACGAP1/NCAPG/CENPK/PTTG1/TOP2A/TRIP13/MAD2L1/KIF4A/DSCC1/SPAG5/DLGAP5/BUB1/SMC2/CCNB1/NUMA1/CENPE/NDC80/KIF2C/DDX11/ESCO2/SPDL1/RMI2/NUSAP1/GEN1/NCAPD3/TTN/CDC20/FBXO5/NEK2"
"BP","GO:0007059","chromosome segregation",247,-0.800094420829513,-1.80077307902085,1e-10,5.26846153846154e-08,4.58704453441296e-08,855,"tags=31%, list=8%, signal=29%","TERF1/CENPF/NSL1/CDCA2/AURKB/HDAC8/OIP5/BUB3/PIBF1/PRC1/SMC6/CENPW/MIS12/TTK/NDC1/NCAPH/NEK6/SKA3/DSN1/ECT2/CDCA8/SMC4/BUB1B/FMN2/SPICE1/NCAPD2/KIF23/NUF2/ATM/TACC3/CENPT/UBE2C/KIF14/PLK1/ESPL1/KIF18A/MAPK15/NCAPG2/KNSTRN/RACGAP1/NCAPG/BIRC5/CENPK/PTTG1/CCNE2/TOP2A/TRIP13/CENPQ/MAD2L1/KIF4A/DSCC1/SPAG5/SPC25/DLGAP5/BUB1/SMC2/CCNB1/NUMA1/MKI67/CENPE/NDC80/KIF2C/DDX11/FANCD2/ESCO2/SPDL1/RMI2/NUSAP1/BRIP1/GEN1/CENPN/MIS18A/NCAPD3/TTN/CDC20/FBXO5/NEK2"
"BP","GO:0019221","cytokine-mediated signaling pathway",423,-0.711650846658969,-1.62235243841556,1e-10,5.26846153846154e-08,4.58704453441296e-08,955,"tags=27%, list=9%, signal=25%","ADAR/SOCS2/CBFB/YTHDF2/SOCS3/BIRC2/PSMA1/KRT18/FN1/PIK3R1/PSMA4/STAP1/CRK/LTA/VAV1/STAT6/STK39/TMSB4X/SUMO1/HMOX1/B2M/PTPRZ1/CCND1/SIRT1/TNFRSF25/PSMA2/JAK2/PYCARD/ANGPT1/PSMB5/ANXA2/CEBPA/RAPGEF1/CXCL2/CD40/TNFAIP3/IL6R/LMNB1/NLRC5/HLA-G/BCL2/CAMK2D/BAG4/IL1RL1/PTPN1/IL1RAPL2/F3/IL36G/MST1R/CDIP1/PSMB6/PLVAP/PSME2/PSME1/SLIT3/INPPL1/CDKN1A/HLA-A/PSMB7/IL18RAP/CIITA/LCP1/IL10RB/IL15RA/PTPN6/CAV1/TEC/TEC/SAMHD1/TNFRSF9/SOCS1/TRAF3/TRAIP/WNT5A/IRAK4/RIPK2/IL34/BIRC5/CXCL12/ITGAM/SPI1/NFKBIA/CXCR3/IRF4/S1PR1/CIB1/AXL/HCK/CCL25/CXCL9/CSF2RB/LBP/IRF8/CASP1/CXCL10/PTPRC/TNFSF13B/CCL3L3/IRF1/STAT4/CSF1R/PSMB8/CCL3/INPP5D/TNIP2/ITGB2/FCGR1A/CSF3R/CD74/HLA-DPA1/PSMB9/HLA-DPB1/CMKLR1/IL1R2"
"BP","GO:0044770","cell cycle phase transition",493,-0.694402202425751,-1.58286726239304,1e-10,5.26846153846154e-08,4.58704453441296e-08,1036,"tags=23%, list=10%, signal=22%","SDCCAG8/CDC25A/BABAM1/TFDP1/HAUS7/DCUN1D3/DONSON/MCM3/E2F7/CCND1/CEP76/ORC3/PSMA2/RPA2/HAUS2/CENPF/PSMB5/HAUS1/ODF2/DHFR/TUBB4B/POLE3/RPA3/SFI1/AURKB/BCL2/MCM4/PRIM2/ORC5/OFD1/MCM8/BUB3/TYMS/HAUS4/NASP/PRMT2/RRM2/PSMB6/PLK3/UBE2S/CHEK2/PSME2/PRIM1/PSME1/TTK/CCNB2/IQGAP3/CDKN1A/AURKA/NEK6/TIPIN/PSMB7/CKS1B/PTPN6/ZFP36L2/DBF4B/CLSPN/MCM6/PLK4/CEP135/HYAL1/BUB1B/CHEK1/ZNF385A/HAUS8/MEN1/KNTC1/GTSE1/ATM/PIDD1/TACC3/UBE2C/KIF14/PLK1/ESPL1/POLE/MAPK15/RBBP8/MAD2L1BP/PCNA/MCM5/MELK/ANLN/FOXM1/POLA2/USP47/CCNE2/HAUS5/TRIP13/RGCC/MAD2L1/DLGAP5/BUB1/TPX2/E2F8/POLA1/CCNB1/CENPE/CDK1/HMMR/CCNA2/NDC80/BORA/SPDL1/PTPRC/GEN1/CCNF/PSMB8/AIF1/CDC20/FBXO5/PSMB9/NEK2"
"BP","GO:0044772","mitotic cell cycle phase transition",466,-0.69274090153527,-1.57938999322799,1e-10,5.26846153846154e-08,4.58704453441296e-08,1521,"tags=28%, list=14%, signal=25%","RFWD3/CENPJ/FBXL7/GMNN/CDC45/ZNF830/OPTN/MDM2/TAF10/CLASP1/APEX1/NDE1/CDK10/CEP152/PSMA1/TUBG1/ANAPC1/MDM4/MASTL/FOXN3/POLE2/PSMA4/DCTN1/TUBA1A/MTBP/SDCCAG8/CDC25A/TFDP1/HAUS7/DCUN1D3/DONSON/MCM3/E2F7/CCND1/CEP76/ORC3/PSMA2/RPA2/HAUS2/CENPF/PSMB5/HAUS1/ODF2/DHFR/TUBB4B/POLE3/RPA3/SFI1/AURKB/BCL2/MCM4/PRIM2/ORC5/OFD1/MCM8/BUB3/TYMS/HAUS4/NASP/PRMT2/RRM2/PSMB6/PLK3/UBE2S/CHEK2/PSME2/PRIM1/PSME1/TTK/CCNB2/IQGAP3/CDKN1A/AURKA/NEK6/PSMB7/CKS1B/PTPN6/ZFP36L2/DBF4B/CLSPN/MCM6/PLK4/CEP135/HYAL1/BUB1B/ZNF385A/HAUS8/KNTC1/GTSE1/ATM/PIDD1/TACC3/UBE2C/KIF14/PLK1/ESPL1/POLE/RBBP8/MAD2L1BP/PCNA/MCM5/MELK/ANLN/FOXM1/POLA2/USP47/CCNE2/HAUS5/TRIP13/RGCC/MAD2L1/DLGAP5/BUB1/TPX2/E2F8/POLA1/CCNB1/CENPE/CDK1/HMMR/CCNA2/NDC80/BORA/SPDL1/GEN1/CCNF/PSMB8/AIF1/CDC20/FBXO5/PSMB9/NEK2"
"BP","GO:0045087","innate immune response",439,-0.710916305078368,-1.62126269102143,1e-10,5.26846153846154e-08,4.58704453441296e-08,1245,"tags=25%, list=12%, signal=23%","C7/PSMA4/HMGB1/CRK/VAV1/SFPQ/WAS/DAB2IP/GRN/CLEC10A/CLU/RASGRP1/STXBP1/CNPY3/SUMO1/TRIM59/NONO/COLEC12/ELF4/B2M/WFDC3/TLR6/TRIM35/HEXIM1/ERAP1/PSMA2/JAK2/PYCARD/TNFAIP8L2/PIK3R6/PSMB5/TNK2/CD40/TUBB4B/TNFAIP3/NLRC5/HLA-G/CAMK2D/MR1/PTPN1/UNC93B1/AKIRIN2/IL36G/MST1R/SYNCRIP/PSMB6/PSME2/PSME1/C1R/GSN/HLA-A/PSMB7/TYRO3/G3BP1/IL18RAP/PSTPIP1/CIITA/PTPN6/SAMHD1/CLNK/MRC1/SOCS1/TRAF3/WNT5A/IRAK4/CLEC4M/RIPK2/IL34/NCF2/ITGAM/CYBB/IRF4/TLR5/AXL/HCK/TIFA/CCL25/CD84/CD226/RELB/LBP/IRF8/CASP1/CRP/INS/CFP/CCL3L3/IRF1/CSF1R/PSMB8/CCL3/MFAP4/NCF1/MEFV/FCGR1A/AIF1/MARCO/CYBA/C1QC/C1QA/BPI/HLA-DPA1/PSMB9/HLA-DPB1/CLEC4C/LCK/MPEG1/CLEC4D"
"BP","GO:0048285","organelle fission",340,-0.758470723570362,-1.71635539314868,1e-10,5.26846153846154e-08,4.58704453441296e-08,938,"tags=29%, list=9%, signal=27%","MUS81/STAG1/MSH3/NFE2L1/SLC2A8/TERF1/CENPF/RAD1/RAD50/NSL1/AURKB/BUB3/PIBF1/PRC1/SYCP3/UBE2S/CHEK2/MIS12/FANCA/TTK/KIF11/CCNB2/NDC1/NCAPH/AURKA/NEK6/DSN1/CAV2/CNTD1/BMP7/PSMC3IP/CDCA8/SMC4/BUB1B/FMN2/CHEK1/SPICE1/NCAPD2/KNTC1/WNT5A/KIF23/NUF2/ATM/TACC3/UBE2C/KIF14/PLK1/ESPL1/KIF18A/MAPK15/NCAPG2/KNSTRN/MAD2L1BP/RACGAP1/NCAPG/MYBL2/BIRC5/KIF20B/CENPK/PTTG1/ANLN/MYBL1/CCNE2/TOP2A/TRIP13/RGCC/ASPM/MAD2L1/KIF4A/DSCC1/SPAG5/DLGAP5/RAD51/BUB1/TPX2/SMC2/CCNB1/NUMA1/MKI67/RAD54L/CENPE/CDK1/NDC80/KIF2C/BORA/FANCD2/MND1/SPDL1/RAD54B/NUSAP1/BRIP1/INS/GEN1/NCAPD3/TTN/CDC20/FBXO5/NEK2"
"BP","GO:0051301","cell division",467,-0.706512354307051,-1.61088748929617,1e-10,5.26846153846154e-08,4.58704453441296e-08,1024,"tags=25%, list=10%, signal=24%","CDC25A/BABAM1/HAUS7/E2F7/CCND1/NEK1/NEK4/STAG1/FGF1/CETN3/HAUS2/TERF1/PKN2/ANK3/CENPF/VANGL2/HAUS1/NSL1/STMN1/NEDD9/CDCA2/AURKB/OIP5/ZBTB16/BUB3/HAUS4/PRC1/RUVBL1/SYCP3/PLK3/UBE2S/CENPW/CHEK2/MIS12/FGF7/KIF11/CCNB2/NCAPH/AURKA/NEK6/TIPIN/SKA3/LRRCC1/DSN1/ECT2/CKS1B/SAPCD2/ZFP36L2/CIT/UNC119/PLK4/CEP55/CDCA8/SMC4/CDCA3/BUB1B/FMN2/HAUS8/SPICE1/NCAPD2/KNTC1/KIF23/NUF2/TACC3/CENPT/UBE2C/PGF/KIF14/PLK1/RHOB/ESPL1/RBBP8/NCAPG2/KNSTRN/RACGAP1/NCAPG/BIRC5/KIF20B/LIG1/PTTG1/ANLN/SPC24/CCNE2/TOP2A/HAUS5/MIS18BP1/ASPM/MAD2L1/KIF4A/CIB1/SPAG5/SPC25/NEK3/BUB1/TPX2/SMC2/CKAP2/E2F8/CCNB1/NUMA1/KIF20A/CENPE/CDK1/CCNA2/NDC80/KIF2C/BORA/SPDL1/ZWILCH/NUSAP1/BRIP1/CCNF/MIS18A/NCAPD3/CDC20/FBXO5/NEK2"
