"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0006364","rRNA processing",196,0.717869877931779,2.07536324026068,1e-10,5.27e-08,4.33765182186235e-08,1566,"tags=42%, list=15%, signal=37%","LYAR/MRM1/TSR1/NOL6/BOP1/NOP2/FTSJ3/RRP1/DDX54/BMS1/MAK16/WDR74/WDR12/TBL3/RPP38/DKC1/EMG1/DDX56/RRP15/WDR75/RSL1D1/NOP56/RPF1/HELQ/RRP12/UTP15/NAF1/RRP9/REXO4/FCF1/UTP3/MTERF4/EXOSC2/WDR46/UTP6/RRS1/MPHOSPH10/PWP2/NOP58/RPUSD4/DDX49/WDR43/NOP10/PES1/TFB1M/RPUSD2/EXOSC4/RPF2/DDX27/DHX37/UTP20/EXOSC9/BYSL/NVL/RRP7A/DDX10/FBL/GAR1/DIS3/TFB2M/NOC4L/URB1/SRFBP1/EXOSC6/SNU13/MDN1/DIMT1/RPL7L1/KRI1/EXOSC3/DDX47/TSR2/PA2G4/NOP9/SART1/RRP8/EXOSC10/ERI1/NGDN/RIOK1/NAT10/UTP14A/NPM3"
"BP","GO:0006397","mRNA processing",416,0.586695463624781,1.78652856305173,1e-10,5.27e-08,4.33765182186235e-08,2461,"tags=42%, list=23%, signal=33%","CCNB1/USP4/JMJD6/PRMT5/DBR1/GRSF1/RBMX/SYNCRIP/SART3/POLR2H/TTF2/SRSF2/SLBP/PRPF38A/RAVER1/PPP1R8/CDK12/RBBP6/NCBP1/PRPF40A/DHX36/PDE12/U2AF1/HNRNPL/RBM4B/PRPF19/HNRNPM/SNW1/KHSRP/USP39/XAB2/SFPQ/METTL3/PABPN1/RNPS1/WDR77/SRSF6/NONO/MTPAP/ELAVL1/LEO1/NUDT21/GTF2H1/HNRNPH1/U2AF1L5/COIL/TXNL4A/CWC22/STRAP/LSM2/HNRNPA1L2/ERCC3/HNRNPR/EFTUD2/ZPR1/PDCD7/PRPF4/SNRNP40/METTL14/DAZAP1/FIP1L1/SNRPD3/TUT1/AQR/DHX15/DHX35/ZNF830/PPIL1/KHDRBS3/SON/AURKAIP1/CDK9/PPIE/DDX5/SF3B3/DCPS/SF3A3/THOC3/SNRPB2/RNMT/SNU13/SRSF9/HTATSF1/SSU72/CHERP/PRKACA/CCNH/DDX47/TSEN2/CRNKL1/NCBP2/PRPF38B/LSM10/GTF2H2/SNRPF/SREK1IP1/LUC7L2/SART1/TGS1/SRSF10/PPP4R2/PRPF4B/LARP7/GTF2F2/CLP1/MFAP1/RBM25/ALYREF/PHRF1/PSIP1/SF3B4/TSEN15/PNPT1/SF1/SRSF3/BARD1/MAGOHB/TRUB2/CPSF4/DNAJC8/POLR2K/TARDBP/SNRNP200/CASC3/RPRD1A/SUPT4H1/SNRPA1/CSTF1/SMN1/PRMT7/LSM3/SAP18/PHF5A/C1QBP/SRRM2/CPSF2/GEMIN2/EIF4A3/CMTR2/HNRNPU/CPSF1/RPRD2/GEMIN4/IWS1/PNN/TXNL4B/HNRNPC/RBM22/CELF2/SNRNP27/SAFB/AAR2/RBM42/SYMPK/PPIL3/PRPF31/RBM39/CWC15/POLR2G/CPSF3/SCAF11/NCL/CPSF6/WDR33/SNRPG/LSM5/TRA2B/CDC40/CDK13/PAN2/DDX39B/TBRG4/SRSF7"
"BP","GO:0008380","RNA splicing",370,0.586196365737123,1.77576879897731,1e-10,5.27e-08,4.33765182186235e-08,2283,"tags=39%, list=21%, signal=32%","USP4/JMJD6/PRMT5/DBR1/GRSF1/FAM98B/RBMX/SYNCRIP/SART3/POLR2H/TTF2/SRSF2/PRPF38A/RAVER1/PPP1R8/CDK12/NCBP1/PRPF40A/MPHOSPH10/U2AF1/PPIG/HNRNPL/RBM4B/PRPF19/HNRNPM/SNW1/PPP2CA/KHSRP/USP39/XAB2/SFPQ/METTL3/PABPN1/RNPS1/WDR77/SRSF6/NONO/ELAVL1/PIK3R1/NUDT21/HNRNPH1/U2AF1L5/COIL/TXNL4A/CWC22/STRAP/LSM2/HNRNPA1L2/HNRNPR/EFTUD2/ZPR1/PDCD7/PRPF4/SNRNP40/METTL14/DAZAP1/FIP1L1/SNRPD3/PPP2R1A/AQR/DHX15/DHX35/ZNF830/PPIL1/KHDRBS3/SON/PPIE/DDX5/TAF15/IVNS1ABP/SF3B3/DCPS/SF3A3/THOC3/SNRPB2/SNU13/SRSF9/HTATSF1/CHERP/DDX47/TSEN2/CRNKL1/NCBP2/PRPF38B/LSM10/SNRPF/SREK1IP1/LUC7L2/SART1/TGS1/SRSF10/PPP4R2/PRPF4B/LARP7/GTF2F2/CLP1/MFAP1/RBM25/ALYREF/PSIP1/RP9/SF3B4/TSEN15/SF1/SRSF3/RBM12B/MAGOHB/CPSF4/DNAJC8/POLR2K/TARDBP/SNRNP200/CASC3/SNRPA1/CSTF1/SMN1/PRMT7/LSM3/SAP18/PHF5A/C1QBP/SRRM2/METTL4/CPSF2/GEMIN2/EIF4A3/HNRNPU/CPSF1/GEMIN4/IWS1/PNN/TXNL4B/HNRNPC/RBM22/CELF2/SNRNP27/AAR2/RBM42/SYMPK/PPIL3/PRPF31/RBM39/CWC15/POLR2G/CPSF3/SCAF11"
"BP","GO:0016072","rRNA metabolic process",202,0.706222359270572,2.04398063674809,1e-10,5.27e-08,4.33765182186235e-08,1566,"tags=41%, list=15%, signal=36%","LYAR/MRM1/TSR1/NOL6/BOP1/NOP2/FTSJ3/RRP1/DDX54/BMS1/MAK16/WDR74/WDR12/TBL3/RPP38/DKC1/EMG1/DDX56/RRP15/WDR75/RSL1D1/NOP56/RPF1/HELQ/RRP12/UTP15/NAF1/RRP9/REXO4/FCF1/UTP3/MTERF4/EXOSC2/WDR46/UTP6/RRS1/MPHOSPH10/PWP2/NOP58/RPUSD4/DDX49/WDR43/NOP10/PES1/TFB1M/RPUSD2/EXOSC4/RPF2/DDX27/DHX37/UTP20/EXOSC9/BYSL/NVL/RRP7A/DDX10/FBL/GAR1/DIS3/TFB2M/NOC4L/URB1/SRFBP1/EXOSC6/SNU13/MDN1/DIMT1/RPL7L1/KRI1/EXOSC3/DDX47/TSR2/PA2G4/NOP9/SART1/RRP8/EXOSC10/ERI1/NGDN/RIOK1/NAT10/UTP14A/NPM3"
"MF","GO:0016887","ATPase activity",312,0.60986632017356,1.83143862053131,1e-10,5.27e-08,4.33765182186235e-08,1609,"tags=30%, list=15%, signal=26%","ATP2A1/HSPA5/G3BP1/DHX30/ABCC4/HSPA13/ABCB9/SMARCAD1/WRN/DDX54/SPATA5L1/TNNT3/SMARCA4/RUVBL1/ABCF2/DDX24/PIF1/ATP13A1/DDX28/DDX56/ERCC6L/SUPV3L1/TTF2/HELQ/MSH6/ACTC1/MYO19/DHX57/SMARCA5/HSPA14/DDX6/DHX36/HELLS/ABCC8/ATAD5/DDX49/IGHMBP2/KIF16B/KIF20A/KATNA1/DDX27/KIF5B/ATP2A2/DHX37/KIF11/MYO5A/ABCB11/DDX3Y/SWSAP1/MCM4/NVL/PSMC3/ATAD1/DDX10/TOP2B/MCM2/MCM7/DDX11/KIF2A/ERCC3/CHTF18/HSPA9/ABCF3/BLM/AQR/KIF2C/DHX15/DHX35/ATAD2B/TOP2A/DDX5/HSP90AA1/CHD1L/MDN1/ABCE1/DDX47/KIF14/DNHD1/RFC1/RFC4/GTF2F2/DDX31/KIF23/RFC2/INO80/DHX29/RUVBL2/WRNIP1/RAD50/ATRX/RFC3/DSCC1/AK6/MCM3"
"BP","GO:0022613","ribonucleoprotein complex biogenesis",384,0.688189739645515,2.08536260273237,1e-10,5.27e-08,4.33765182186235e-08,1566,"tags=38%, list=15%, signal=33%","DHX30/LYAR/AATF/MRM1/NOC2L/TSR1/USP4/NOL6/BOP1/PRMT5/NOP2/PPAN/FTSJ3/RRP1/DDX54/NUP88/BMS1/MAK16/WDR74/RUVBL1/WDR12/RBMX/TBL3/RPP38/DKC1/EMG1/DDX28/SART3/DDX56/RRP15/WDR75/RSL1D1/NOP56/RPF1/HELQ/RRP12/UTP15/NAF1/RRP9/REXO4/MPV17L2/FCF1/PAK1IP1/UTP3/FASTKD2/MTERF4/EXOSC2/WDR46/NCBP1/UTP6/EIF3J/RRS1/MPHOSPH10/PWP2/XPO1/NOP58/HEATR3/RPUSD4/DDX49/WDR43/PRPF19/USP39/PWP1/NOP10/XAB2/PES1/WDR77/TFB1M/RPUSD2/MYBBP1A/EXOSC4/SRSF6/RPF2/AGO3/DDX27/DHX37/UTP20/NLE1/EXOSC9/BYSL/NVL/RRP7A/NUDT21/DDX10/FBL/GAR1/NOM1/COIL/DIS3/TXNL4A/STRAP/LSM2/TFB2M/NOP16/SNRPD3/PTGES3/MTERF3/URB2/NOC4L/URB1/SRFBP1/RRN3/HSP90AA1/SF3A3/EXOSC6/SNU13/SRSF9/NUFIP1/TARBP2/MDN1/MTG2/EIF2D/DIMT1/ABCE1/MRPL20/RPL7L1/KRI1/EXOSC3/DDX47/CRNKL1/TSR2/PA2G4/NOP9/SNRPF/MRPS2/LUC7L2/SART1/TGS1/SRSF10/DDX31/CLP1/PSIP1/RRP8/DHX29/EXOSC10/RUVBL2/ERI1/NGDN/NPM1/RIOK1/SF1/NAT10/UTP14A/NPM3"
"CC","GO:0030684","preribosome",71,0.805514058149388,2.09693623724211,1e-10,5.27e-08,4.33765182186235e-08,705,"tags=45%, list=7%, signal=42%","NOC2L/TSR1/NOL6/BOP1/PPAN/FTSJ3/RRP1/BMS1/MAK16/WDR74/WDR12/TBL3/EMG1/RRP15/RSL1D1/NOP56/RPF1/RRP9/FCF1/UTP3/WDR46/UTP6/RRS1/MPHOSPH10/PWP2/NOP58/PES1/UTP20/FBXW9/BYSL/RRP7A/FBL"
"BP","GO:0034470","ncRNA processing",336,0.692655164756795,2.08174531268337,1e-10,5.27e-08,4.33765182186235e-08,1584,"tags=38%, list=15%, signal=33%","TP53RK/LYAR/MRM1/TRMT10C/TSR1/NOL6/INTS5/BOP1/PUS1/NOP2/TARBP1/FTSJ3/GRSF1/FAM98B/RRP1/DDX54/TRMT6/BMS1/MAK16/WDR74/WDR12/TBL3/QTRT1/RPP38/DUS3L/DKC1/EMG1/DDX56/RRP15/WDR75/RSL1D1/NOP56/RPF1/HELQ/RRP12/UTP15/NAF1/RRP9/REXO4/FCF1/UTP3/DUS2/MTERF4/EXOSC2/WDR46/UTP6/RRS1/MPHOSPH10/PWP2/NOP58/MTFMT/RPUSD4/POP1/DDX49/WDR43/PUS3/TYW3/PUSL1/NOP10/METTL3/PES1/TFB1M/RPUSD2/LAGE3/EXOSC4/CTU1/RPF2/AGO3/DDX27/DHX37/UTP20/TRMT10A/EXOSC9/BYSL/ELP5/NVL/RRP7A/DDX10/FBL/GAR1/ELAC2/DIS3/TFB2M/THUMPD3/INTS12/DTWD2/TUT1/ELAC1/C9orf64/NOC4L/SSB/URB1/SRFBP1/METTL1/PARN/BCDIN3D/EXOSC6/SNU13/TARBP2/NSUN2/MDN1/DIMT1/RPL7L1/KTI12/KRI1/EXOSC3/TRIT1/DDX47/TSEN2/TSR2/PA2G4/NOP9/SART1/LARP7/CLP1/RRP8/TRMT5/EXOSC10/ERI1/TSEN15/NGDN/RIOK1/NAT10/UTP14A/DUS1L/NPM3/MTO1"
"BP","GO:0034660","ncRNA metabolic process",392,0.671889060978246,2.0369769968088,1e-10,5.27e-08,4.33765182186235e-08,1584,"tags=35%, list=15%, signal=31%","TP53RK/LYAR/MRM1/TRMT10C/TSR1/NOL6/INTS5/BOP1/PUS1/NOP2/TARBP1/XPO5/FTSJ3/GRSF1/FAM98B/RRP1/DDX54/TRMT6/BMS1/MAK16/WDR74/PPA2/WDR12/TBL3/QTRT1/RPP38/DUS3L/DKC1/EMG1/DDX56/RRP15/WDR75/RSL1D1/MARS2/NOP56/RPF1/HELQ/RRP12/AARSD1/UTP15/NAF1/RRP9/REXO4/FCF1/UTP3/DUS2/DARS2/MTERF4/EXOSC2/WDR46/UTP6/RRS1/PSTK/MPHOSPH10/PARS2/PWP2/NOP58/MTFMT/RPUSD4/POP1/DDX49/WDR43/PUS3/TYW3/KHSRP/PUSL1/NOP10/METTL3/PES1/TFB1M/RPUSD2/LAGE3/EXOSC4/CTU1/RPF2/AGO3/DDX27/DHX37/UTP20/GATC/TRMT10A/EXOSC9/BYSL/ELP5/NVL/RRP7A/DDX10/FBL/GAR1/ELAC2/DIS3/TFB2M/THUMPD3/INTS12/DTWD2/TUT1/ELAC1/MYBL1/C9orf64/NOC4L/SSB/URB1/SRFBP1/METTL1/PARN/BCDIN3D/EXOSC6/SNU13/TARBP2/NSUN2/MDN1/DIMT1/RPL7L1/KTI12/KRI1/EXOSC3/TRIT1/DDX47/TSEN2/TSR2/HRAS/PA2G4/NOP9/SART1/LARP7/CLP1/RRP8/TRMT5/EXOSC10/ERI1/TSEN15/NGDN/PNPT1/RIOK1/NAT10/UTP14A/DUS1L/NPM3/MTO1"
"BP","GO:0042254","ribosome biogenesis",266,0.716389744682493,2.13190691937741,1e-10,5.27e-08,4.33765182186235e-08,1566,"tags=41%, list=15%, signal=36%","DHX30/LYAR/AATF/MRM1/NOC2L/TSR1/NOL6/BOP1/NOP2/PPAN/FTSJ3/RRP1/DDX54/NUP88/BMS1/MAK16/WDR74/WDR12/TBL3/RPP38/DKC1/EMG1/DDX28/DDX56/RRP15/WDR75/RSL1D1/NOP56/RPF1/HELQ/RRP12/UTP15/NAF1/RRP9/REXO4/MPV17L2/FCF1/PAK1IP1/UTP3/FASTKD2/MTERF4/EXOSC2/WDR46/UTP6/RRS1/MPHOSPH10/PWP2/XPO1/NOP58/HEATR3/RPUSD4/DDX49/WDR43/PWP1/NOP10/PES1/TFB1M/RPUSD2/MYBBP1A/EXOSC4/RPF2/DDX27/DHX37/UTP20/NLE1/EXOSC9/BYSL/NVL/RRP7A/DDX10/FBL/GAR1/NOM1/DIS3/TFB2M/NOP16/MTERF3/URB2/NOC4L/URB1/SRFBP1/RRN3/EXOSC6/SNU13/MDN1/MTG2/DIMT1/ABCE1/MRPL20/RPL7L1/KRI1/EXOSC3/DDX47/TSR2/PA2G4/NOP9/MRPS2/SART1/DDX31/RRP8/DHX29/EXOSC10/ERI1/NGDN/NPM1/RIOK1/NAT10/UTP14A/NPM3"
