"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0000070","mitotic sister chromatid segregation",136,-0.862413082153053,-2.0332972596263,1e-10,8.37375e-09,7.08421052631579e-09,838,"tags=46%, list=8%, signal=43%","NAA50/PSMG2/SLF2/NSMCE2/ANAPC11/KIFC1/ANAPC4/SLF1/TUBG1/INCENP/ANAPC5/BUB3/CENPF/NSL1/TRIP13/NUF2/AURKB/NEK2/NCAPD2/RB1/RACGAP1/BUB1B/ATM/MIS12/CDC6/CCNB1/PRC1/CDT1/FBXO5/DSN1/CENPE/CDC20/SMC4/TACC3/SPDL1/BUB1/TTN/ESPL1/TTK/MAD2L1/KIF23/CENPK/NCAPH/DSCC1/KIF18A/NCAPD3/PTTG1/NUMA1/NCAPG/UBE2C/KIF4A/CDCA8/DLGAP5/PLK1/NUSAP1/GEN1/KIF14/SPAG5/KNSTRN/KIF2C/SMC2/NDC80/NCAPG2"
"BP","GO:0000075","cell cycle checkpoint",175,-0.786465566629503,-1.86830594781053,1e-10,8.37375e-09,7.08421052631579e-09,772,"tags=32%, list=7%, signal=30%","WEE2/PRMT1/RNASEH2B/RAD9A/DCLRE1B/ORC1/RAD1/MUS81/ATRIP/CDC45/BUB3/BRCA1/TOPBP1/CHEK2/RFWD3/CENPF/ATR/TRIP13/DNA2/KNTC1/AURKB/RPA2/RB1/BUB1B/ATM/E2F1/CDC6/CCNB1/PIDD1/TICRR/PCNA/CDT1/MSH2/CDK2/CHEK1/CDC20/CLSPN/SPDL1/BUB1/GTSE1/TTK/MAD2L1/AURKA/TOP2A/CDK1/MAD2L1BP/PLK1/GEN1/BRIP1/E2F7/NDC80/E2F8/FANCD2/TIPIN/TIMELESS/ZWILCH"
"BP","GO:0000082","G1/S transition of mitotic cell cycle",200,-0.777132133673185,-1.84484613941192,1e-10,8.37375e-09,7.08421052631579e-09,507,"tags=28%, list=5%, signal=27%","RPA3/AIF1/POLE3/CDC45/CDC7/RBL1/APEX1/CHEK2/RFWD3/RRM2/HYAL1/DBF4/PRMT2/TYMS/SKP2/ORC5/ORC4/RPA2/PRIM1/RB1/ORC2/RBBP8/POLA2/ATM/NASP/E2F1/ORC3/CDC6/CCNB1/PIDD1/MCM8/PCNA/PRIM2/CDT1/FBXO5/CDK2/MCM5/MCM10/GMNN/GTSE1/MCM2/AURKA/CCNE2/IQGAP3/CDK1/MCM3/KIF14/MCM7/E2F7/POLA1/MCM6/E2F8/MCM4/POLE2/POLE"
"BP","GO:0000086","G2/M transition of mitotic cell cycle",214,-0.772502149369995,-1.83544886926506,1e-10,8.37375e-09,7.08421052631579e-09,1382,"tags=44%, list=13%, signal=39%","SFI1/RINT1/PSME1/PSMD12/DCTN3/RBX1/SSNA1/CDK4/WEE1/PSMD14/PSMC6/PSMA8/PSMD7/PSMA6/RAD21/PSMB2/PSMC5/NAE1/USP47/PSMD1/CDC25A/CCNH/DONSON/PSME2/CETN2/PSMA1/BLM/PSME3/TUBA4A/PSMD6/CEP78/PSMD13/TUBB4B/PSMB5/RNASEH2B/PSMC3/HAUS2/MAPRE1/PSMD8/PSMD2/HSP90AA1/ORC1/PSMA5/TUBA1A/TUBG1/PSMA4/PSMC4/PSMA2/PSMA3/ODF2/PSMB8/PSMB1/PSMB9/CEP41/CDC7/BRCA1/TOPBP1/CHEK2/CENPF/CCNB2/CEP152/AURKB/HAUS3/CEP135/SKP2/HAUS7/NEK2/CCNB3/MASTL/BORA/HAUS1/ATM/CDC6/CCNB1/TICRR/FBXO5/CDK2/HAUS4/HAUS6/CCNA2/CLSPN/HAUS8/AURKA/MELK/CENPJ/CDK1/PKMYT1/TPX2/PLK4/PLK1/HAUS5/KIF14/FOXM1/HMMR/DBF4B"
"BP","GO:0000226","microtubule cytoskeleton organization",416,-0.722244795112268,-1.74881525594929,1e-10,8.37375e-09,7.08421052631579e-09,1034,"tags=25%, list=10%, signal=23%","MZT1/SPATA7/TUBGCP6/PHLDB1/SYNE2/CETN2/FKBP4/KATNA1/TUBA4A/VCP/NIN/MAP9/CCDC88A/TUBB4B/TUBB6/XPO1/WDR73/HAUS2/MAPRE1/CNP/TUBA1C/KIFC1/RTTN/FMN2/CCDC66/WDR62/TUBA1A/TUBG1/INCENP/HDAC3/OBSL1/ODF2/SKA2/BBS4/XRCC2/BRCA1/CNTLN/STMN1/RANBP1/TUBGCP2/SKA1/CHEK2/CENPW/DNAAF5/POC1A/CEP152/NUF2/AURKB/CETN3/HAUS3/CEP135/HAUS7/NEK2/GAS8/MYBL2/CKAP2/TUBE1/BORA/HAUS1/RACGAP1/CCNB1/PRC1/FBXO5/CDK2/CHEK1/HAUS4/CENPE/HAUS6/CDC20/HAUS8/TACC3/STIL/SPDL1/ESPL1/TTK/MAD2L1/KIF23/SASS6/AURKA/ASPM/KIF18A/KIF11/MCPH1/CENPJ/CDK1/TPX2/PLK4/SPC25/KIF20A/NUMA1/KIF4A/SPICE1/DLGAP5/PLK1/HAUS5/NUSAP1/CCNF/BIRC5/GEN1/SPAG5/KNSTRN/KIF2C/NDC80/SKA3"
"BP","GO:0000280","nuclear division",305,-0.808899472350632,-1.95143716188518,1e-10,8.37375e-09,7.08421052631579e-09,925,"tags=37%, list=9%, signal=35%","PRMT5/USP16/PIN1/CCNE1/NAA50/MAP9/PSMG2/SLF2/NSMCE2/WEE2/PSMD13/MSH3/ANAPC11/VRK1/KIFC1/FMN2/RMI1/RAD1/ANAPC4/SLF1/TUBG1/INCENP/OBSL1/MUS81/ANAPC5/P3H4/BUB3/CALR/RAD50/RANBP1/CHEK2/CENPF/NSL1/FANCA/KIF20B/NDC1/TRIP13/CCNB2/NUF2/KNTC1/AURKB/NEK2/MYBL2/NCAPD2/RB1/MASTL/BORA/PSMC3IP/RACGAP1/BUB1B/ATM/MIS12/CDC6/CCNB1/PRC1/CDT1/FBXO5/CHEK1/DSN1/CENPE/CDC20/SMC4/TACC3/RAD54L/SPDL1/BUB1/TTN/ESPL1/TTK/TERF1/MAD2L1/KIF23/CENPK/AURKA/NCAPH/DSCC1/ASPM/KIF18A/MYBL1/KIF11/TOP2A/CCNE2/NCAPD3/CDK1/PKMYT1/MAD2L1BP/TPX2/PTTG1/NUMA1/NCAPG/UBE2C/KIF4A/SPICE1/CDCA8/DLGAP5/PLK1/RAD54B/NUSAP1/BIRC5/GEN1/ANLN/KIF14/MKI67/SPAG5/KNSTRN/KIF2C/BRIP1/SMC2/MND1/NDC80/FANCD2/RAD51/NCAPG2"
"BP","GO:0000723","telomere maintenance",129,-0.794018805211245,-1.86688928043854,1e-10,8.37375e-09,7.08421052631579e-09,1175,"tags=44%, list=11%, signal=40%","GNL3/EXOSC10/RIF1/TINF2/POLE4/RFC1/WRAP53/DHX36/BLM/CCNE1/PTGES3/NAT10/NSMCE2/SP100/XRCC5/NHP2/GAR1/NOP10/HSP90AA1/DCLRE1B/FEN1/TERF2/RPA3/POLE3/RFC2/RAD50/SMC6/WRN/HDAC8/EXO1/APEX1/SMARCAL1/PARP1/ATR/RFC5/DNA2/RFC3/AURKB/NEK2/POLD1/RPA2/POLD3/PRIM1/POLA2/ATM/POLD2/PCNA/PRIM2/TERF2IP/TERF1/RFC4/CCNE2/POLA1/RECQL4/RAD51/POLE2/POLE"
"BP","GO:0000724","double-strand break repair via homologous recombination",107,-0.840547274422653,-1.95248754511164,1e-10,8.37375e-09,7.08421052631579e-09,671,"tags=44%, list=6%, signal=42%","SAMHD1/WAS/RMI1/FEN1/RPA3/MUS81/SWSAP1/CDC45/CDC7/XRCC2/BRCA1/RAD50/WRN/HELQ/RFWD3/PARPBP/PARP1/MCM9/RMI2/PALB2/POLQ/RPA2/RBBP8/FANCB/ATM/RAD52/MCM8/CHEK1/MCM5/TERF2IP/RAD54L/MCM2/GINS2/MCM3/RAD51AP1/SFR1/RAD54B/TONSL/GEN1/MCM7/RECQL4/MCM6/MCM4/GINS4/RAD51/MMS22L/TIMELESS"
"BP","GO:0000725","recombinational repair",108,-0.83700075049577,-1.94687919818714,1e-10,8.37375e-09,7.08421052631579e-09,671,"tags=44%, list=6%, signal=41%","SAMHD1/WAS/RMI1/FEN1/RPA3/MUS81/SWSAP1/CDC45/CDC7/XRCC2/BRCA1/RAD50/WRN/HELQ/RFWD3/PARPBP/PARP1/MCM9/RMI2/PALB2/POLQ/RPA2/RBBP8/FANCB/ATM/RAD52/MCM8/CHEK1/MCM5/TERF2IP/RAD54L/MCM2/GINS2/MCM3/RAD51AP1/SFR1/RAD54B/TONSL/GEN1/MCM7/RECQL4/MCM6/MCM4/GINS4/RAD51/MMS22L/TIMELESS"
"CC","GO:0000775","chromosome, centromeric region",157,-0.840888183538822,-1.99259534473511,1e-10,8.37375e-09,7.08421052631579e-09,530,"tags=37%, list=5%, signal=36%","INCENP/CENPP/NUP37/SKA2/BUB3/NUP133/SKA1/CENPF/CENPW/NSL1/SUV39H1/NUF2/KNTC1/AURKB/OIP5/NEK2/NCAPD2/ORC2/CENPM/HELLS/BUB1B/CENPI/DNMT1/MIS12/CCNB1/CDT1/DSN1/CENPE/PMF1/SPDL1/BUB1/CENPL/TTK/MAD2L1/SPC24/CENPK/AURKA/DSCC1/KIF18A/NCAPD3/SPC25/NCAPG/CDCA8/CENPQ/PLK1/MIS18BP1/BIRC5/SPAG5/KNSTRN/KIF2C/CENPN/ERCC6L/NDC80/CENPT/MIS18A/ESCO2/SKA3/ZWILCH"
"CC","GO:0000776","kinetochore",113,-0.846568891357598,-1.97684659393758,1e-10,8.37375e-09,7.08421052631579e-09,860,"tags=44%, list=8%, signal=41%","NUP160/CENPU/LRWD1/CBX5/XPO1/RANGAP1/INCENP/NUP37/SKA2/BUB3/NUP133/SKA1/CENPF/CENPW/NSL1/NUF2/KNTC1/AURKB/NEK2/ORC2/CENPM/BUB1B/CENPI/MIS12/CCNB1/CDT1/DSN1/CENPE/PMF1/SPDL1/BUB1/TTK/MAD2L1/SPC24/CENPK/KIF18A/SPC25/CENPQ/PLK1/MIS18BP1/BIRC5/SPAG5/KNSTRN/KIF2C/CENPN/ERCC6L/NDC80/CENPT/SKA3/ZWILCH"
"CC","GO:0000777","condensed chromosome kinetochore",84,-0.870203217459941,-1.97821235555851,1e-10,8.37375e-09,7.08421052631579e-09,530,"tags=48%, list=5%, signal=46%","RANGAP1/INCENP/NUP37/SKA2/BUB3/NUP133/SKA1/CENPF/CENPW/NSL1/NUF2/KNTC1/NEK2/ORC2/CENPM/BUB1B/MIS12/CCNB1/CDT1/DSN1/CENPE/PMF1/SPDL1/BUB1/MAD2L1/SPC24/CENPK/SPC25/PLK1/MIS18BP1/BIRC5/SPAG5/KNSTRN/KIF2C/CENPN/ERCC6L/NDC80/CENPT/SKA3/ZWILCH"
"CC","GO:0000779","condensed chromosome, centromeric region",96,-0.863000906793061,-1.98172596075982,1e-10,8.37375e-09,7.08421052631579e-09,530,"tags=46%, list=5%, signal=44%","INCENP/NUP37/SKA2/BUB3/NUP133/SKA1/CENPF/CENPW/NSL1/NUF2/KNTC1/AURKB/NEK2/NCAPD2/ORC2/CENPM/BUB1B/MIS12/CCNB1/CDT1/DSN1/CENPE/PMF1/SPDL1/BUB1/MAD2L1/SPC24/CENPK/AURKA/NCAPD3/SPC25/NCAPG/PLK1/MIS18BP1/BIRC5/SPAG5/KNSTRN/KIF2C/CENPN/ERCC6L/NDC80/CENPT/SKA3/ZWILCH"
"CC","GO:0000781","chromosome, telomeric region",117,-0.812666456648602,-1.89863572742942,1e-10,8.37375e-09,7.08421052631579e-09,1109,"tags=47%, list=10%, signal=43%","RIF1/LIG4/DDB1/TINF2/WRAP53/THOC6/DHX36/BLM/PTGES3/NAT10/NSMCE2/SP100/LRWD1/XRCC5/NHP2/CBX5/GAR1/SSB/DPY30/DCLRE1B/ORC1/FEN1/TERF2/MEN1/RAD50/SMC6/WRN/APEX1/CHEK2/PARP1/ATR/DNA2/POLD1/ORC5/ORC4/RPA2/WRNIP1/ORC2/ATM/ORC3/PCNA/MSH2/CDK2/CHEK1/MCM5/TERF2IP/MCM2/TERF1/CDK1/MCM3/MCM7/RECQL4/MCM6/MCM4/RAD51"
"CC","GO:0000793","condensed chromosome",157,-0.834315520540642,-1.97702055375925,1e-10,8.37375e-09,7.08421052631579e-09,617,"tags=41%, list=6%, signal=40%","RANGAP1/RAD1/TUBG1/INCENP/NOL6/NUP37/SKA2/P3H4/BUB3/BRCA1/NUP133/TOPBP1/RAD50/SMC6/SKA1/CENPF/CENPW/NSL1/SUV39H1/NUF2/KNTC1/AURKB/NEK2/NCAPD2/ORC2/CENPM/BUB1B/MIS12/CCNB1/CDT1/CDK2/CHEK1/DSN1/CENPE/SMC4/PMF1/SPDL1/BUB1/TTN/MAD2L1/SPC24/CENPK/AURKA/NCAPH/TOP2A/NCAPD3/SPC25/NCAPG/PLK1/MIS18BP1/BIRC5/MKI67/SPAG5/KNSTRN/KIF2C/CENPN/SMC2/ERCC6L/NDC80/CENPT/FANCD2/RAD51/SKA3/NCAPG2/ZWILCH"
"BP","GO:0000819","sister chromatid segregation",158,-0.861887575847988,-2.04365470857193,1e-10,8.37375e-09,7.08421052631579e-09,581,"tags=44%, list=5%, signal=42%","NAA50/PSMG2/SLF2/NSMCE2/ANAPC11/KIFC1/FEN1/ANAPC4/SLF1/TUBG1/INCENP/ANAPC5/BUB3/HDAC8/CENPF/NSL1/RMI2/TRIP13/NUF2/AURKB/NEK2/NCAPD2/RB1/RACGAP1/BUB1B/ATM/MIS12/CDC6/CCNB1/PRC1/CDT1/FBXO5/DSN1/CENPE/CDC20/SMC4/TACC3/SPDL1/BUB1/TTN/ESPL1/TTK/MAD2L1/KIF23/CENPK/NCAPH/DSCC1/KIF18A/TOP2A/NCAPD3/PTTG1/NUMA1/NCAPG/UBE2C/KIF4A/CDCA8/DLGAP5/PLK1/NUSAP1/GEN1/KIF14/SPAG5/KNSTRN/KIF2C/SMC2/NDC80/ESCO2/DDX11/NCAPG2"
"CC","GO:0000922","spindle pole",134,-0.766217128986468,-1.80553269485326,1e-10,8.37375e-09,7.08421052631579e-09,690,"tags=28%, list=6%, signal=26%","WDR73/NUBP2/WDR62/TUBG1/ODF2/CEP44/TOPBP1/TUBGCP2/CENPF/POC1A/KIF20B/KNTC1/AURKB/NEK2/CKAP2/HAUS1/CDC6/CCNB1/PRC1/DSN1/CDC20/HAUS8/TACC3/SPDL1/MAD2L1/AURKA/ASPM/KIF11/TPX2/PLK4/NUMA1/DLGAP5/PLK1/CKAP2L/SPAG5/KNSTRN/DDX11"
