"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0016126","sterol biosynthetic process",68,-0.859067452567686,-2.14537815852503,1.79168077898308e-10,1.13047969877439e-06,1.04824420285989e-06,739,"tags=46%, list=7%, signal=43%","ELOVL6/NPC1L1/SCD/ACACA/MBTPS2/DHCR7/PMVK/HSD17B7/ACLY/PRKAG2/MSMO1/SC5D/FASN/CYB5R2/NSDHL/INSIG2/DHCR24/TM7SF2/IDI1/CYP51A1/SCAP/SREBF2/MVD/HMGCS1/EBP/FDPS/ACAT2/FDFT1/SQLE/MVK/LSS"
"BP","GO:1902652","secondary alcohol metabolic process",130,-0.767685945746929,-2.07935656625705,4.84526147248761e-10,1.13047969877439e-06,1.04824420285989e-06,739,"tags=27%, list=7%, signal=25%","ELOVL6/CYP2D6/CLN8/NPC1L1/NPC2/SCD/ACACA/MBTPS2/LDLR/DHCR7/PMVK/SNX17/HSD17B7/ACLY/MSMO1/SC5D/FASN/NSDHL/INSIG2/DHCR24/TM7SF2/IDI1/CYP51A1/SCAP/PPARD/SREBF2/MVD/HMGCS1/EBP/FDPS/ACAT2/FDFT1/SQLE/MVK/LSS"
"BP","GO:0008203","cholesterol metabolic process",121,-0.769909859284317,-2.08697513533544,4.95028331093735e-10,1.13047969877439e-06,1.04824420285989e-06,739,"tags=29%, list=7%, signal=27%","ELOVL6/CYP2D6/CLN8/NPC1L1/NPC2/SCD/ACACA/MBTPS2/LDLR/DHCR7/PMVK/SNX17/HSD17B7/ACLY/MSMO1/SC5D/FASN/NSDHL/INSIG2/DHCR24/TM7SF2/IDI1/CYP51A1/SCAP/PPARD/SREBF2/MVD/HMGCS1/EBP/FDPS/ACAT2/FDFT1/SQLE/MVK/LSS"
"BP","GO:0016125","sterol metabolic process",130,-0.764820481704482,-2.07159516134265,7.57359085884099e-10,1.29716677434799e-06,1.20280581139751e-06,739,"tags=29%, list=7%, signal=28%","ELOVL6/CYP2D6/CLN8/NPC1L1/NPC2/SCD/ACACA/MBTPS2/LDLR/DHCR7/PMVK/SNX17/HSD17B7/ACLY/PRKAG2/MSMO1/CYP26B1/SC5D/FASN/CYB5R2/NSDHL/INSIG2/DHCR24/TM7SF2/IDI1/CYP51A1/SCAP/PPARD/SREBF2/MVD/HMGCS1/EBP/FDPS/ACAT2/FDFT1/SQLE/MVK/LSS"
"BP","GO:0046165","alcohol biosynthetic process",126,-0.75938075883856,-2.05214266882513,1.25836123173038e-09,1.40060698341086e-06,1.29872137680777e-06,844,"tags=27%, list=8%, signal=25%","PPIP5K1/ERLIN2/ELOVL6/NPC1L1/SCD/ACACA/MBTPS2/DHCR7/PMVK/HSD17B7/ACLY/MSMO1/SC5D/FASN/ITPKC/NSDHL/INSIG2/DHCR24/TM7SF2/IDI1/IP6K2/CYP51A1/SCAP/SREBF2/VDR/MVD/HMGCS1/EBP/FDPS/ACAT2/FDFT1/SQLE/MVK/LSS"
"BP","GO:0006695","cholesterol biosynthetic process",64,-0.855753359292191,-2.09214755140714,1.43106829424551e-09,1.40060698341086e-06,1.29872137680777e-06,739,"tags=45%, list=7%, signal=42%","ELOVL6/NPC1L1/SCD/ACACA/MBTPS2/DHCR7/PMVK/HSD17B7/ACLY/MSMO1/SC5D/FASN/NSDHL/INSIG2/DHCR24/TM7SF2/IDI1/CYP51A1/SCAP/SREBF2/MVD/HMGCS1/EBP/FDPS/ACAT2/FDFT1/SQLE/MVK/LSS"
"BP","GO:1902653","secondary alcohol biosynthetic process",64,-0.855753359292191,-2.09214755140714,1.43106829424551e-09,1.40060698341086e-06,1.29872137680777e-06,739,"tags=45%, list=7%, signal=42%","ELOVL6/NPC1L1/SCD/ACACA/MBTPS2/DHCR7/PMVK/HSD17B7/ACLY/MSMO1/SC5D/FASN/NSDHL/INSIG2/DHCR24/TM7SF2/IDI1/CYP51A1/SCAP/SREBF2/MVD/HMGCS1/EBP/FDPS/ACAT2/FDFT1/SQLE/MVK/LSS"
"BP","GO:1901617","organic hydroxy compound biosynthetic process",178,-0.69566720538136,-1.95219785670379,4.56679154563486e-09,3.91088610989305e-06,3.62639302340873e-06,844,"tags=23%, list=8%, signal=22%","PPIP5K1/ERLIN2/HSD3B7/PLTP/ELOVL6/HSD17B3/NPC1L1/SCD/ACACA/MBTPS2/DHCR7/NR1D1/PMVK/HSD17B7/ACLY/PRKAG2/MSMO1/SC5D/FASN/ITPKC/CYB5R2/NSDHL/INSIG2/DHCR24/TM7SF2/IDI1/IP6K2/CYP51A1/OSBPL9/SCAP/SREBF2/VDR/MVD/HMGCS1/EBP/FDPS/ACAT2/FDFT1/SQLE/MVK/LSS"
"BP","GO:0042254","ribosome biogenesis",266,0.634182086210245,1.77010543035884,2.2479942060709e-08,1.71122314508797e-05,1.58674210919741e-05,1711,"tags=15%, list=16%, signal=13%","MRM1/AATF/DDX10/RPP38/NUP88/PPAN/RPUSD2/WDR74/LYAR/NOP56/PIH1D1/DHX30/RPUSD4/RRP9/TBL3/CHD7/GLUL/PTEN/FCF1/MPV17L2/DKC1/UTP6/NSUN5/BOP1/MAK16/FDXACB1/NAF1/RRP15/DIS3/NOC2L/NOL6/DDX28/SURF6/RPP40/RPF1/UTP14A/WDR75/DDX18/UTP4/NOB1"
"BP","GO:0006066","alcohol metabolic process",279,-0.614100037003683,-1.79663197869503,3.72750234809523e-08,2.42311687846301e-05,2.24684991995394e-05,936,"tags=19%, list=9%, signal=17%","NR1H4/CBR4/GALK1/PPIP5K1/ERLIN2/MECP2/ELOVL6/CYP2D6/CLN8/NPC1L1/INPP5E/NPC2/SCD/NAPEPLD/PLD4/ACACA/MBTPS2/LDLR/DHCR7/DPAGT1/PMVK/SNX17/HSD17B7/ACLY/RETSAT/RDH12/PLCE1/MSMO1/SC5D/FASN/ITPKC/NSDHL/INSIG2/DHCR24/TM7SF2/IDI1/IP6K2/CYP51A1/SCAP/PPARD/SREBF2/VDR/MVD/HMGCS1/NUDT4/EBP/FDPS/ACAT2/FDFT1/SQLE/MVK/LSS"
"BP","GO:0022613","ribonucleoprotein complex biogenesis",384,0.590919751697906,1.68871708637691,4.20935604177787e-08,2.42311687846301e-05,2.24684991995394e-05,1937,"tags=19%, list=18%, signal=16%","MRM1/AATF/DDX10/RPP38/AGO1/NUP88/PPAN/RPUSD2/WDR74/LYAR/NOP56/PIH1D1/SRPK3/SF1/DHX30/SART3/AGO3/RPUSD4/RRP9/TBL3/CHD7/GLUL/PTEN/RUVBL1/NCBP1/FCF1/LUC7L2/CPSF6/MPV17L2/CLP1/DKC1/SF3B1/TXNL4A/AGO2/UTP6/NSUN5/BOP1/PRPF3/SRPK2/MAK16/NUDT21/FDXACB1/NAF1/RRP15/DIS3/LUC7L3/EIF3E/NOC2L/NOL6/SRSF1/DDX28/SURF6/RPP40/RPF1/UTP14A/WDR75/XAB2/DDX18/UTP4/NOB1/AAR2/TGS1/PAK1IP1/AGO4/TFB2M/GTF3A/PTBP2/CELF3/LUC7L/EXOSC4/NOP2/PRPF19"
"BP","GO:0090181","regulation of cholesterol metabolic process",57,-0.850345911254855,-2.04589113678375,4.50774230287712e-08,2.42311687846301e-05,2.24684991995394e-05,598,"tags=39%, list=6%, signal=37%","ERLIN2/ELOVL6/SCD/ACACA/MBTPS2/LDLR/DHCR7/PMVK/SC5D/FASN/TM7SF2/IDI1/CYP51A1/SCAP/SREBF2/MVD/HMGCS1/FDPS/FDFT1/SQLE/MVK/LSS"
"BP","GO:1902930","regulation of alcohol biosynthetic process",61,-0.83819191946404,-2.0431541285959,4.59794474091652e-08,2.42311687846301e-05,2.24684991995394e-05,598,"tags=36%, list=6%, signal=34%","ERLIN2/ELOVL6/SCD/ACACA/MBTPS2/DHCR7/PMVK/SC5D/FASN/TM7SF2/IDI1/CYP51A1/SCAP/SREBF2/VDR/MVD/HMGCS1/FDPS/FDFT1/SQLE/MVK/LSS"
"BP","GO:1901615","organic hydroxy compound metabolic process",381,-0.566229548478698,-1.69897190259646,6.28108960110401e-08,3.07369606122597e-05,2.85010343929795e-05,867,"tags=16%, list=8%, signal=15%","GALK1/PPIP5K1/ERLIN2/MECP2/HSD3B7/PLTP/ELOVL6/CYP2D6/HSD17B3/CLN8/KIT/NPC1L1/INPP5E/NPC2/SCD/NAPEPLD/PLD4/ACACA/PDE1B/MBTPS2/LDLR/DHCR7/NR1D1/DPAGT1/PMVK/SNX17/HSD17B7/ACLY/RETSAT/PRKAG2/RDH12/PLCE1/MSMO1/CYP26B1/SC5D/FASN/ITPKC/CYB5R2/NSDHL/INSIG2/CYP24A1/DHCR24/TM7SF2/IDI1/IP6K2/CYP51A1/OSBPL9/SCAP/PPARD/SREBF2/VDR/MVD/HMGCS1/NUDT4/EBP/FDPS/ACAT2/FDFT1/SQLE/MVK/LSS"
