Sample,age,genotype,feed,sex
4,15weeks,WT,full,male
5,15weeks,WT,full,male
6,15weeks,WT,full,male
11,15weeks,Het,full,male
12,15weeks,Het,full,male
13,15weeks,Het,full,male
14,15weeks,Het,full,male
18,15weeks,WT,fasted,male
19,15weeks,WT,fasted,male
20,15weeks,WT,fasted,male
25,15weeks,Het,fasted,male
26,15weeks,Het,fasted,male
27,15weeks,Het,fasted,male
31,6.5weeks,WT,fasted,male
32,6.5weeks,WT,fasted,male
33,6.5weeks,WT,fasted,male
38,6.5weeks,Het,fasted,male
39,6.5weeks,Het,fasted,male
40,6.5weeks,Het,fasted,male
41,6.5weeks,Het,fasted,male
45,6.5weeks,WT,full,male
46,6.5weeks,WT,full,male
47,6.5weeks,WT,full,male
52,6.5weeks,Het,full,male
53,6.5weeks,Het,full,male
54,6.5weeks,Het,full,male
55,6.5weeks,Het,full,male
15,15weeks,WT,fasted,female
16,15weeks,WT,fasted,female
17,15weeks,WT,fasted,female
21,15weeks,Het,fasted,female
22,15weeks,Het,fasted,female
23,15weeks,Het,fasted,female
24,15weeks,Het,fasted,female
28,6.5weeks,WT,fasted,female
29,6.5weeks,WT,fasted,female
30,6.5weeks,WT,fasted,female
34,6.5weeks,Het,fasted,female
35,6.5weeks,Het,fasted,female
36,6.5weeks,Het,fasted,female
37,6.5weeks,Het,fasted,female
