Metabolite,Biocyc_query,biocyc_short_names,biocyc_full_names,MetaboAnalist,HMDB,KEGG,final,paper.short
(2-AMINOETHYL)PHOSPHONATE,(2-aminoethyl)phosphonate,CPD-1106,(2-aminoethyl)phosphonate,Ciliatine,HMDB11747,C03557,(2-Aminoethyl)phosphonate,0
Beta-hydroxyisobutyrate,(R)-3-hydroxy-isobutanoate,CPD-12176,(R)-3-hydroxy-isobutanoate,(R)-3-Hydroxyisobutyric acid,HMDB0000336,0,(R)-3-Hydroxy-Isobutanoate,0
Diethyl malonate,0,0,0,Diethyl malonate,HMDB0029573,0,0,0
2-Methylhippuric acid,0,0,0,2-Methylhippuric acid,HMDB0011723,C01586,0,0
NORVALINE,0,0,0,Norvaline,HMDB13716,C01799,0,0
D-Chiro-Inositol,0,0,0,D-chiro-Inositol,HMDB0240209,C19891,0,0
Betaine Hydrate,0,0,0,0,0,0,0,0
"2',4'-DIHYDROXYACETOPHENONE","2',4'-Dihydroxyacetophenone",CPD-242,"2,4'-dihydroxyacetophenone","2',4'-Dihydroxyacetophenone",HMDB29659,C03663,"2',4'-Dihydroxyacetophenone",0
ALPHA-HYDROXYISOBUTYRATE,2-hydroxy-2-methylpropanoate,CPD-19014,2-hydroxy-2-methylpropanoate,Alpha-Hydroxyisobutyric acid,HMDB0000729,0,2-Hydroxy-2-Methylpropanoate,0
2-Ketobutyric acid,2-Ketobutyric acid,0,0,2-Ketobutyric acid,HMDB0000005,C00109,0,0
Alpha-Ketoglutaric acid,2-oxoglutarate,2-KETOGLUTARATE,2-oxoglutarate,Oxoglutaric acid,HMDB0000208,C00026,2-Oxoglutarate,0
2-PHOSPHOGLYCERATE,2-Phosphoglyceric acid,2-PG,2-phospho-D-glycerate,2-Phosphoglyceric acid,HMDB0000362,0,2-Phospho-D-Glycerate,2PG
Adenosine 3'-monophosphate,3'-AMP,CPD-3706,adenosine 3'-monophosphate (3'-AMP),3'-AMP,HMDB03540,C01367,3'-AMP,0
3-DEHYDROSHIKIMATE,3-Dehydroshikimate,3-DEHYDRO-SHIKIMATE,3-dehydroshikimate,3-Dehydroshikimate,0,C02637,3-Dehydroshikimate,0
Beta-Hydroxyisovaleric acid,3-hydroxy-3-methylbutanoate,CPD-14642,3-hydroxy-3-methylbutanoate,3-Hydroxyisovaleric acid,HMDB0000754,0,3-Hydroxy-3-Methylbutanoate,0
3-HYDROXYBENZALDEHYDE,3-hydroxybenzaldehyde,3-OH-BENZALDEHYDE,3-hydroxybenzaldehyde,0,0,C03067,3-Hydroxybenzaldehyde,0
3-HYDROXYMETHYLGLUTARATE,3-Hydroxymethylglutaric acid,CPD-547,3-hydroxy-3-methylglutarate,3-Hydroxymethylglutaric acid,HMDB00355,C03761,3-Hydroxy-3-Methylglutarate,0
3-Methylglutaconic acid,3-methylglutaconate,CPD-16576,3-methylglutaconate,3-Methylglutaconic acid,HMDB00522,0,3-Methylglutaconate,0
3-Methyl-L-histidine,3-Methylhistidine,CPD-1823,N?-methyl-L-histidine,3-Methylhistidine,HMDB00479,C01152,3-Methylhistidine,0
3-SULFINOALANINE,3-Sulfinoalanine,3-SULFINOALANINE,3-sulfino-L-alanine,3-Sulfinoalanine,HMDB00996,C00606,3-Sulfinoalanine,0
4-PYRIDOXATE,4-Pyridoxic acid,0,0,4-Pyridoxic acid,HMDB00017,C00847,0,0
6-PHOSPHOGLUCONATE,6-Phosphogluconic acid,CPD-2961,D-gluconate 6-phosphate,6-Phosphogluconic acid,HMDB01316,C00345,D-Gluconate 6-phosphate,0
Acetic acid,Acetic acid,CPD-24335,acetic acid,Acetic acid,HMDB0000042,C00033,Acetic Acid,0
ADENINE,Adenine,ADENINE,adenine,Adenine,HMDB00034,C00147,Adenine,Ade
ADENOSINE,Adenosine,ADENOSINE,adenosine,Adenosine,HMDB00050,C00212,Adenosine,Ado
Adenylosuccinic acid,Adenylsuccinic acid,ADENYLOSUCC,adenylo-succinate,Adenylsuccinic acid,HMDB0000536,C03794,Adenylo-Succinate,S-AMP
ADENOSINE 5'-DIPHOSPHATE,ADP,ADP,ADP,ADP,HMDB01341,C00008,ADP,ADP
Allose,Allose,ALLOSE,D-allose,Allose,HMDB0001151,C01487,Allose,0
ASCORBATE,Ascorbate,ASCORBATE,L-ascorbate,L-ascorbic acid,HMDB0000044,C01041,Ascorbate,0
AZELATE,Azelaic acid,CPD0-1265,azelate,Azelaic acid,HMDB00784,C08261,Azelate,0
BENZOATE,BENZOATE,BENZOATE,benzoate,Benzoic acid,HMDB01870,C00180,Benzoate,0
BETA-ALANINE,Beta-Alanine,0,0,Beta-Alanine,HMDB00056,C00099,0,0
FRUCTOSE BISPHOSPHATE,"beta-D-fructose 1,6-bisphosphate",FRUCTOSE-16-DIPHOSPHATE,"?-D-fructose 1,6-bisphosphate","Fructose 1,6-bisphosphate",HMDB01058,C00354,"beta-D-Fructose 1,6-bisphosphate","F1,6BP"
beta-Lactose,beta-Lactose,CPD-15971,?-lactose,0,HMDB0041627,C01970,beta-Lactose,0
BETAINE,Betaine,BETAINE,glycine betaine,Betaine,HMDB00043,C00719,Betaine,0
HEXANOATE,Caproic acid,HEXANOATE,hexanoate,Caproic acid,HMDB00535,C01585,Caproate,0
6-Oxo-2-piperidinecarboxylic acid,cis-vaccenate,CPD-9247,cis-vaccenate,6-Oxopiperidine-2-carboxylic acid,HMDB0061705,0,cis-Vaccenate,0
CITICOLINE,Citicoline,CDP-CHOLINE,CDP-choline,Citicoline,HMDB01413,C00307,Citicoline,0
CITRULLINE,Citrulline,L-CITRULLINE,L-citrulline,Citrulline,HMDB00904,C00327,Citrulline,0
CREATINE,Creatine,CREATINE,creatine,Creatine,HMDB00064,C00300,Creatine,0
CREATININE,Creatinine,CREATININE,creatinine,Creatinine,HMDB00562,C00791,Creatinine,0
D-Erythrose,D-Erythrose,ERYTHROSE,D-erythrose,Erythrose,HMDB0002649,C01796,Erythrose,0
Fructose,D-Fructose,FRU,D-fructose,D-Fructose,HMDB00660,C00095,Fructose,0
Glucose,D-Glucose,D-Glucose,D-glucose,D-Glucose,HMDB00122,C00031,Glucose,Glucose
GLUCURONATE,D-Glucuronic acid,GLUCURONATE,D-glucuronate,D-Glucuronic acid,HMDB00127,C00191,Glucuronic Acid,0
ORNITHINE,D-Ornithine,CPD-217,D-ornithine,D-Ornithine,HMDB03374,C00077,Ornithine,0
D-RIBOSE 5-PHOSPHATE,D-Ribose 5-phosphate,RIBOSE-5P,D-ribose 5-phosphate,D-Ribose 5-phosphate,HMDB01548,C00117,Ribose-5-phosphate,Rib-5-P
D-Sedoheptulose,D-Sedoheptulose,SEDOHEPTULOSE,D-sedoheptulose,Sedoheptulose,HMDB0003219,C08355,Sedoheptulose,0
Sedoheptulose 7-phosphate,D-Sedoheptulose 7-phosphate,D-SEDOHEPTULOSE-7-P,D-sedoheptulose 7-phosphate,D-Sedoheptulose 7-phosphate,HMDB0001068,C05382,Sedoheptulose 7-phosphate,0
2'-Deoxyinosine,Deoxyinosine,0,0,Deoxyinosine,HMDB00071,C05512,0,0
DETHIOBIOTIN,DETHIOBIOTIN,0,0,Dethiobiotin,HMDB0003581,C01909,0,0
Dihydroxyacetone,Dihydroxyacetone,0,0,Dihydroxyacetone,HMDB0001882,C00184,0,0
DIHYDROXYACETONE PHOSPHATE,Dihydroxyacetone phosphate,DIHYDROXY-ACETONE-PHOSPHATE,glycerone phosphate (DHAP),Dihydroxyacetone phosphate,HMDB01473,C00111,Dihydroxyacetone phosphate,DHAP
Glyceraldehyde,DL-glyceraldehyde,CPD0-1551,DL-glyceraldehyde,D-Glyceraldehyde,HMDB0001051,C02154,DL-Glyceraldehyde,0
Ectoine,Ectoine,ECTOINE,ectoine,Ectoine,HMDB0240650,C06231,Ectoine,0
Fumaric acid,Fumaric acid,FUM,fumarate,Fumaric acid,HMDB0000134,C00122,Fumarate,0
Galactonate,Galactonic acid,D-GALACTONATE,D-galactonate,Galactonic acid,HMDB0000565,C00880,Galactonate,0
GAMMA-AMINOBUTYRATE,Gamma-Aminobutyric acid,4-AMINO-BUTYRATE,4-aminobutanoate,Gamma-Aminobutyric acid,HMDB00112,C00334,Gamma-Aminobutyric Acid,0
Gamma-L-Glutamyl-L-alanine,Gamma-L-Glutamyl-L-alanine,0,0,gamma-Glutamylalanine,HMDB0006248,C03740,0,0
Gluconate,Gluconic acid,GLUCONATE,D-gluconate,Gluconic acid,HMDB00625,C00257,Gluconate,0
GLUCOSE 1-PHOSPHATE,Glucose 1-phosphate,GLC-1-P,?-D-glucopyranose 1-phosphate,Glucose 1-phosphate,HMDB01586,C00103,Glucose 1-phosphate,0
GLUCOSE 6-PHOSPHATE,Glucose 6-phosphate,Glucose-6-phosphate,D-glucose 6-phosphate,Glucose 6-phosphate,HMDB01401,C00092,Glucose 6-phosphate,G6P
GLUTARATE,Glutaric acid,GLUTARATE,glutarate,Glutaric acid,HMDB00661,C00489,Glutarate,0
GLUTATHIONE REDUCED,GLUTATHIONE,GLUTATHIONE,glutathione,0,HMDB00125,C00051,Glutathione,0
Glutathione oxidized,glutathione disulfide,OXIDIZED-GLUTATHIONE,glutathione disulfide (GSSG),oxidized glutathione,HMDB0003337,C00127,Glutathione disulfide,0
GLYCERATE,Glyceric acid,Glycerates,a glycerate,Glyceric acid,HMDB00139,C00258,Glycerate,0
GLYCEROL,Glycerol,GLYCEROL,glycerol,Glycerol,HMDB00131,C00116,Glycerol,0
GLYCEROL 3-PHOSPHATE,Glycerol 3-phosphate,GLYCEROL-3P,sn-glycerol 3-phosphate,Glycerol 3-phosphate,HMDB00126,C00093,Glycerol 3-phosphate,0
Choline glycerophosphate,Glycerophosphocholine,0,0,Glycerophosphocholine,HMDB0000086,C00670,0,0
GLYCINE,Glycine,GLY,glycine,Glycine,HMDB00123,C00037,Glycine,0
Gly-Gly,Glycyl-glycine,GLYCYLGLYCINE,glycyl-glycine,Glycyl-glycine,HMDB0011733,C02037,Glycyl-Glycine,0
Glycyl-L-tyrosine,Glycyl-L-tyrosine,CPD-20346,glycyl-L-tyrosine,Glycyltyrosine,HMDB0028853,0,Glycyl-L-Tyrosine,0
Glycyl-L-valine,Glycyl-L-valine,0,0,Glycyl-Valine,HMDB0028854,0,0,0
GUANINE,Guanine,GUANINE,guanine,Guanine,HMDB00132,C00242,Guanine,Gua
GUANOSINE,Guanosine,GUANOSINE,guanosine,Guanosine,HMDB00133,C00387,Guanosine,Guo
GUANOSINE MONOPHOSPHATE,Guanosine monophosphate,GMP,GMP,Guanosine monophosphate,HMDB01397,C00144,GMP,GMP
Gulonic acid gamma-lactone,gulonolactone,L-GULONO-1-4-LACTONE,"L-gulono-1,4-lactone",L-Gulonolactone,HMDB0003466,C01040,Gulonolactone,0
Heptanoic acid,Heptanoic acid,CPD-7619,heptanoate,Heptanoic acid,HMDB0000666,C17714,Heptanoate,0
HIPPURATE,Hippuric acid,CPD-425,hippurate,Hippuric acid,HMDB0000714,C01586,Hippurate,0
Homocitrulline,Homocitrulline,CPD-161,L-homocitrulline,Homocitrulline,HMDB0000679,C02427,Homocitrulline,0
Hydrocinnamic acid,Hydrocinnamic acid,0,0,Hydrocinnamic acid,0,0,0,0
2-Hydroxyoctanoic acid,Hydroxyoctanoic acid,0,0,Hydroxyoctanoic acid,HMDB0000711,0,0,0
HYPOXANTHINE,Hypoxanthine,HYPOXANTHINE,hypoxanthine,Hypoxanthine,HMDB00157,C00262,hypoxanthine,Hyp
INOSINE-MONOPHOSPHATE,IMP,IMP,IMP,Inosinic acid,HMDB00175,C00130,IMP,IMP
INOSINE,Inosine,INOSINE,inosine,Inosine,HMDB00195,C00294,Inosine,Ino
Isobutyric acid,Isobutyric acid,ISOBUTYRATE,isobutanoate,Isobutyric acid,HMDB0001873,C02632,Isobutanoate,0
Isonicotinic acid,Isonicotinic acid,CPD-13335,isonicotinate,Isonicotinic acid,HMDB0060665,C07446,Isonicotinate,0
ITACONATE,Itaconic acid,ITACONATE,itaconate,Itaconic acid,HMDB02092,C00490,Itaconate,0
2-Aminoadipic acid,L-2-aminoadipate,CPD-468,L-2-aminoadipate,Aminoadipic acid,HMDB00510,C00956,L-2-Aminoadipate,0
Alanine,L-Alanine,L-ALPHA-ALANINE,L-alanine,L-Alanine,HMDB00161,C00041,Alanine,0
ALLOTHREONINE,L-allo-threonine,L-ALLO-THREONINE,L-allo-threonine,L-Allothreonine,HMDB04041,C05519,L-Allo-Threonine,0
Arabitol,L-Arabinol,L-ARABITOL,L-arabinitol,L-Arabinol,HMDB0001851,C0532,Arabinol,0
Arginine,L-Arginine,ARG,L-arginine,L-Arginine,HMDB00517,C00062,Arginine,0
ASPARAGINE,L-Asparagine,ASN,L-asparagine (asn),L-Asparagine,HMDB0000168,C00152,Asparagine,0
ASPARTATE,L-Aspartic acid,L-ASPARTATE,L-aspartate,L-Aspartic acid,HMDB0000191,C00049,L-Aspartate,0
CYSTATHIONINE,L-Cystathionine,L-CYSTATHIONINE,L-cystathionine,L-Cystathionine,HMDB00099,C02291,L-Cystathionine,0
GLUTAMATE,L-Glutamic acid,GLT,L-glutamate,L-Glutamic acid,HMDB0000148,C00025,L-Glutamate,0
GLUTAMINE,L-Glutamine,GLN,L-glutamine (gln),L-Glutamine,HMDB00641,C00064,Glutamine,0
HISTIDINE,L-Histidine,HIS,L-histidine,L-Histidine,HMDB00177,C00135,Histidine,0
ISOLEUCINE,L-Isoleucine,ILE,L-isoleucine (ile),L-Isoleucine,HMDB00172,C00407,Isoleucine,0
Leucine,L-Leucine,LEU,L-leucine,L-Leucine,HMDB00687,C00123,Leucine,0
Lysine,L-Lysine,LYS,L-lysine,L-Lysine,HMDB00182,C00047,Lysine,0
METHIONINE,L-Methionine,MET,L-methionine,L-Methionine,HMDB00696,C00073,Methionine,0
