,mainGroup,subPathway,biocyc_short_names,biocyc_full_names,metabolite
31,Energy-Metabolism,Glycolysis,2-PG,2-phospho-D-glycerate,2-Phosphoglyceric acid
32,Energy-Metabolism,Glycolysis,FRUCTOSE-16-DIPHOSPHATE,"?-D-fructose 1,6-bisphosphate","beta-D-fructose 1,6-bisphosphate"
33,Energy-Metabolism,Glycolysis,PYRUVATE,pyruvate,Pyruvic acid
69,Energy-Metabolism,Glycolysis,DIHYDROXY-ACETONE-PHOSPHATE,glycerone phosphate (DHAP),Dihydroxyacetone phosphate
38,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,ADENINE,adenine,Adenine
39,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,ADENOSINE,adenosine,Adenosine
41,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,ADP,ADP,ADP
42,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,GUANINE,guanine,Guanine
43,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,GUANOSINE,guanosine,Guanosine
44,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,GMP,GMP,Guanosine monophosphate
45,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,HYPOXANTHINE,hypoxanthine,Hypoxanthine
46,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,IMP,IMP,IMP
47,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,INOSINE,inosine,Inosine
70,Degradation,Nucleoside and Nucleotide Biosynthesis,RIBOSE-5P,D-ribose 5-phosphate,D-Ribose 5-phosphate
40,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,ADENYLOSUCC,adenylo-succinate,Adenylsuccinic acid
28,otherKeys,Glycolysis,D-Glucose,D-glucose,D-Glucose
34,otherKeys,Glycolysis,Glucose-6-phosphate,D-glucose 6-phosphate,Glucose 6-phosphate
