 	6.5weeks WT full male	6.5weeks Het full male	15weeks WT full male	15weeks Het full male	6.5weeks WT fasted male	6.5weeks Het fasted male	15weeks WT fasted male	15weeks Het fasted male
(2-aminoethyl)phosphonate	-1.31401044610942	-0.255300172266976	0.779519022243086	0.917573494037674	-0.625344493027475	-1.31401044610942	0.90193183180222	0.90964120943032
2',4'-Dihydroxyacetophenone	-0.447954616139941	-1.59449801014225	0.238331845279974	1.37914109764564	-0.552622514932085	1.30576242839575	0.177847355406004	-0.506007585513092
L-2-aminoadipate	-0.0562902212058166	0.133674947544797	1.13222685856942	-0.737334970603092	-1.19414672112887	-0.668995010801486	-0.379873978292607	1.77073909591766
2-Phosphoglyceric acid	0.829490310950744	-1.37117325818025	-0.413993733087072	-0.551644272402146	-0.353109057317944	-0.591533527852449	1.71356098777897	0.738402550110151
3-Dehydroshikimate	0.672127086554847	-1.23952150778707	0.721555946485823	0.6408430496649	-1.75050015564004	0.64666467715554	0.679007936462546	-0.370177032896546
3-hydroxybenzaldehyde	0.660584334037032	-0.0817754171619199	-1.09647459022795	-1.52187850227711	-0.241003765449922	1.16607775722287	-0.149775646978609	1.26424583083562
3-Hydroxymethylglutaric acid	0.598853104369987	0.781385990198814	0.691026025615713	0.771186205147075	-0.946583567360125	-0.249314857973668	0.326684242366685	-1.97323714236447
3-Methylhistidine	-1.06089742836108	-1.33774585467982	-0.157641230506499	0.0611809660472357	-0.480545637366533	0.449794397643761	0.797562754962641	1.72829203226029
3-methylglutaconate	0.65389035204918	0.713010034830279	0.710335860369006	0.734648992972902	-0.97375613804485	-0.678382894652816	0.632324883213811	-1.79207109073751
3-Sulfinoalanine	-0.620042416121398	0.905523076387038	0.479855819371894	0.828790126954514	-1.99427331064882	0.631769560780854	0.371701283802768	-0.603324140526847
cis-vaccenate	-0.574554777526564	-0.261763881354502	0.858588541050123	-0.0951680227567059	-0.465793710099148	-1.04619039489838	-0.489692110091291	2.07457435567646
6-Phosphogluconic acid	0.0440287977031512	0.919839401293966	1.11424197140018	1.02602181406545	-0.743541760628447	-0.900668514537577	0.115011684999028	-1.57493339429576
Acetic acid	0.808447179122806	1.0623317517307	-1.30516894576609	-1.33345022559686	0.28039503248323	0.82630774983162	-0.846738123039973	0.507875581234562
Adenine	-0.445364887738905	-0.200567465723948	0.526708165738215	0.293304513748494	-1.2713002855922	-0.331771769503522	-0.636557090524974	2.06554881959684
Adenosine	0.0877537735079244	-0.2191609699108	0.849329895959281	0.807671090366963	-2.01421593610047	-0.706824153663589	0.21083703439452	0.984609265446188
3'-AMP	1.04835635826137	0.654385772997814	-1.1460381499233	-0.73308661268083	-0.181431760983692	0.881023366088573	-1.41830568269945	0.895096708939501
ADP	0.913403158400947	-0.724227848870015	-1.41483094196114	0.24113866857221	0.498501619403033	0.947355209763414	-1.30976474953968	0.848424884231235
Adenylsuccinic acid	0.733989469017641	1.01718707136873	-0.531163068409507	-1.76848264717837	-0.511057703300485	0.987004148246195	-0.587813111452596	0.660335841708399
L-Alanine	0.248118202746249	0.444225225274888	-0.525338787578003	-1.20469093110581	-1.44187080146371	1.59137061942948	0.38104260655347	0.507143866143429
Allose	0.610940041396262	0.633603899614983	0.786903403551809	0.7724291550178	-1.41295256613369	-0.458726170958229	0.622035671535662	-1.55423343402459
L-allo-threonine	-0.604262466135501	-0.660224545383584	-1.24161683478676	-0.586967557102621	0.0093194089515238	1.02041086204149	0.275756003885441	1.78758512853
2-hydroxy-2-methylpropanoate	-0.439401538694399	-0.795959479629609	0.36034548775146	0.0178729007268364	-1.34496744521054	-0.301774898952482	0.54184355600591	1.9620414180028
2-oxoglutarate	0.898288409425647	0.467212842872435	0.772253937933843	-0.225134107645247	-1.46165008852311	1.02694787889206	-0.0162687844325191	-1.46165008852311
L-Arabinol	0.581708022641832	0.761355148077117	0.705741817410745	0.834102177261413	-1.09775589779902	-1.38197315501159	0.718183212366224	-1.12136132494672
L-Arginine	-0.115969427233524	0.220791677307935	-0.132916318748099	-0.364860555050779	-0.415538464277095	1.91072984847325	0.534236042878849	-1.63647280335054
Ascorbate	-0.736409571880658	-1.6791105001223	1.27145270454507	0.172212882844998	0.0266836720373573	-0.436665745576934	1.34126990914716	0.0405666490053082
