"","no","ANOVAfull","anova","oldWT-oldHet","young-oldHet","young-oldWT"
"AcCa(16:0)",0,0.8695,0.7075,1,0.9001,1
"AcCa(18:0)",0,0.8117,0.1793,1,0.3716,0.4365
"AcCa(18:1)",0,0.5122,0.1652,0.8202,0.9346,0.2831
"AcCa(18:2)",0,0.7426,0.0582,0.996,0.3227,0.1731
"AcCa(20:0)",0,0.1388,0.8109,1,1,0.9804
"AcCa(22:0)",0,0.0783,0.4036,1,0.5106,1
"AcCa(22:1)",0,0.3314,0.7107,1,0.9509,1
"Cer(d16:1_21:0)",0,0.2244,0.6549,1,0.9875,0.8678
"Cer(d16:1_22:0)",0,0.0552,0.0465,0.3376,1,0.1354
"Cer(d16:1_22:1)",0,0.1178,0.1449,0.4796,0.237,1
"Cer(d16:1_23:0)",0,0.0112,0.0343,1,0.0994,0.145
"Cer(d16:1_24:0)",0,0.1782,0.1426,1,0.2762,0.4016
"Cer(d16:1_24:1)",0,0.0517,0.0935,0.77,0.1167,0.769
"Cer(d16:1_24:2)",0,0.0172,0.02,0.2535,0.02,0.9687
"Cer(d16:1_24:3)",0,0.027,0.0582,1,0.0964,0.3396
"Cer(d16:1_26:1)",0,0.09,0.0589,1,0.1403,0.2305
"Cer(d16:2_20:1)",0,0.4159,0.7126,1,1,1
"Cer(d16:2_21:1)",0,0.2653,0.0267,1,0.0613,0.1507
"Cer(d16:2_22:1)",0,0.5549,0.065,0.6715,0.0876,0.7742
"Cer(d16:2_23:1)",0,0.3196,0.7623,1,1,0.9386
"Cer(d16:2_24:1)",0,0.0164,0.1203,0.9804,0.1551,0.6571
"Cer(d16:2_25:1)",0,0.0555,0.0906,0.7442,0.1138,0.791
"Cer(d16:2_26:2)",0,0.008,0.0437,0.565,0.0592,0.6936
"Cer(d17:1_24:2)",0,0.0372,0.0216,0.4549,0.026,0.4018
"Cer(d18:1_16:0)",0,0.8682,0.7595,1,0.9482,1
"Cer(d18:1_24:2)",0,0.2316,0.1865,0.8142,0.2322,0.9687
"Cer(d18:1_24:3)",0,0.2033,0.1589,0.565,0.2301,1
"Cer(d18:1_26:1)",0,0.2985,0.8344,1,1,0.9687
"Cer(d18:2_16:0)",0,0.5795,0.7141,1,1,0.8935
"Cer(d18:2_23:0)",0,0.0124,0.1145,0.4504,0.177,1
"Cer(d18:2_24:1)",0,0.0181,0.0854,0.7654,0.1111,0.7525
"Cer(d32:1)",0,0.9291,0.6673,1,0.8582,1
"Cer(d33:1)",0,0.8777,0.8693,1,1,1
"Cer(d35:1)",0,0.7629,0.8244,1,1,1
"Cer(d39:2)",0,0.02,0.0288,0.6715,0.0381,0.3495
"Cer(d41:1)",0,0.0169,0.0343,1,0.1138,0.1354
"Cer(d42:1)",0,0.4438,0.6374,1,1,0.8263
"Cer(d43:1)",0,0.2548,0.4534,0.7654,0.8061,0.9736
"Cer(d43:2)",0,0.0181,0.0582,1,0.1915,0.1986
"Cer(d43:3)",0,0.0039,0.039,0.8204,0.0592,0.3589
"Cer(d43:4)",0,0.0065,0.0982,0.6715,0.12,0.9076
"Cer(d43:5)",0,0.0374,0.2088,0.6295,0.3138,1
"Cer(d44:1)",0,0.8449,0.0947,0.7238,0.1167,0.8427
"Cer(d44:3)",0,0.0086,0.0589,1,0.1003,0.3589
"Cer(d44:4)",0,0.1176,0.2092,1,0.2769,0.8265
"Cer(d45:1)",0,0.7535,0.1332,0.764,0.1559,0.8935
"Cer(d45:2)",0,0.3196,0.575,1,1,0.767
"Cer(d45:3)",0,0.1488,0.2738,1,0.7744,0.4546
"Cer(d45:4)",0,0.0389,0.4243,1,0.59,0.8678
"Cer(d46:2)",0,0.6869,0.4759,0.8936,0.6755,1
"Cer(d47:3)",0,0.5784,0.0987,1,0.2451,0.2879
"Cer(d48:2)",0,0.4697,0.3143,0.9359,0.3928,1
"Cer(t17:0_22:0)",0,0.1618,0.1029,1,0.183,0.3853
"Cer(t17:0_23:0)",0,0.0048,0.0133,1,0.0429,0.1171
"Cer(t17:1_23:0)",0,0.5414,0.0343,0.3233,0.9462,0.1171
"Cer(t17:1_25:1)",0,0.0076,0.0192,0.7442,0.02,0.1702
"Cer(t18:0_23:0)",0,0.0066,0.0346,1,0.1438,0.1304
"Cer(t18:0_24:0)",0,0.0046,0.0224,0.9987,0.098,0.1171
"Cer(t18:0_25:0)",0,0.012,0.0461,0.7442,0.401,0.1354
"Cer(t18:0_25:1)",0,7e-04,0.0216,1,0.0513,0.1171
"Cer(t18:0_26:0)",0,0.1343,0.065,0.4504,1,0.1731
"Cer(t18:1_26:0)",0,0.38,0.1675,0.4796,0.9842,0.4049
"Cer(t42:1)",0,2e-04,0.0175,1,0.0287,0.1171
"Cer(t45:0)",0,0.8682,0.0695,0.3188,1,0.2063
"Cer(t46:0)",0,0.8647,0.2397,0.565,0.5147,0.9201
"ChE(18:3)",0,0.0725,0.1983,1,0.4054,0.47
"ChE(22:5)",0,0.0783,0.0458,1,0.1244,0.1746
"ChE(22:6)",0,0,0.1426,1,0.3227,0.3589
