ncbi	human
pxmp4	PXMP4
cdh18	CDH18
LOC107373608	TCF20
plcd3	PLCD3
LOC107386534	TAF1
ephx2	EPHX2
LOC107372693	ZNF235
LOC107394856	MR1
LOC107372409	CDR2L
btbd3	BTBD3
LOC107396538	DPP10
LOC107387362	ALDH9A1
derl1	DERL1
LOC107392936	AP1M1
kcnh4	KCNH4
brd7	BRD7
LOC107378477	MAP3K14
rnf181	RNF126
fam72a	FAM72A
tmem5	TMEM5
bcl2	BCL2
bckdha	CTC-435M10.3
f9	F9
sdad1	SDAD1
LOC107384794	FAM177A1
LOC107384592	TAAR6
LOC107373225	BTN1A1
LOC107396647	SEBOX
LOC107383963	SLC12A9
LOC107393628	TMEM132C
LOC107381575	CNGB1
snrpc	SNRPC
fnbp1l	FNBP1L
elavl3	ELAVL3
LOC107393457	ZNF862
LOC107385633	LRP1
tanc1	TANC1
LOC107373349	HIST2H3D
LOC107381557	ABTB2
uncx	UNCX
zranb1	ZRANB1
LOC107396576	HBEGF
LOC107389928	CD58
LOC107384082	SLC25A24
sod3	SOD3
ears2	EARS2
ddx28	DDX28
qprt	QPRT
LOC107389231	ZNF319
bptf	BPTF
proser1	PROSER1
LOC107377290	RNF19B
LOC107380954	TRERF1
LOC107372782	OR13C2
map3k7	MAP3K7
tspan13	TSPAN13
mrps15	MRPS15
oat	OAT
LOC107391167	ATXN1
nop14	NOP14
ptpn23	PTPN23
LOC107377248	NFKBIZ
LOC107377664	MATN3
cluap1	CLUAP1
pigg	PIGG
LOC107391468	MDFIC
LOC107384612	KALRN
LOC107382246	AANAT
slc12a4	SLC12A4
LOC107386895	HIPK2
cdkn2b	CDKN2B
LOC107385715	ARPC4
cdc42bpb	CDC42BPB
rpl37a	RPL37A
ky	KY
dtx1	DTX4
adra1d	ADRA1D
cdh23	CDH23
top2b	TOP2B
tbc1d2	TBC1D2
cdh20	CDH20
LOC107386498	TRIM35
LOC107379775	PAK4
LOC107397057	GJC1
LOC107395517	ZNF468
LOC107393446	TMED5
wdr55	WDR55
LOC107383764	FKBP1B
arhgef4	SPATA13
lin9	LIN9
mei4	MEI4
etf1	ETF1
hapln1	HAPLN1
lrrk2	LRRK2
LOC107393292	ONECUT2
LOC107373090	KCNIP3
LOC107395624	CYB561A3
LOC107375510	SLC7A2
fat3	FAT3
LOC107395053	CH507-9B2.1
hdac8	HDAC8
LOC107381280	CHRNB4
LOC107375264	CYP2U1
LOC107380565	CASR
mtmr3	MTMR3
LOC107378491	PACSIN3
LOC107380268	CAPN2
ppp1r16a	PPP1R16A
LOC107393723	PPP1R3C
LOC107389314	MMP16
LOC107384528	PLCD4
dpyd	DPYD
mlh1	MLH1
sec22a	SEC22A
LOC107373829	BMPR1B
srgap1	SRGAP1
LOC107374317	ARHGAP24
ampd3	AMPD3
LOC107386576	AMER1
txnl4b	TXNL4B
LOC107379087	GTF2IRD2
LOC107397246	GGCT
LOC107376304	TMEM184B
galnt8	GALNT8
slf1	SLF1
exd1	EXD1
ivd	IVD
LOC107375818	ATL2
cubn	CUBN
LOC107384451	XCR1
LOC107382039	SNAP25
lrrc26	LRRC52
LOC107394685	PABPC1
LOC107383960	HES6
leng9	LENG9
LOC107376596	PYCR2
LOC107381397	RLTPR
cd36	CD36
fam126b	FAM126B
tex2	TEX2
LOC107391008	KCND3
xrcc3	XRCC3
LOC107383440	EPC1
naga	NAGA
gng3	GNG3
llgl1	LLGL1
LOC107390733	EDN3
LOC107387253	GRID1
LOC107384467	ZP3
LOC107383976	KIF1A
LOC107381485	RDH13
LOC107386731	SLC9A6
lyrm5	LYRM5
btbd9	BTBD9
csgr15h20orf24	TGIF2-C20orf24
mllt1	MLLT1
LOC107374354	SLC39A1
stub1	STUB1
ptch1	PTCH1
LOC107388856	ZFHX3
LOC107385878	SULF2
fam3c	FAM3C
LOC107378550	HEG1
nadk2	NADK2
LOC107373592	CDHR2
nphs1	NPHS1
ankrd6	ANKRD6
lcat	LCAT
LOC107394716	TSHZ3
adgrl2	ADGRL2
plag1	PLAG1
LOC107374012	TRUB1
slc25a10	RP13-1032I1.10
zdhhc6	ZDHHC6
LOC107383077	GGH
arfgap1	ARFGAP1
