NCBI,Final symbol,Human
impdh2,impdh2,IMPDH2
fkbp3,fkbp3,FKBP3
chst2,chst2,CHST2
LOC107392235,htr1d,HTR1D
zfyve9,zfyve9 (1 of 2),ZFYVE9
LOC107393238,zfyve9 (2 of 2),ZFYVE9
mybpc2,mybpc2 (1 of 2),MYBPC2
LOC107388012,mybpc2 (2 of 2),MYBPC2
LOC107388123,LOC107388123,ZNF112
LOC107390444,tnfsf14,TNFSF14
pgpep1,pgpep1,PGPEP1
cep162,cep162,CEP162
znf804b,znf804b,ZNF804A
creb5,creb5 (1 of 2),CREB5
LOC107383381,creb5 (2 of 2),CREB5
cmtr1,cmtr1,CMTR1
crcp,crcp,CRCP
LOC107380194,guca1a (1 of 3),GUCA1C
guca1a,guca1a (2 of 3),GUCA1A
LOC107396662,guca1a (3 of 3),GUCA1C
LOC107373153,stat5b (1 of 4),STAT5B
LOC107396992,stat5b (2 of 4),STAT5B
LOC107378442,stat5b (3 of 4),STAT5B
LOC107390840,stat5b (4 of 4),STAT6
ctdspl2,ctdspl2 (1 of 3),CTDSPL2
LOC107395504,ctdspl2 (2 of 3),CTDSPL2
LOC107392812,ctdspl2 (3 of 3),CTDSPL2
pbld,pbld (1 of 2),PBLD
LOC107381877,pbld (2 of 2),PBLD
ubxn1,ubxn1,UBXN1
LOC107394344,scarb2 (1 of 3),SCARB2
LOC107395254,scarb2 (2 of 3),SCARB2
scarb2,scarb2 (3 of 3),SCARB2
nfxl1,nfxl1,NFXL1
l3mbtl2,l3mbtl2,L3MBTL2
plscr3,plscr3 (1 of 2),PLSCR1
LOC107384069,plscr3 (2 of 2),TMEM256-PLSCR3
otog,otog,OTOG
pde11a,pde11a (1 of 2),PDE11A
LOC107395328,pde11a (2 of 2),PDE11A
mea1,mea1,MEA1
LOC107378680,dnah11 (1 of 5),DNAH11
LOC107378628,dnah11 (2 of 5),DNAH11
LOC107378630,dnah11 (3 of 5),DNAH11
LOC107378681,dnah11 (4 of 5),DNAH11
LOC107384434,dnah11 (5 of 5),DNAH11
cdh24,cdh24 (1 of 2),CDH24
LOC107396061,cdh24 (2 of 2),CDH24
bbx,bbx,BBX
LOC107381606,LOC107381606,
grpel1,grpel1,GRPEL1
plod2,plod2,PLOD2
ptgr2,ptgr2,PTGR2
dock1,dock1,DOCK1
nol9,nol9,NOL9
pdpr,pdpr,PDPR
LOC107388682,LOC107388682,
LOC107386175,LOC107386175,
LOC107389382,cxcr1 (1 of 2),CXCR1
LOC107389373,cxcr1 (2 of 2),CXCR1
LOC107397198,lalba (1 of 2),LALBA
LOC107395479,lalba (2 of 2),LALBA
aplp1,aplp1,APLP1
LOC107383094,buc (1 of 3),
LOC107383093,buc (2 of 3),
LOC107384347,buc (3 of 3),
fh,fh,FH
LOC107395102,fam111a,FAM111A
LOC107385160,rab44,RAB44
LOC107379305,ethe1 (1 of 2),ETHE1
LOC107379304,ethe1 (2 of 2),ETHE1
gapvd1,gapvd1,GAPVD1
LOC107375124,fam129b,FAM129B
pcyt1a,pcyt1a,PCYT1A
rnf150,rnf150 (1 of 2),RNF150
LOC107376841,rnf150 (2 of 2),RNF150
pfdn2,pfdn2,PFDN2
arhgap22,arhgap22 (1 of 2),ARHGAP22
LOC107388202,arhgap22 (2 of 2),ARHGAP22
rbm20,rbm20 (1 of 2),RBM20
LOC107376899,rbm20 (2 of 2),MATR3
kiaa0391,kiaa0391,KIAA0391
